Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
152,153,15,13,0,0,25,21,TO,TO
134,150,20,18,5,5,25,21,TO,TO
131,152,29,23,9,5,25,21,TO,TO
129,154,38,30,9,7,25,21,TO,TO
131,158,46,41,8,11,58,56,FF,FF
133,154,55,53,9,12,58,56,FF,FF
149,167,63,63,8,10,58,56,FF,FF
162,165,71,70,8,7,58,56,FF,FF
167,174,78,78,7,8,88,82,FF,FF
174,155,85,83,7,5,88,82,FF,FF
176,151,92,85,7,2,88,82,FF,FF
173,158,98,84,6,-1,88,82,FF,FF
171,150,105,78,7,-6,112,75,FF,FF
171,147,109,77,4,-1,112,75,FF,FF
165,144,118,74,9,-3,112,75,FF,FF
168,145,117,74,-1,0,112,75,FF,FF
166,144,121,80,4,6,116,80,FF,FF
168,146,114,84,-7,4,116,80,FF,FF
174,136,118,77,4,-7,116,80,FF,FF
175,151,113,81,-5,4,116,80,FF,FF
177,144,111,88,-2,7,119,82,FF,FF
174,135,119,81,8,-7,119,82,FF,FF
171,131,127,79,8,-2,119,82,FF,FF
169,140,122,82,-5,3,119,82,FF,FF
169,138,132,87,10,5,128,96,HS,FF
170,137,132,92,0,5,128,96,HS,FF
173,150,125,98,-7,6,128,96,HS,FF
172,150,123,107,-2,9,128,96,HS,FF
171,151,132,97,9,-10,130,102,HS,FF
163,151,133,96,1,-1,130,102,HS,FF
158,153,130,105,-3,9,130,102,HS,FF
148,156,125,113,-5,8,130,102,HS,FF
140,155,115,107,-10,-6,110,99,FF,FF
133,155,105,102,-10,-5,110,99,FF,FF
127,156,109,98,4,-4,110,99,FF,FF
137,161,114,89,5,-9,110,99,FF,FF
138,163,123,91,9,2,125,85,HS,FF
151,163,122,86,-1,-5,125,85,HS,FF
160,166,126,85,4,-1,125,85,HS,FF
175,163,129,81,3,-4,125,85,HS,FF
176,166,135,82,6,1,134,73,HS,FF
172,164,139,77,4,-5,134,73,HS,FF
167,156,134,68,-5,-9,134,73,HS,FF
158,153,129,66,-5,-2,134,73,HS,FF
160,147,124,63,-5,-3,116,65,FF,FF
164,142,120,64,-4,1,116,65,FF,FF
168,140,111,66,-9,2,116,65,FF,FF
174,140,112,69,1,3,116,65,FF,FF
175,134,112,71,0,2,108,80,FF,FF
174,138,109,76,-3,5,108,80,FF,FF
172,139,107,82,-2,6,108,80,FF,FF
170,142,106,92,-1,10,108,80,FF,FF
169,143,105,91,-1,-1,106,97,FF,FF
168,147,106,95,1,4,106,97,FF,FF
169,146,103,99,-3,4,106,97,FF,FF
170,153,111,106,8,7,106,97,FF,FF
169,155,116,108,5,2,122,106,FF,FF
170,156,119,107,3,-1,122,106,FF,FF
169,158,122,106,3,-1,122,106,FF,FF
164,158,131,104,9,-2,122,106,FF,FF
157,160,131,102,0,-2,126,99,HS,FF
148,161,131,100,0,-2,126,99,HS,FF
141,162,123,98,-8,-2,126,99,HS,FF
138,161,122,96,-1,-2,126,99,HS,FF
135,162,114,94,-8,-2,115,99,FF,FF
139,164,112,93,-2,-1,115,99,FF,FF
145,163,116,102,4,9,115,99,FF,FF
157,165,121,109,5,7,115,99,FF,FF
163,165,118,103,-3,-6,125,97,HS,FF
171,169,123,99,5,-4,125,97,HS,FF
175,169,128,95,5,-4,125,97,HS,FF
175,168,133,91,5,-4,125,97,HS,FF
167,164,129,99,-4,8,122,88,FF,FF
162,162,125,92,-4,-7,122,88,FF,FF
157,154,120,85,-5,-7,122,88,FF,FF
163,147,117,79,-3,-6,122,88,FF,FF
167,141,109,75,-8,-4,108,72,FF,FF
172,134,109,72,0,-3,108,72,FF,FF
174,138,109,69,0,-3,108,72,FF,FF
175,135,107,72,-2,3,108,72,FF,FF
172,139,105,77,-2,5,109,81,FF,FF
170,134,105,79,0,2,109,81,FF,FF
169,136,112,83,7,4,109,81,FF,FF
168,140,115,88,3,5,109,81,FF,FF
168,143,120,93,5,5,119,99,FF,FF
168,149,120,98,0,5,119,99,FF,FF
170,151,123,102,3,4,119,99,FF,FF
170,158,116,106,-7,4,119,99,FF,FF
170,161,122,111,6,5,117,115,FF,HS
170,161,122,114,0,3,117,115,FF,HS
168,166,112,119,-10,5,117,115,FF,HS
167,162,115,116,3,-3,117,115,FF,HS
165,163,119,113,4,-3,112,108,FF,HS
155,159,116,110,-3,-3,112,108,FF,HS
145,160,111,107,-5,-3,112,108,FF,HS
130,159,105,104,-6,-3,112,108,FF,HS
126,160,99,101,-6,-3,100,110,FF,HS
126,159,96,109,-3,8,100,110,FF,HS
131,160,102,114,6,5,100,110,FF,HS
134,162,104,118,2,4,100,110,FF,HS
141,162,97,128,-7,10,103,118,FF,HS
150,158,101,121,4,-7,103,118,FF,HS
157,159,106,116,5,-5,103,118,FF,HS
166,154,109,108,3,-8,103,118,FF,HS
170,149,113,113,4,5,118,117,FF,HS
170,153,116,123,3,10,118,117,FF,HS
169,151,126,119,10,-4,118,117,FF,HS
161,166,118,114,-8,-5,118,117,FF,HS
150,165,115,111,-3,-3,106,102,FF,FF
137,160,110,106,-5,-5,106,102,FF,FF
135,158,105,100,-5,-6,106,102,FF,FF
139,152,95,94,-10,-6,106,102,FF,FF
145,145,99,89,4,-5,102,82,FF,FF
150,144,101,84,2,-5,102,82,FF,FF
155,139,104,79,3,-5,102,82,FF,FF
160,142,106,76,2,-3,102,82,FF,FF
160,137,106,69,0,-7,103,69,FF,FF
158,131,104,69,-2,0,103,69,FF,FF
