Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
108,162,40,16,0,0
135,165,39,17,-1,1
137,169,122,134,83,117
111,174,112,123,-10,-11
150,179,127,132,15,9
144,175,129,124,2,-8
143,175,129,121,0,-3
141,172,136,100,7,-21
145,172,141,114,5,14
153,171,136,115,-5,1
156,171,129,114,-7,-1
156,171,23,119,-106,5
146,169,13,119,-10,0
136,171,75,120,62,1
137,173,76,121,1,1
134,172,121,121,45,0
138,173,115,120,-6,-1
145,173,116,119,1,-1
150,174,128,119,12,0
160,176,128,115,0,-4
170,175,134,112,6,-3
174,173,135,109,1,-3
176,174,142,118,7,9
177,169,138,113,-4,-5
175,170,140,113,2,0
177,166,134,108,-6,-5
176,168,134,107,0,-1
169,163,131,112,-3,5
165,154,132,108,1,-4
159,154,127,117,-5,9
156,144,126,109,-1,-8
151,143,122,112,-4,3
151,140,121,122,-1,10
148,135,118,128,-3,6
149,133,117,119,-1,-9
149,130,115,119,-2,0
150,129,114,111,-1,-8
152,135,114,117,0,6
154,136,114,109,0,-8
157,143,114,117,0,8
160,148,115,119,1,2
163,153,116,117,1,-2
166,160,117,119,1,2
169,160,116,106,-1,-13
172,171,116,121,0,15
174,176,116,122,0,1
175,177,108,120,-8,-2
175,178,112,124,4,4
175,179,110,127,-2,3
175,179,107,120,-3,-7
174,176,108,121,1,1
173,176,109,126,1,5
166,172,99,122,-10,-4
162,171,112,121,13,-1
151,169,121,120,9,-1
144,169,70,119,-51,-1
137,171,68,118,-2,-1
133,171,69,117,1,-1
134,172,72,117,3,0
132,172,126,116,54,-1
138,174,117,116,-9,0
141,174,116,115,-1,-1
149,174,120,115,4,0
157,174,129,114,9,-1
166,174,132,113,3,-1
174,171,130,110,-2,-3
175,169,133,107,3,-3
176,166,133,103,0,-4
178,164,128,102,-5,-1
178,166,129,110,1,8
170,161,127,104,-2,-6
165,156,126,102,-1,-2
159,152,124,104,-2,2
156,145,122,121,-2,17
153,143,121,127,-1,6
151,136,121,68,0,-59
148,135,119,67,-2,-1
147,131,117,130,-2,63
148,131,117,123,0,-7
148,132,116,114,-1,-9
150,134,115,131,-1,17
153,139,115,109,0,-22
156,144,116,113,1,4
159,147,116,113,0,0
162,153,117,115,1,2
166,156,117,113,0,-2
169,163,117,118,0,5
172,169,117,120,0,2
174,174,118,122,1,2
175,177,117,124,-1,2
175,177,118,125,1,1
176,176,116,118,-2,-7
176,175,115,121,-1,3
176,176,111,120,-4,-1
175,177,110,120,-1,0
172,175,108,118,-2,-2
168,171,113,116,5,-2
160,172,113,115,0,-1
155,170,131,114,18,-1
146,171,71,114,-60,0
140,172,69,113,-2,-1
136,170,70,112,1,-1
138,171,123,111,53,-1
136,171,119,112,-4,1
142,172,118,111,-1,-1
146,173,125,111,7,0
155,173,127,111,2,0
163,174,126,110,-1,-1
173,172,128,107,2,-3
177,173,127,106,-1,-1
174,172,129,104,2,-2
178,169,126,102,-3,-2
179,168,126,101,0,-1
178,164,128,100,2,-1
168,160,123,102,-5,2
162,152,122,107,-1,5
157,149,118,106,-4,-1
151,143,116,130,-2,24
149,139,114,128,-2,-2
148,136,112,131,-2,3
