Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.697686,0.169088,4.45776,-0.704907,0.0731299,4.48695,-0.689921,0.383921,4.41951,-0.655837,0.711569,4.42412,-0.514977,-0.013066,4.48403,-0.529444,0.0805561,4.52798,-0.512945,0.387662,4.44745,-0.51835,0.716303,4.43948,-0.591054,0.718138,4.46305,-0.589198,0.986455,4.4344,-0.582384,1.24875,4.39211,-0.56601,1.37841,4.36654,-0.746597,1.13604,4.35355,-0.422839,1.12882,4.39627,-0.84485,0.655603,4.39668,-0.315024,0.646667,4.44712,-0.842251,0.894225,4.41822,-0.366554,0.855869,4.44884,0.326644,0.439762,0.425626,0.138423,0.419814,0.436794,0.323758,0.137487
-0.680376,0.175461,4.44781,-0.706816,0.084552,4.49308,-0.678604,0.38545,4.39103,-0.652318,0.710576,4.41358,-0.505608,0.00713727,4.39566,-0.520845,0.0691278,4.5191,-0.50899,0.379623,4.44269,-0.515387,0.712369,4.43088,-0.587889,0.716006,4.45346,-0.583577,0.98496,4.42498,-0.577164,1.24822,4.38619,-0.558057,1.38107,4.35871,-0.742134,1.13591,4.34921,-0.418642,1.12626,4.38431,-0.840389,0.652632,4.4021,-0.307643,0.618669,4.42223,-0.830334,0.870784,4.41283,-0.363511,0.849403,4.44169,0.325533,0.439451,0.427587,0.13803,0.420616,0.458602,0.323492,0.136931
-0.77391,0.124435,4.47336,-0.696741,0.0805474,4.48918,-0.67764,0.375274,4.36634,-0.650693,0.707588,4.40191,-0.521791,-0.0244946,4.47669,-0.514035,0.0675159,4.52736,-0.508721,0.377526,4.44294,-0.514383,0.707905,4.41982,-0.586617,0.712498,4.44206,-0.581792,0.983407,4.41479,-0.575343,1.24834,4.37751,-0.547116,1.37934,4.34595,-0.736908,1.13374,4.33695,-0.414769,1.12437,4.37607,-0.838108,0.651792,4.40322,-0.310485,0.624181,4.41786,-0.828134,0.879489,4.40926,-0.357658,0.841436,4.42199,0.32464,0.439613,0.430446,0.137481,0.419286,0.450178,0.322139,0.13631
-0.677684,0.026062,4.36884,-0.692485,0.0876349,4.48985,-0.678152,0.375203,4.36471,-0.648609,0.704484,4.39805,-0.508457,0.00530833,4.40032,-0.522086,0.0667374,4.52149,-0.508464,0.370111,4.4362,-0.513455,0.706222,4.41772,-0.585188,0.710244,4.43926,-0.578074,0.980442,4.40326,-0.568468,1.2456,4.35162,-0.541166,1.38048,4.3375,-0.73462,1.13298,4.32942,-0.408812,1.12357,4.36106,-0.836344,0.651154,4.40321,-0.313059,0.622427,4.39745,-0.82572,0.878486,4.40572,-0.356921,0.83692,4.40921,0.327476,0.442402,0.433986,0.136589,0.418491,0.445468,0.325808,0.135153
-0.693905,-0.170708,4.47161,-0.703054,-0.0794008,4.50741,-0.670468,0.26249,4.36504,-0.650469,0.695048,4.38464,-0.512295,-0.00232426,4.39538,-0.524066,0.0583521,4.51604,-0.505284,0.359092,4.43222,-0.516244,0.696639,4.40463,-0.587539,0.700748,4.42603,-0.57594,0.97386,4.38935,-0.563379,1.24177,4.34143,-0.533587,1.37311,4.31779,-0.729581,1.13124,4.31409,-0.40341,1.11512,4.34009,-0.834624,0.643176,4.40277,-0.316325,0.609282,4.36762,-0.822016,0.863412,4.39769,-0.355651,0.82649,4.39331,0.327603,0.448888,0.438207,0.135714,0.420058,0.448096,0.326171,0.134224
-0.685318,-0.186297,4.44224,-0.688816,-0.0979569,4.50215,-0.669939,0.257688,4.36486,-0.652637,0.69149,4.38101,-0.458581,1.22003e-05,4.4524,-0.524611,0.060578,4.51577,-0.504664,0.358836,4.43181,-0.518699,0.692677,4.39908,-0.589875,0.697016,4.4216,-0.576816,0.972202,4.38381,-0.562748,1.24182,4.33477,-0.532441,1.37291,4.31428,-0.726946,1.13117,4.30892,-0.400558,1.11317,4.33562,-0.833855,0.640173,4.40328,-0.317562,0.609039,4.36213,-0.821453,0.86235,4.39621,-0.356874,0.8285,4.3859,0.327973,0.451705,0.441355,0.135156,0.420347,0.446733,0.326388,0.133938
-0.668945,-0.191406,4.39453,-0.677373,-0.108137,4.47089,-0.668063,0.251385,4.35713,-0.652113,0.686173,4.37653,-0.53302,-0.0229974,4.47457,-0.503093,0.0618394,4.51824,-0.50519,0.357005,4.43122,-0.51613,0.68431,4.3921,-0.588437,0.690259,4.41604,-0.574331,0.966805,4.37511,-0.558906,1.23783,4.32297,-0.527505,1.36923,4.29652,-0.724408,1.13388,4.29894,-0.395984,1.11211,4.31889,-0.831899,0.640228,4.40178,-0.324283,0.606466,4.33937,-0.821656,0.863961,4.3886,-0.360213,0.828273,4.36655,0.329749,0.460091,0.450345,0.136885,0.41678,0.440052,0.328424,0.135983
-0.655103,-0.165758,4.29672,-0.667316,-0.105298,4.41796,-0.664641,0.243363,4.33795,-0.651942,0.679519,4.36183,-0.51749,-0.0759911,4.46074,-0.509935,0.0464513,4.51866,-0.507841,0.336454,4.42429,-0.514086,0.678367,4.37633,-0.587301,0.683882,4.40082,-0.573064,0.963128,4.35753,-0.557605,1.23679,4.30403,-0.525275,1.36638,4.28406,-0.720695,1.1334,4.27925,-0.395762,1.10902,4.30389,-0.829909,0.639808,4.39464,-0.323026,0.603865,4.33064,-0.820914,0.864925,4.37665,-0.36069,0.827916,4.34739,0.326777,0.466426,0.452445,0.138621,0.414586,0.438534,0.324933,0.137856
-0.654703,-0.195371,4.32365,-0.664837,-0.112514,4.3923,-0.660626,0.2405,4.3359,-0.651924,0.676587,4.35751,-0.516398,-0.0432128,4.46809,-0.509227,0.0461488,4.51901,-0.509551,0.333811,4.4245,-0.51389,0.677486,4.37321,-0.587188,0.682093,4.39728,-0.572544,0.960965,4.35059,-0.556526,1.23414,4.29285,-0.525474,1.36499,4.27641,-0.720077,1.13178,4.27185,-0.396393,1.10886,4.29611,-0.828174,0.637925,4.39278,-0.324006,0.604204,4.31679,-0.824422,0.864768,4.37442,-0.361853,0.829328,4.3423,0.325401,0.468166,0.453684,0.138927,0.414102,0.43611,0.323684,0.138034
-0.638299,-0.207577,4.27003,-0.65983,-0.109819,4.37483,-0.655141,0.236664,4.32163,-0.651393,0.675237,4.35382,-0.527637,-0.0386615,4.46891,-0.497608,0.0452535,4.51746,-0.510439,0.330997,4.42469,-0.513118,0.675618,4.37028,-0.586536,0.680447,4.39406,-0.57136,0.959569,4.34356,-0.554794,1.23329,4.2815,-0.521924,1.36671,4.26117,-0.721072,1.13159,4.26438,-0.397605,1.10017,4.27918,-0.828227,0.648043,4.38941,-0.327165,0.597853,4.3004,-0.827966,0.873994,4.35863,-0.361116,0.82439,4.32799,0.325327,0.470231,0.449318,0.139251,0.406363,0.438557,0.323468,0.138275
-0.627316,-0.211483,4.28363,-0.657961,-0.120377,4.35362,-0.653785,0.235035,4.319,-0.654574,0.670781,4.33949,-0.507741,-0.0260129,4.38105,-0.518083,0.0357192,4.50065,-0.510913,0.329707,4.42325,-0.516228,0.671362,4.36015,-0.58974,0.676032,4.38198,-0.573619,0.955545,4.32679,-0.55586,1.22955,4.26101,-0.529836,1.36061,4.23732,-0.721752,1.13145,4.24484,-0.398898,1.10374,4.26885,-0.829121,0.649262,4.38212,-0.333909,0.595932,4.27462,-0.829782,0.876578,4.35323,-0.363385,0.823012,4.31295,0.32493,0.475064,0.457224,0.139882,0.40268,0.43532,0.322854,0.138346
-0.630784,-0.209883,4.2698,-0.655946,-0.120511,4.34966,-0.643929,0.235831,4.31756,-0.654385,0.665816,4.32458,-0.522101,0.0180465,4.42985,-0.515091,-0.0404451,4.53181,-0.511963,0.328111,4.41677,-0.513387,0.666631,4.33606,-0.588363,0.671101,4.36279,-0.575294,0.953484,4.3141,-0.559651,1.22916,4.25317,-0.531083,1.35928,4.22859,-0.724904,1.12626,4.22902,-0.40296,1.0966,4.25231,-0.831963,0.652543,4.37602,-0.33542,0.593898,4.27117,-0.83131,0.879884,4.34332,-0.365597,0.822492,4.30142,0.324145,0.475513,0.451752,0.141467,0.400349,0.434378,0.321944,0.140998
-0.630203,-0.212853,4.26609,-0.651335,-0.119744,4.34485,-0.644865,0.237297,4.31647,-0.654911,0.662328,4.31884,-0.506454,-0.0253243,4.37252,-0.517666,0.0357089,4.49199,-0.51308,0.325469,4.41497,-0.513623,0.66516,4.33141,-0.588709,0.668692,4.35755,-0.576381,0.950228,4.30536,-0.56223,1.22554,4.24217,-0.534786,1.35836,4.22027,-0.728114,1.12516,4.22117,-0.404969,1.09674,4.24781,-0.835534,0.647875,4.36474,-0.335113,0.591779,4.26133,-0.834613,0.877189,4.33942,-0.371205,0.820729,4.285,0.325484,0.47866,0.452832,0.141874,0.402621,0.43432,0.323145,0.141288
-0.629701,-0.221357,4.24884,-0.650244,-0.119678,4.34325,-0.64652,0.2269,4.31802,-0.657679,0.658118,4.30692,-0.502316,-0.0208564,4.37977,-0.512904,0.0395437,4.49898,-0.516688,0.323589,4.40828,-0.51659,0.661041,4.32271,-0.591607,0.664494,4.34726,-0.579392,0.947593,4.29742,-0.56536,1.2242,4.23669,-0.5419,1.35449,4.21236,-0.73265,1.12452,4.21304,-0.40977,1.09548,4.23753,-0.841056,0.645108,4.35687,-0.335816,0.588073,4.24577,-0.841533,0.874381,4.32687,-0.371928,0.816731,4.28129,0.325107,0.481623,0.455418,0.142,0.404351,0.437322,0.32288,0.141089
-0.630163,-0.221044,4.24853,-0.650272,-0.116554,4.33835,-0.649052,0.237102,4.30576,-0.65815,0.654391,4.28662,-0.526261,-0.0538951,4.47459,-0.51613,0.0345505,4.49938,-0.543384,0.30966,4.3668,-0.517541,0.657722,4.30863,-0.592338,0.660974,4.33018,-0.584294,0.944345,4.27912,-0.575275,1.22135,4.21726,-0.550924,1.35477,4.19234,-0.742879,1.11937,4.19985,-0.415976,1.09759,4.22196,-0.849987,0.632277,4.34347,-0.341264,0.595036,4.23817,-0.846144,0.861292,4.30933,-0.376836,0.825274,4.26439,0.328373,0.480538,0.459688,0.142361,0.414873,0.4275,0.326903,0.140609
-0.631803,-0.221076,4.2488,-0.650341,-0.116608,4.33777,-0.647687,0.223017,4.30073,-0.658284,0.653713,4.27761,-0.532491,-0.0571617,4.45647,-0.513151,0.0292968,4.49995,-0.549359,0.286387,4.35857,-0.516923,0.660777,4.29353,-0.592133,0.661978,4.31836,-0.587218,0.944028,4.26966,-0.581004,1.21988,4.20953,-0.555966,1.35663,4.18468,-0.748001,1.11804,4.18668,-0.420117,1.10145,4.21586,-0.854808,0.635261,4.33155,-0.346236,0.59854,4.2182,-0.846956,0.865216,4.30028,-0.379254,0.828116,4.25951,0.329598,0.481575,0.457817,0.142429,0.413245,0.424362,0.327884,0.141361
-0.633307,-0.21827,4.24811,-0.650718,-0.117082,4.33616,-0.650249,0.228794,4.2882,-0.660929,0.650649,4.25637,-0.535312,-0.0935193,4.47181,-0.504556,-0.0131192,4.48607,-0.539952,0.297413,4.34037,-0.521921,0.659227,4.26643,-0.595931,0.659798,4.29398,-0.59375,0.945308,4.25205,-0.589595,1.22376,4.19776,-0.56564,1.35665,4.17418,-0.755934,1.11698,4.17707,-0.431098,1.10798,4.19655,-0.85805,0.629158,4.31327,-0.349583,0.598116,4.21334,-0.851855,0.859385,4.28002,-0.383803,0.829081,4.24658,0.325544,0.482476,0.463153,0.139635,0.416596,0.426214,0.324836,0.139008
-0.63511,-0.219091,4.24682,-0.650166,-0.117965,4.33357,-0.648274,0.228817,4.2834,-0.660578,0.648185,4.25042,-0.526841,-0.181659,4.4414,-0.524843,-0.0650836,4.50791,-0.539677,0.288187,4.31835,-0.522311,0.656372,4.26526,-0.596034,0.657252,4.29107,-0.595427,0.94359,4.24576,-0.593825,1.22391,4.18787,-0.577439,1.35613,4.15697,-0.762998,1.11114,4.16218,-0.434086,1.10676,4.1924,-0.86696,0.601007,4.29924,-0.351241,0.595858,4.20899,-0.85934,0.832415,4.26834,-0.384025,0.827951,4.24162,0.330327,0.482291,0.464691,0.139302,0.440402,0.426493,0.328912,0.138268
-0.635446,-0.218096,4.24608,-0.651655,-0.118764,4.33174,-0.647658,0.219812,4.27154,-0.668853,0.638876,4.22968,-0.502776,-0.168203,4.45683,-0.524577,-0.0838056,4.51304,-0.523272,0.216041,4.32339,-0.527287,0.648133,4.24888,-0.602719,0.64834,4.27199,-0.603846,0.937415,4.22653,-0.603083,1.22035,4.17101,-0.588751,1.35514,4.1416,-0.769651,1.1065,4.14705,-0.439458,1.10348,4.17544,-0.87082,0.615165,4.28294,-0.351808,0.589037,4.19951,-0.861613,0.846067,4.24664,-0.386043,0.821667,4.2302,0.331425,0.48545,0.469516,0.143161,0.422259,0.430837,0.330193,0.141566
-0.631754,-0.220731,4.25218,-0.651944,-0.126312,4.32745,-0.649406,0.219136,4.2621,-0.671895,0.635751,4.22295,-0.527832,-0.199829,4.42188,-0.524383,-0.10551,4.50776,-0.518393,0.208055,4.31184,-0.531592,0.643508,4.24309,-0.606374,0.64456,4.26587,-0.608577,0.933463,4.22053,-0.60924,1.21596,4.16493,-0.59757,1.35093,4.13638,-0.776115,1.10029,4.1402,-0.447768,1.10141,4.16588,-0.87499,0.610061,4.2561,-0.352365,0.584229,4.19149,-0.864938,0.844393,4.23802,-0.388831,0.817271,4.21906,0.32935,0.48322,0.471871,0.141953,0.420511,0.434111,0.328346,0.140303
-0.632273,-0.222685,4.24963,-0.651723,-0.133528,4.32514,-0.647427,0.204375,4.24983,-0.673616,0.63386,4.21844,-0.507959,-0.1874,4.46872,-0.521448,-0.0980564,4.5013,-0.514086,0.201559,4.27514,-0.534491,0.639478,4.23416,-0.6087,0.641694,4.25936,-0.612388,0.929769,4.21498,-0.614808,1.21115,4.16011,-0.607656,1.34478,4.12672,-0.783965,1.09868,4.13711,-0.451925,1.09924,4.16109,-0.880168,0.602667,4.24271,-0.353001,0.582303,4.18817,-0.867251,0.836924,4.22197,-0.389806,0.815606,4.21744,0.332905,0.484612,0.472799,0.140123,0.42364,0.434433,0.332041,0.139125
-0.624233,-0.226193,4.25693,-0.648851,-0.144307,4.31944,-0.654216,0.197171,4.24225,-0.677646,0.625982,4.20347,-0.53125,-0.197876,4.38672,-0.517058,-0.106987,4.48408,-0.508708,0.191376,4.266,-0.538059,0.632324,4.21444,-0.612628,0.634029,4.24195,-0.620185,0.92373,4.19978,-0.626378,1.20656,4.1466,-0.613667,1.34139,4.1187,-0.790291,1.09292,4.12676,-0.456523,1.09801,4.15205,-0.885185,0.591643,4.21234,-0.35344,0.578657,4.1848,-0.868798,0.826695,4.1967,-0.393148,0.812206,4.21022,0.334764,0.486419,0.476874,0.14016,0.425046,0.436409,0.333768,0.139587
-0.624589,-0.222043,4.25963,-0.642307,-0.13766,4.32038,-0.656579,0.199158,4.23105,-0.677966,0.623682,4.19471,-0.527356,-0.193407,4.38389,-0.509139,-0.106592,4.46918,-0.503401,0.185945,4.25302,-0.53813,0.631647,4.21077,-0.612814,0.632667,4.23601,-0.622552,0.92196,4.19452,-0.631062,1.20435,4.14192,-0.618617,1.33914,4.11367,-0.794723,1.08832,4.11898,-0.459769,1.0982,4.14691,-0.886299,0.587804,4.19409,-0.355089,0.578593,4.18299,-0.871673,0.824377,4.19031,-0.3967,0.812477,4.20306,0.336262,0.485029,0.477382,0.140981,0.425703,0.435397,0.334954,0.139836
