Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
152,158,32,19,0,0
132,168,42,15,10,-4
128,162,82,5,40,-10
175,158,18,5,-64,0
165,156,18,4,0,-1
168,150,17,88,-1,84
163,152,14,140,-3,52
158,155,169,98,155,-42
156,161,121,138,-48,40
147,166,131,111,10,-27
139,163,137,124,6,13
134,168,143,118,6,-6
128,170,146,119,3,1
122,171,150,121,4,2
117,171,153,124,3,3
115,169,154,123,1,-1
115,176,153,143,-1,20
109,172,156,125,3,-18
113,176,155,144,-1,19
118,172,146,131,-9,-13
108,176,156,138,10,7
114,177,148,124,-8,-14
114,172,146,139,-2,15
121,170,142,135,-4,-4
123,168,140,134,-2,-1
129,168,134,134,-6,0
129,166,135,133,1,-1
133,166,131,132,-4,-1
133,169,131,133,0,1
143,170,126,132,-5,-1
172,172,91,134,-35,2
174,174,114,151,23,17
175,176,136,104,22,-47
177,177,122,121,-14,17
171,171,114,111,-8,-10
167,173,120,116,6,5
158,168,129,128,9,12
163,168,127,128,-2,0
171,155,121,106,-6,-22
179,159,117,142,-4,36
179,152,113,99,-4,-43
179,147,111,95,-2,-4
178,150,109,132,-2,37
177,153,108,126,-1,-6
175,161,107,127,-1,1
172,163,108,136,1,9
171,173,135,133,27,-3
169,176,106,120,-29,-13
172,176,104,125,-2,5
173,172,102,129,-2,4
176,167,110,135,8,6
173,177,100,136,-10,1
172,176,27,135,-73,-1
168,176,101,138,74,3
170,177,97,135,-4,-3
171,177,95,133,-2,-2
172,177,91,135,-4,2
172,178,89,135,-2,0
172,177,88,134,-1,-1
177,177,101,134,13,0
175,175,93,132,-8,-2
174,175,100,131,7,-1
174,175,85,129,-15,-2
170,176,91,129,6,0
170,175,134,130,43,1
168,173,123,127,-11,-3
174,174,128,127,5,0
168,172,115,128,-13,1
166,169,115,126,0,-2
164,168,114,113,-1,-13
167,169,116,116,2,3
165,169,126,108,10,-8
166,165,122,111,-4,3
166,166,133,116,11,5
166,166,130,114,-3,-2
168,153,134,107,4,-7
168,153,125,111,-9,4
170,152,128,89,3,-22
172,153,126,105,-2,16
173,147,127,117,1,12
174,144,127,102,0,-15
173,149,131,109,4,7
172,157,131,104,0,-5
171,163,129,118,-2,14
171,168,128,122,-1,4
171,171,128,124,0,2
173,175,122,124,-6,0
173,176,122,125,0,1
173,176,125,130,3,5
172,174,121,123,-4,-7
171,175,122,131,1,8
172,177,120,124,-2,-7
170,177,116,124,-4,0
174,179,116,125,0,1
173,178,118,123,2,-2
174,177,117,118,-1,-5
175,175,117,117,0,-1
176,171,116,109,-1,-8
179,165,118,106,2,-3
177,156,121,117,3,11
179,154,129,121,8,4
177,153,122,120,-7,-1
177,153,112,122,-10,2
175,155,111,124,-1,2
172,158,116,126,5,2
174,163,111,129,-5,3
171,168,112,131,1,2
171,171,116,132,4,1
171,173,119,132,3,0
170,174,114,134,-5,2
168,170,119,133,5,-1
167,163,122,109,3,-24
165,163,124,126,2,17
170,157,114,126,-10,0
168,156,120,81,6,-45
169,155,114,78,-6,-3
170,152,114,75,0,-3
175,149,115,76,1,1
174,147,116,112,1,36
179,148,123,97,7,-15
