Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.39,138.62,4.55,1.37,136.93,4.49,,48.1,69.8
1.38,137.98,4.53,1.37,136.76,4.49,,44.4,69.1
1.39,138.65,4.55,1.37,137.09,4.5,,45.3,69.5
1.38,138.41,4.54,1.37,137.02,4.5,,45.9,69.5
1.38,138.29,4.54,1.37,137.31,4.51,,45.1,69.7
1.39,138.6,4.55,1.38,137.79,4.52,,44,69.9
1.39,138.98,4.56,1.39,138.68,4.55,,45.2,71.1
1.38,137.85,4.52,1.37,136.92,4.49,,45.6,69.7
1.38,138.27,4.54,1.38,137.67,4.52,,46.7,70
1.43,143.48,4.71,1.44,144.2,4.73,,47.3,77.2
1.46,145.74,4.78,1.46,145.78,4.78,,45.6,78.9
1.44,144.1,4.73,1.44,144.09,4.73,,47.1,76.7
1.44,144.49,4.74,1.44,144.05,4.73,,45.7,76.5
1.47,146.71,4.81,1.46,146.22,4.8,,48,78.6
1.48,147.6,4.84,1.47,147.05,4.82,,48.9,79.7
1.44,144.37,4.74,1.44,143.81,4.72,,47.1,77
1.45,144.77,4.75,1.44,143.78,4.72,,47.1,77.3
1.42,142.1,4.66,1.41,140.99,4.63,,47.5,74.6
1.4,140.32,4.6,1.39,139.15,4.57,,48.7,73.5
1.42,141.64,4.65,1.4,139.65,4.58,,47.5,73.5
1.41,140.65,4.61,1.39,138.97,4.56,,47.2,72.7
1.4,139.88,4.59,1.38,137.94,4.53,,46.8,72
1.42,141.93,4.66,1.4,140.28,4.6,,43.5,74
1.41,141.06,4.63,1.4,139.94,4.59,,44.9,73.3
1.41,140.79,4.62,1.39,138.99,4.56,,48,72
1.39,138.52,4.54,1.37,137,4.49,,48.4,70.1
1.41,140.95,4.62,1.39,139.34,4.57,,48.6,72.4
1.39,139.23,4.57,1.38,137.88,4.52,,50,70.9
1.38,138.44,4.54,1.37,137.24,4.5,,45.4,69.6
1.38,138.21,4.53,1.37,137.38,4.51,,43.8,69.4
1.37,137.35,4.51,1.37,136.76,4.49,,44.9,69.7
1.39,138.64,4.55,1.38,138.18,4.53,,45.6,70.7
1.39,138.63,4.55,1.39,138.6,4.55,,45.6,71.1
1.4,139.85,4.59,1.4,139.56,4.58,,45.1,72.8
1.4,140.36,4.61,1.4,140.21,4.6,,43.2,73
1.4,140.42,4.61,1.41,140.57,4.61,,45,73.5
1.41,140.6,4.61,1.41,140.89,4.62,,46.3,74.3
1.37,137.17,4.5,1.38,137.63,4.52,,46.7,71.3
1.41,141.22,4.63,1.42,141.93,4.66,,45.5,75.7
1.42,142.14,4.66,1.43,143.02,4.69,,43.7,77.4
1.42,142.14,4.66,1.43,142.65,4.68,,44.8,76.4
1.4,140.2,4.6,1.41,140.76,4.62,,45.4,75.4
1.41,141.34,4.64,1.42,141.77,4.65,,45.3,76
1.41,141.02,4.63,1.41,141.36,4.64,,45.6,75.8
1.4,139.85,4.59,1.4,139.76,4.59,,46.6,74
1.42,141.63,4.65,1.41,141,4.63,,46.8,74.8
1.48,148.12,4.86,1.48,147.91,4.85,,47.5,81.8
1.42,142.1,4.66,1.42,141.69,4.65,,47.2,76.2
1.43,143.48,4.71,1.42,142.29,4.67,,46.8,77
1.44,143.8,4.72,1.43,142.53,4.68,,47.3,77.1
1.43,142.85,4.69,1.41,141.25,4.63,,47.4,76.1
1.41,141.42,4.64,1.4,139.63,4.58,,46.7,74.5
1.42,142.24,4.67,1.4,140.15,4.6,,46.3,74.8
1.42,141.76,4.65,1.4,139.77,4.59,,46.9,74.6
1.42,141.85,4.65,1.4,140.07,4.6,,46.8,74.5
1.42,142.46,4.67,1.4,140.4,4.61,,45.8,74.3
1.42,142.12,4.66,1.4,140.22,4.6,,45.6,73.5
1.42,142.4,4.67,1.41,140.51,4.61,,45.6,73.6
1.42,141.75,4.65,1.4,139.89,4.59,,46.5,73.2
1.41,141.18,4.63,1.4,139.62,4.58,,46.9,72.9
1.4,140.13,4.6,1.39,139.09,4.56,,46.5,72.3
1.39,138.97,4.56,1.38,138.27,4.54,,46,71.9
1.38,138.29,4.54,1.38,137.76,4.52,,45.8,71.7
1.38,138.02,4.53,1.37,137.42,4.51,,46.4,71.5
1.38,138.23,4.54,1.38,137.73,4.52,,46,71.9
