Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.58,157.87,5.18,1.56,155.82,5.11,,55.5,81.4
1.59,158.75,5.21,1.57,156.75,5.14,,54.9,82.5
1.58,158.23,5.19,1.56,156.18,5.12,,54.7,81.5
1.58,158.35,5.2,1.56,156.47,5.13,,54.4,81.9
1.57,156.96,5.15,1.55,155.26,5.09,,53,80.4
1.6,160.42,5.26,1.59,158.58,5.2,,49.4,84.1
1.61,160.53,5.27,1.59,158.94,5.21,,52.9,83.6
1.58,158.45,5.2,1.57,156.84,5.15,,51.1,82.5
1.58,157.83,5.18,1.56,156.14,5.12,,53.3,81.4
1.57,156.93,5.15,1.55,155.03,5.09,,52.5,79.8
1.56,156.27,5.13,1.54,154.49,5.07,,52.9,79.7
1.56,156.02,5.12,1.54,154.36,5.06,,56.9,78.4
1.56,155.76,5.11,1.54,154.15,5.06,,54.6,78.5
1.56,156.1,5.12,1.55,154.63,5.07,,55,79.1
1.57,156.6,5.14,1.55,155.34,5.1,,53.9,80
1.57,156.55,5.14,1.55,155.42,5.1,,54.9,79.9
1.57,156.91,5.15,1.56,156.21,5.12,,55.5,80.2
1.57,156.63,5.14,1.56,156.01,5.12,,54.7,79.7
1.56,155.94,5.12,1.55,155.48,5.1,,50.4,79.3
1.55,155.02,5.09,1.55,154.89,5.08,,51.4,78.8
1.54,154.31,5.06,1.54,154.31,5.06,,51.6,78.2
1.58,157.74,5.18,1.58,158.1,5.19,,52.7,82.6
1.58,157.67,5.17,1.58,158.2,5.19,,52.3,82.1
1.57,157.4,5.16,1.58,158.13,5.19,,53.3,81.7
1.57,156.74,5.14,1.58,157.85,5.18,,53.7,81.4
1.58,158.36,5.2,1.58,158.41,5.2,,51.4,80.4
1.6,159.97,5.25,1.6,160.4,5.26,,52.9,83.3
1.62,162.15,5.32,1.62,161.78,5.31,,50.3,84.5
1.61,160.87,5.28,1.6,159.9,5.25,,51.1,83.5
1.62,161.54,5.3,1.6,160.2,5.26,,50.9,83.5
1.6,160.42,5.26,1.59,159.09,5.22,,51.2,82.6
1.62,162.16,5.32,1.61,160.54,5.27,,51.3,83.7
1.61,161.35,5.29,1.6,159.82,5.24,,52.4,83.5
