Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.33,133.31,4.37,1.32,131.89,4.33,,52.5,62.6
1.26,126.44,4.15,1.24,124.28,4.08,,49.1,57.3
1.28,128,4.2,1.26,126.4,4.15,,43.8,59.1
1.27,126.65,4.16,1.25,124.88,4.1,,46.8,57.5
1.26,126.28,4.14,1.25,124.83,4.1,,42.6,56.5
1.25,125.27,4.11,1.24,123.6,4.06,,42.1,56.2
1.29,128.63,4.22,1.27,127.16,4.17,,41.8,60.3
1.29,128.58,4.22,1.27,127.26,4.18,,41,60.6
1.29,129.19,4.24,1.28,127.81,4.19,,40.9,61.5
1.27,126.81,4.16,1.26,125.54,4.12,,40.7,59
1.34,134.14,4.4,1.33,132.84,4.36,,42.7,66.5
1.39,139.37,4.57,1.39,138.66,4.55,,41,71.9
1.41,140.92,4.62,1.4,140.36,4.6,,42.7,73.5
1.43,142.58,4.68,1.42,141.95,4.66,,41.5,75.5
1.44,144.27,4.73,1.44,143.72,4.72,,46,76.3
1.43,142.64,4.68,1.42,141.81,4.65,,46,75.3
1.43,143.06,4.69,1.42,142.32,4.67,,46.2,75.2
1.43,143.48,4.71,1.43,143.01,4.69,,46.5,75.8
1.44,143.86,4.72,1.43,142.96,4.69,,46.7,76.2
1.4,140.15,4.6,1.39,139.23,4.57,,46.8,72.5
1.41,141.3,4.64,1.4,140.28,4.6,,47.1,74
1.41,141.4,4.64,1.4,140.24,4.6,,45.9,73.6
1.4,140.39,4.61,1.39,139.1,4.56,,47.9,73.1
1.4,139.62,4.58,1.38,138.34,4.54,,49.2,71.9
1.37,137.32,4.51,1.36,136.01,4.46,,49.8,70.7
1.37,137.47,4.51,1.36,136.11,4.47,,48,70.2
1.38,137.58,4.51,1.36,136.11,4.47,,49.5,70.4
1.38,138.26,4.54,1.37,137.13,4.5,,51.4,71.2
1.41,140.56,4.61,1.39,139.05,4.56,,49.1,73.2
1.37,137.13,4.5,1.35,135.3,4.44,,50.1,69.7
1.37,137.47,4.51,1.36,135.73,4.45,,50,69.9
1.37,137,4.49,1.36,135.92,4.46,,49.1,69.4
1.38,137.96,4.53,1.37,136.51,4.48,,48.3,70.5
1.38,137.84,4.52,1.36,136.28,4.47,,48.6,69.7
1.37,136.83,4.49,1.36,135.62,4.45,,47.5,69.8
1.38,137.8,4.52,1.36,136.45,4.48,,47.6,70.2
1.38,137.55,4.51,1.36,136.3,4.47,,45.7,70.2
1.38,138.37,4.54,1.37,137.16,4.5,,49.4,71.1
1.39,139.48,4.58,1.38,138.38,4.54,,50,71.9
1.39,139.36,4.57,1.38,138.32,4.54,,48.7,71.3
1.4,139.94,4.59,1.39,138.9,4.56,,48.3,71.9
1.39,139.47,4.58,1.39,138.56,4.55,,46.9,71.1
1.4,139.59,4.58,1.39,138.81,4.55,,46,70.9
1.4,140.17,4.6,1.39,139.33,4.57,,46.8,71
1.4,140.08,4.6,1.39,139.25,4.57,,46.3,71.1
1.4,139.78,4.59,1.39,139.14,4.57,,46,71.1
1.4,140.05,4.59,1.39,139.46,4.58,,44.8,71.8
1.41,140.93,4.62,1.41,140.53,4.61,,44.6,73
1.41,141.16,4.63,1.41,140.76,4.62,,43.7,73.3
1.42,141.93,4.66,1.42,141.63,4.65,,43.3,73.7
1.42,141.88,4.65,1.42,141.79,4.65,,44.2,74
1.42,141.54,4.64,1.42,141.58,4.64,,44.2,74.7
1.43,142.74,4.68,1.43,142.9,4.69,,44.8,75.8
1.44,144.48,4.74,1.44,144.47,4.74,,45.8,77.6
1.44,143.98,4.72,1.44,143.73,4.72,,46.2,76.9
1.45,144.73,4.75,1.45,144.63,4.75,,46.9,77.3
1.44,144.07,4.73,1.44,143.82,4.72,,47.6,76.4
1.44,143.78,4.72,1.44,143.56,4.71,,49.2,76.1
1.44,143.78,4.72,1.43,143.43,4.71,,48.7,76.1
1.43,143.18,4.7,1.43,142.67,4.68,,49,74.6
1.41,141.46,4.64,1.41,140.78,4.62,,48.8,74.2
1.43,142.68,4.68,1.42,142.04,4.66,,48.8,74.9
1.41,140.63,4.61,1.4,140.04,4.59,,48.6,72.3
1.4,140.18,4.6,1.39,139.5,4.58,,48.7,72
1.38,138.42,4.54,1.38,137.91,4.52,,48.7,70.2
1.39,138.63,4.55,1.38,137.87,4.52,,48.9,70.4
1.41,140.79,4.62,1.4,139.92,4.59,,48.9,72.9
1.39,139.17,4.57,1.38,138.3,4.54,,49.3,71.2
1.39,139.46,4.58,1.38,138.3,4.54,,49.1,71.4
1.38,138.36,4.54,1.37,137.48,4.51,,49.8,70.6
1.38,137.92,4.53,1.37,136.86,4.49,,49.6,70.2
1.39,138.73,4.55,1.37,137.32,4.51,,47.9,70.6
1.38,138.42,4.54,1.37,137.25,4.5,,48.8,70.5
1.4,140.33,4.6,1.39,139.16,4.57,,47.8,72.4
1.41,140.82,4.62,1.4,139.61,4.58,,47.9,72.6
1.41,140.8,4.62,1.4,139.7,4.58,,47.5,72.5
1.41,140.59,4.61,1.4,139.52,4.58,,48.2,72.7
1.41,140.86,4.62,1.4,139.89,4.59,,48.2,72.7
1.41,141.04,4.63,1.4,139.98,4.59,,49.6,72.7
1.41,141.36,4.64,1.4,140.37,4.61,,49.3,73.3
1.41,141.49,4.64,1.41,140.53,4.61,,46.9,73.7
1.42,141.71,4.65,1.41,140.81,4.62,,45.8,74.2
1.42,141.88,4.65,1.41,141.08,4.63,,46.1,74.4
1.42,142.1,4.66,1.41,141.45,4.64,,45.8,74.5
1.42,142.17,4.66,1.42,141.58,4.65,,45.7,74.7
1.43,142.67,4.68,1.42,142.07,4.66,,44.8,75.2
1.43,142.61,4.68,1.42,142.24,4.67,,44.7,75.6
1.43,142.65,4.68,1.42,142.43,4.67,,44.3,75.9
1.43,143.01,4.69,1.43,142.88,4.69,,44.1,76.6
1.43,143.33,4.7,1.43,143.31,4.7,,44.5,77.2
1.44,143.9,4.72,1.44,143.93,4.72,,45.4,78
1.45,144.62,4.74,1.45,144.66,4.75,,45.4,78.7
1.44,144.35,4.74,1.44,144.24,4.73,,45.8,78.6
1.44,144.25,4.73,1.44,144.1,4.73,,46.7,78.2
