Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
41,145,68,13,0,0,60,24,FF,FF
11,119,63,20,-5,7,60,24,FF,FF
21,96,60,30,-3,10,60,24,FF,FF
17,110,52,35,-8,5,60,24,FF,FF
15,125,54,43,2,8,57,52,FF,FF
21,65,53,54,-1,11,57,52,FF,FF
26,139,60,57,7,3,57,52,FF,FF
39,148,62,54,2,-3,57,52,FF,FF
151,120,66,44,4,-10,74,33,FF,FF
170,145,72,36,6,-8,74,33,FF,FF
140,138,78,30,6,-6,74,33,FF,FF
131,141,82,24,4,-6,74,33,FF,FF
152,124,88,22,6,-2,80,14,FF,TO
152,151,84,18,-4,-4,80,14,FF,TO
148,154,79,14,-5,-4,80,14,FF,TO
169,157,72,5,-7,-9,80,14,FF,TO
167,163,63,12,-9,7,57,9,FF,TO
171,158,55,11,-8,-1,57,9,FF,TO
172,165,53,4,-2,-7,57,9,FF,TO
175,144,57,10,4,6,57,9,FF,TO
175,127,64,17,7,7,75,8,FF,TO
177,64,72,10,8,-7,75,8,FF,TO
161,103,80,2,8,-8,75,8,FF,TO
170,82,87,4,7,2,75,8,FF,TO
173,159,94,11,7,7,103,7,FF,TO
166,156,100,8,6,-3,103,7,FF,TO
167,159,106,4,6,-4,103,7,FF,TO
168,142,113,8,7,4,103,7,FF,TO
167,140,117,13,4,5,122,14,FF,TO
169,126,127,12,10,-1,122,14,FF,TO
168,129,120,15,-7,3,122,14,FF,TO
168,121,125,19,5,4,122,14,FF,TO
163,128,134,25,9,6,134,37,HS,FF
167,136,137,33,3,8,134,37,HS,FF
157,149,134,42,-3,9,134,37,HS,FF
163,162,132,51,-2,9,134,37,HS,FF
157,166,129,61,-3,10,121,74,FF,FF
157,177,124,70,-5,9,121,74,FF,FF
160,174,119,79,-5,9,121,74,FF,FF
157,175,113,87,-6,8,121,74,FF,FF
