Difference Between AL & AR 
0.132627
0.174736
0.244713
0.215614
0.276369
0.395247
0.480386
0.436856
0.30806
0.505377
0.484709
0.563498
0.492446
0.414149
0.406353
0.386367
0.377217
0.331413
0.239868
0.196273
0.138262
0.124444
0.143794
0.184149
0.204054
0.252183
0.313181
0.275093
0.318809
0.308663
0.312393
0.348135
0.367512
0.390204
0.434811
0.420646
0.422129
0.431177
0.387031
0.415761
0.262572
0.25294
0.165308
0.122725
0.134998
0.142617
0.164195
0.189522
0.208979
0.251654
0.322728
0.346244
0.373809
0.426059
0.449099
0.477235
0.491431
0.52342
0.522737
0.471459
0.45505
0.388307
0.393264
0.280619
0.2456
0.196621
0.145249
0.163455
0.166206
0.235168
0.249851
0.353187
0.263652
0.284874
0.373532
0.391676
0.424506
0.497433
0.468299
0.430099
0.480896
0.332112
0.445115
0.382196
0.335283
0.313528
0.213007
0.218732
0.159889
0.21605
0.177673
0.14989
0.136294
0.165014
0.232819
0.327777
0.393458
0.444917
0.515414
0.481963
0.497522
0.472852
0.501654
0.502564
0.36173
0.475466
0.391816
0.443331
0.422713
0.350445
0.319171
0.262324
0.23003
0.172559
0.140967
0.105907
0.130067
0.191782
0.263101
0.317282
