Difference Between AL & AR 
0.154005
0.0614557
0.0973863
0.196168
0.461586
0.333613
0.553655
0.489797
0.349035
0.734742
0.817594
0.781795
0.772912
0.784564
0.550102
0.622218
0.49315
0.495612
0.537923
0.597979
0.593985
0.261706
0.298922
0.315844
0.282897
0.278287
0.264521
0.252126
0.253574
0.29269
0.320659
0.274099
0.278133
0.345681
0.366524
0.373137
0.366918
0.389126
0.404593
0.355178
0.331852
0.29561
0.335132
0.274192
0.223051
0.17281
0.165931
0.195397
0.246987
0.305523
0.354944
0.395624
0.432939
0.394042
0.374038
0.339011
0.33125
0.282494
0.252678
0.224534
0.18478
0.137599
0.130797
0.184264
0.24227
0.314862
0.387952
0.435838
0.489531
0.509414
0.521577
0.514649
0.520938
0.524237
0.49076
0.440548
0.40574
0.347743
0.28274
0.214159
0.151803
0.151432
0.205701
0.282656
0.355134
0.399108
0.408809
0.404732
0.403324
0.394827
0.373669
0.356001
0.297041
0.264487
0.205585
0.165131
0.150051
0.179203
0.230396
0.294465
0.354865
0.419398
0.478953
0.517157
0.530705
0.547518
0.545207
0.545712
0.518229
0.477504
0.417358
0.367281
0.300985
0.234033
0.176912
0.177064
0.231606
0.314929
0.40254
0.471762
