Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
40,9,61,149,0,0
13,5,149,148,88,-1
46,14,122,110,-27,-38
133,19,110,114,-12,4
163,32,140,131,30,17
178,168,123,116,-17,-15
175,114,122,145,-1,29
171,159,122,125,0,-20
154,159,120,125,-2,0
155,168,120,121,0,-4
163,160,104,142,-16,21
165,160,93,143,-11,1
177,160,122,124,29,-19
177,160,123,124,1,0
177,158,139,91,16,-33
177,157,120,89,-19,-2
177,157,120,85,0,-4
177,154,120,77,0,-8
176,158,119,78,-1,1
175,159,118,122,-1,44
175,160,133,120,15,-2
175,160,135,119,2,-1
176,162,133,113,-2,-6
177,164,139,115,6,2
176,154,115,134,-24,19
176,164,114,109,-1,-25
174,161,111,100,-3,-9
173,158,111,100,0,0
172,151,109,94,-2,-6
172,157,109,128,0,34
172,159,108,131,-1,3
171,159,107,121,-1,-10
173,162,138,123,31,2
172,165,137,128,-1,5
172,165,138,124,1,-4
173,172,136,138,-2,14
172,174,135,130,-1,-8
172,177,133,138,-2,8
172,177,132,138,-1,0
171,175,132,138,0,0
170,175,132,137,0,-1
170,175,131,136,-1,-1
168,173,129,136,-2,0
167,175,129,136,0,0
167,174,129,137,0,1
167,175,132,137,3,0
166,175,132,135,0,-2
167,171,131,133,-1,-2
167,171,132,136,1,3
167,171,135,136,3,0
167,170,136,135,1,-1
168,170,93,134,-43,-1
169,167,93,133,0,-1
170,168,92,134,-1,1
167,171,92,135,0,1
165,170,91,133,-1,-2
164,169,89,130,-2,-3
160,173,88,133,-1,3
161,171,115,132,27,-1
159,171,128,131,13,-1
160,173,116,131,-12,0
160,173,133,128,17,-3
161,174,127,130,-6,2
164,173,95,130,-32,0
162,173,111,129,16,-1
164,174,123,129,12,0
167,172,100,126,-23,-3
168,173,132,125,32,-1
166,172,123,126,-9,1
167,172,106,127,-17,1
167,172,123,126,17,-1
168,172,128,124,5,-2
169,172,124,122,-4,-2
168,172,130,121,6,-1
171,171,132,120,2,-1
172,171,134,118,2,-2
171,170,128,118,-6,0
172,169,132,118,4,0
173,169,136,117,4,-1
173,169,133,116,-3,-1
172,170,136,114,3,-2
174,170,134,112,-2,-2
175,170,131,110,-3,-2
175,170,128,109,-3,-1
175,170,128,109,0,0
175,170,130,111,2,2
175,171,133,111,3,0
176,171,133,113,0,2
174,167,131,112,-2,-1
172,169,132,116,1,4
171,170,132,120,0,4
170,169,131,120,-1,0
169,168,131,124,0,4
168,166,130,129,-1,5
168,165,131,126,1,-3
168,160,131,133,0,7
168,160,132,130,1,-3
168,158,133,131,1,1
167,155,131,130,-2,-1
168,156,133,122,2,-8
167,158,132,124,-1,2
168,157,133,115,1,-9
169,159,134,122,1,7
169,160,133,120,-1,-2
170,161,133,124,0,4
170,162,132,123,-1,-1
170,163,132,124,0,1
171,169,131,125,-1,1
171,168,130,126,-1,1
172,170,129,117,-1,-9
172,173,128,124,-1,7
172,173,128,123,0,-1
173,174,129,127,1,4
173,172,130,134,1,7
173,172,128,128,-2,-6
173,172,127,134,-1,6
173,171,125,134,-2,0
173,171,123,136,-2,2
173,172,124,136,1,0
173,173,124,135,0,-1
