Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
148,28,122,35,0,0
155,15,135,13,13,-22
166,160,141,11,6,-2
168,165,133,10,-8,-1
167,165,129,12,-4,2
171,159,140,12,11,0
169,166,139,11,-1,-1
165,168,138,9,-1,-2
160,163,135,9,-3,0
156,164,129,12,-6,3
150,167,125,14,-4,2
150,166,124,13,-1,-1
147,159,122,11,-2,-2
145,144,120,11,-2,0
146,149,122,11,2,0
146,150,122,12,0,1
147,149,126,6,4,-6
149,148,116,45,-10,39
151,148,115,72,-1,27
154,147,116,73,1,1
158,139,116,114,0,41
160,139,117,104,1,-10
164,141,118,103,1,-1
166,147,118,104,0,1
168,152,119,109,1,5
169,151,117,118,-2,9
169,153,118,114,1,-4
169,162,117,107,-1,-7
169,166,115,134,-2,27
171,169,116,115,1,-19
171,171,115,138,-1,23
173,171,112,141,-3,3
174,173,114,140,2,-1
174,172,112,141,-2,1
177,173,111,140,-1,-1
174,172,111,138,0,-2
174,168,110,133,-1,-5
174,165,110,131,0,-2
169,166,105,130,-5,-1
160,166,100,130,-5,0
157,163,100,127,0,-3
156,164,102,127,2,0
149,164,105,126,3,-1
149,165,106,126,1,0
148,167,109,126,3,0
145,168,111,127,2,1
151,170,113,127,2,0
143,171,107,127,-6,0
148,173,125,127,18,0
149,174,118,129,-7,2
153,174,102,128,-16,-1
154,175,133,116,31,-12
155,176,131,123,-2,7
161,174,114,124,-17,1
158,174,134,122,20,-2
161,174,138,120,4,-2
159,175,140,120,2,0
162,174,117,119,-23,-1
160,174,115,117,-2,-2
159,174,114,117,-1,0
151,174,109,117,-5,0
149,175,107,116,-2,-1
144,175,137,116,30,0
144,176,136,115,-1,-1
141,173,99,110,-37,-5
142,173,99,110,0,0
144,168,98,115,-1,5
145,159,97,112,-1,-3
148,151,96,112,-1,0
151,145,135,103,39,-9
156,139,136,99,1,-4
159,143,97,107,-39,8
161,138,98,100,1,-7
164,139,98,113,0,13
166,140,98,112,0,-1
169,147,99,119,1,7
171,150,99,116,0,-3
173,159,99,132,0,16
174,167,99,132,0,0
175,173,98,117,-1,-15
175,173,96,134,-2,17
176,174,94,135,-2,1
175,171,133,141,39,6
169,169,129,109,-4,-32
164,164,131,105,2,-4
155,165,131,103,0,-2
148,166,130,101,-1,-2
142,166,132,100,2,-1
139,166,116,99,-16,-1
138,166,123,98,7,-1
137,167,115,97,-8,-1
138,167,115,97,0,0
138,168,113,96,-2,-1
141,170,114,96,1,0
143,170,118,95,4,-1
149,170,122,134,4,39
151,170,122,134,0,0
153,170,123,134,1,0
154,170,125,92,2,-42
156,169,136,91,11,-1
157,168,130,90,-6,-1
158,169,136,89,6,-1
160,169,138,133,2,44
160,169,140,132,2,-1
159,169,135,132,-5,0
159,168,137,131,2,-1
158,169,139,130,2,-1
157,169,113,129,-26,-1
153,169,111,129,-2,0
150,168,108,128,-3,-1
143,167,103,129,-5,1
143,164,102,128,-1,-1
142,157,100,69,-2,-59
140,150,97,65,-3,-4
143,143,96,132,-1,67
145,139,95,118,-1,-14
149,133,96,127,1,9
153,132,96,115,0,-12
156,132,96,117,0,2
159,134,96,114,0,-3
