Difference Between AL & AR 
0.036972
0.151381
0.221259
0.212951
0.189791
0.0902378
0.0224615
0.0237967
0.0217096
0.020313
0.0227451
0.0377108
0.0780076
0.0774808
0.0839324
0.0823225
0.103059
0.0993527
0.0729849
0.0698549
0.088258
0.0985173
0.10007
0.139113
0.124763
0.121673
0.119153
0.117852
0.0954465
0.114742
0.115851
0.0863821
0.0802365
0.193349
0.215135
0.226047
0.228993
0.311874
0.35789
0.363035
0.49321
0.275737
0.475206
0.736078
0.74064
0.738377
0.729354
0.723531
0.723916
0.718262
0.719341
0.722511
0.721734
0.731395
0.729278
0.699969
0.708596
0.705324
0.697007
0.692625
0.690874
0.688283
0.688495
0.684469
0.667841
0.403271
0.23963
0.0915917
0.0975114
0.100992
0.0997084
0.108694
0.132737
0.224039
0.248721
0.256452
0.250563
0.256215
0.286214
0.289695
0.293846
0.294383
0.296088
0.298628
0.301414
0.30266
0.301547
0.299815
0.342681
0.372033
0.301618
0.302911
0.303479
0.298183
0.287811
0.287616
0.283532
0.282991
0.282468
0.27747
0.274753
0.273469
0.271554
0.263349
0.260795
0.263146
0.255849
0.236649
0.238073
0.29339
0.49894
0.504531
0.496649
0.479496
0.0784312
0.0423999
0.0187692
0.0220882
0.037569
0.0356729
