Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
173,45,15,40,0,0,14,39,TO,FF
163,39,14,33,-1,-7,14,39,TO,FF
174,57,18,37,4,4,14,39,TO,FF
162,68,12,47,-6,10,14,39,TO,FF
167,81,9,52,-3,5,9,41,TO,FF
161,161,8,43,-1,-9,9,41,TO,FF
166,141,5,38,-3,-5,9,41,TO,FF
155,140,15,34,10,-4,9,41,TO,FF
155,138,20,28,5,-6,34,25,FF,TO
158,142,28,20,8,-8,34,25,FF,TO
165,149,38,22,10,2,34,25,FF,TO
168,148,50,30,12,8,34,25,FF,TO
171,147,61,29,11,-1,75,39,FF,FF
178,151,71,38,10,9,75,39,FF,FF
177,170,81,41,10,3,75,39,FF,FF
176,172,90,48,9,7,75,39,FF,FF
175,164,97,58,7,10,106,64,FF,FF
173,168,104,62,7,4,106,64,FF,FF
171,170,110,66,6,4,106,64,FF,FF
171,169,115,71,5,5,106,64,FF,FF
170,167,122,75,7,4,129,79,FF,FF
169,165,127,77,5,2,129,79,FF,FF
169,161,130,82,3,5,129,79,FF,FF
171,166,137,85,7,3,129,79,FF,FF
175,166,142,89,5,4,139,94,HS,FF
173,163,140,93,-2,4,139,94,HS,FF
175,160,138,97,-2,4,139,94,HS,FF
173,160,138,100,0,3,139,94,HS,FF
173,160,137,104,-1,4,134,108,HS,FF
171,158,132,107,-5,3,134,108,HS,FF
174,164,138,110,6,3,134,108,HS,FF
173,168,132,113,-6,3,134,108,HS,FF
173,166,138,118,6,5,136,118,HS,FF
174,171,137,119,-1,1,136,118,HS,FF
175,173,136,117,-1,-2,136,118,HS,FF
176,174,136,121,0,4,136,118,HS,FF
175,177,137,126,1,5,135,129,HS,HS
176,177,136,130,-1,4,135,129,HS,HS
175,173,134,131,-2,1,135,129,HS,HS
177,175,134,131,0,0,135,129,HS,HS
177,172,137,135,3,4,135,132,HS,HS
177,176,135,130,-2,-5,135,132,HS,HS
177,174,135,132,0,2,135,132,HS,HS
177,172,134,133,-1,1,135,132,HS,HS
177,172,134,136,0,3,133,130,HS,HS
176,172,133,130,-1,-6,133,130,HS,HS
176,172,133,128,0,-2,133,130,HS,HS
176,173,135,127,2,-1,133,130,HS,HS
176,173,133,128,-2,1,133,130,HS,HS
176,172,132,130,-1,2,133,130,HS,HS
176,171,133,132,1,2,133,130,HS,HS
