Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.28,128.19,4.21,1.26,126.03,4.13,,44.6,56.7
1.28,128.08,4.2,1.26,125.97,4.13,,43.8,56.8
1.28,127.79,4.19,1.26,126,4.13,,43.9,56.8
1.28,127.58,4.19,1.26,126.13,4.14,,42.4,56.8
1.27,126.94,4.16,1.26,125.63,4.12,,42.4,56.2
1.27,127.16,4.17,1.26,125.96,4.13,,42.3,56
1.27,126.91,4.16,1.26,125.92,4.13,,42.4,56.1
1.27,127.25,4.17,1.26,126.36,4.15,,42.1,56.3
1.27,127.44,4.18,1.27,126.79,4.16,,42.2,56.5
1.27,127.15,4.17,1.26,126.47,4.15,,42.3,56.1
1.27,126.83,4.16,1.26,126.18,4.14,,42.1,55.6
1.27,127.41,4.18,1.27,126.8,4.16,,42.2,56.4
1.28,127.69,4.19,1.27,127.13,4.17,,42.2,56.5
1.28,128.1,4.2,1.28,127.61,4.19,,42.5,57
1.28,128.19,4.21,1.28,127.65,4.19,,42.6,57.1
1.28,127.98,4.2,1.27,127.34,4.18,,42.5,56.9
1.28,128.39,4.21,1.28,127.7,4.19,,42.9,57.2
1.29,128.71,4.22,1.28,127.91,4.2,,43.1,57.6
1.29,128.63,4.22,1.28,127.64,4.19,,43.8,57.2
1.31,130.72,4.29,1.29,129.46,4.25,,44.5,59.2
1.33,133.23,4.37,1.32,131.69,4.32,,44.9,62
1.34,134.36,4.41,1.33,132.96,4.36,,45.2,63.3
1.35,134.83,4.42,1.33,133.14,4.37,,46.4,63.4
1.33,132.98,4.36,1.31,130.92,4.3,,46.6,61.4
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
