Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
159,176,125,131,0,0,120,131,FF,HS
158,175,123,132,-2,1,120,131,FF,HS
162,176,115,133,-8,1,120,131,FF,HS
156,174,118,131,3,-2,120,131,FF,HS
157,172,123,126,5,-5,120,126,FF,HS
158,174,121,126,-2,0,120,126,FF,HS
156,168,119,126,-2,0,120,126,FF,HS
154,170,120,129,1,3,120,126,FF,HS
152,169,124,125,4,-4,117,124,FF,HS
152,169,122,125,-2,0,117,124,FF,HS
156,169,116,124,-6,-1,117,124,FF,HS
155,169,109,123,-7,-1,117,124,FF,HS
140,169,112,123,3,0,108,122,FF,HS
142,170,103,123,-9,0,108,122,FF,HS
144,171,104,122,1,-1,108,122,FF,HS
149,171,113,123,9,1,108,122,FF,HS
154,170,121,120,8,-3,127,119,HS,FF
167,171,127,121,6,1,127,119,HS,FF
170,171,126,120,-1,-1,127,119,HS,FF
175,170,134,117,8,-3,127,119,HS,FF
174,170,135,116,1,-1,131,117,HS,FF
175,170,130,120,-5,4,131,117,HS,FF
173,171,130,118,0,-2,131,117,HS,FF
172,168,130,114,0,-4,131,117,HS,FF
169,164,128,109,-2,-5,128,109,HS,FF
167,161,128,104,0,-5,128,109,HS,FF
168,163,129,113,1,9,128,109,HS,FF
170,164,129,112,0,-1,128,109,HS,FF
171,163,132,107,3,-5,127,110,HS,FF
172,163,130,109,-2,2,127,110,HS,FF
172,164,123,108,-7,-1,127,110,HS,FF
173,163,123,117,0,9,127,110,HS,FF
172,163,121,113,-2,-4,119,120,FF,FF
171,164,120,116,-1,3,119,120,FF,FF
168,166,117,121,-3,5,119,120,FF,FF
168,169,118,130,1,9,119,120,FF,FF
170,173,114,128,-4,-2,114,130,FF,HS
169,173,113,132,-1,4,114,130,FF,HS
171,174,113,132,0,0,114,130,FF,HS
170,174,118,129,5,-3,114,130,FF,HS
169,173,114,125,-4,-4,119,125,FF,HS
170,174,115,126,1,1,119,125,FF,HS
168,173,123,127,8,1,119,125,FF,HS
165,170,126,124,3,-3,119,125,FF,HS
162,168,122,121,-4,-3,121,121,HS,HS
155,170,118,122,-4,1,121,121,HS,HS
153,169,121,122,3,0,121,121,HS,HS
147,169,124,122,3,0,121,121,HS,HS
145,170,127,121,3,-1,122,119,HS,FF
144,170,125,120,-2,-1,122,119,HS,FF
143,170,121,119,-4,-1,122,119,HS,FF
146,170,118,118,-3,-1,122,119,HS,FF
152,169,108,118,-10,0,117,117,FF,FF
161,170,115,118,7,0,117,117,FF,FF
165,170,121,117,6,-1,117,117,FF,FF
174,171,124,115,3,-2,117,117,FF,FF
177,170,130,113,6,-2,127,110,HS,FF
176,171,130,112,0,-1,127,110,HS,FF
175,170,126,110,-4,-2,127,110,HS,FF
175,168,125,107,-1,-3,127,110,HS,FF
171,167,121,110,-4,3,120,110,FF,FF
168,161,120,108,-1,-2,120,110,FF,FF
166,155,120,111,0,3,120,110,FF,FF
165,150,120,111,0,0,120,110,FF,FF
167,152,118,110,-2,-1,117,106,FF,FF
166,153,117,105,-1,-5,117,106,FF,FF
168,154,117,105,0,0,117,106,FF,FF
169,158,116,104,-1,-1,117,106,FF,FF
170,162,115,113,-1,9,113,118,FF,FF
169,165,114,115,-1,2,113,118,FF,FF
169,168,113,120,-1,5,113,118,FF,FF
170,171,112,127,-1,7,113,118,FF,FF
169,173,111,121,-1,-6,110,123,FF,HS
170,175,110,122,-1,1,110,123,FF,HS
169,177,110,125,0,3,110,123,FF,HS
172,177,109,126,-1,1,110,123,FF,HS
171,176,109,123,0,-3,108,122,FF,HS
171,176,108,122,-1,-1,108,122,FF,HS
169,175,107,124,-1,2,108,122,FF,HS
168,172,108,121,1,-3,108,122,FF,HS
164,170,110,119,2,-2,115,117,FF,FF
158,167,114,118,4,-1,115,117,FF,FF
155,168,118,117,4,-1,115,117,FF,FF
154,165,121,117,3,0,115,117,FF,FF
153,167,126,117,5,0,117,117,FF,FF
154,167,123,118,-3,1,117,117,FF,FF
156,169,113,117,-10,-1,117,117,FF,FF
155,169,106,117,-7,0,117,117,FF,FF
157,170,103,116,-3,-1,110,114,FF,FF
162,170,110,116,7,0,110,114,FF,FF
164,170,112,114,2,-2,110,114,FF,FF
169,169,115,113,3,-1,110,114,FF,FF
173,169,119,112,4,-1,117,111,FF,FF
174,169,116,112,-3,0,117,111,FF,FF
176,169,118,111,2,-1,117,111,FF,FF
174,169,118,110,0,-1,117,111,FF,FF
169,168,115,109,-3,-1,112,112,FF,FF
166,166,113,107,-2,-2,112,112,FF,FF
164,162,112,113,-1,6,112,112,FF,FF
160,155,109,120,-3,7,112,112,FF,FF
161,147,109,123,0,3,107,110,FF,FF
163,147,108,113,-1,-10,107,110,FF,FF
164,143,107,105,-1,-8,107,110,FF,FF
165,144,107,101,0,-4,107,110,FF,FF
165,144,107,96,0,-5,105,103,FF,FF
166,146,106,102,-1,6,105,103,FF,FF
