Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
150,175,132,128,0,0
159,174,127,123,-5,-5
161,174,122,124,-5,1
155,169,139,120,17,-4
154,171,120,119,-19,-1
158,170,113,116,-7,-3
156,170,12,118,-101,2
140,171,76,117,64,-1
132,169,73,116,-3,-1
135,173,121,117,48,1
139,172,120,116,-1,-1
148,174,124,119,4,3
148,173,134,116,10,-3
159,172,131,110,-3,-6
168,172,133,109,2,-1
176,169,135,105,2,-4
178,170,136,105,1,0
174,166,134,101,-2,-4
171,166,131,103,-3,2
166,160,131,99,0,-4
162,157,131,99,0,0
158,148,128,115,-3,16
149,139,123,119,-5,4
152,135,125,70,2,-49
151,134,124,124,-1,54
153,134,124,122,0,-2
153,129,123,70,-1,-52
155,130,123,111,0,41
157,130,121,115,-2,4
158,138,120,113,-1,-2
161,142,120,115,0,2
164,149,115,120,-5,5
167,151,115,116,0,-4
170,160,115,122,0,6
172,169,114,124,-1,2
173,173,115,122,1,-2
174,176,114,135,-1,13
174,172,111,115,-3,-20
173,177,107,126,-4,11
171,177,105,124,-2,-2
169,175,113,122,8,-2
163,171,118,121,5,-1
154,169,73,121,-45,0
146,170,69,121,-4,0
137,170,66,122,-3,1
132,171,67,120,1,-2
132,173,70,120,3,0
131,175,134,120,64,0
137,173,121,118,-13,-2
139,174,113,116,-8,-2
152,174,130,114,17,-2
159,175,128,112,-2,-2
171,173,129,111,1,-1
179,172,133,107,4,-4
176,170,132,107,-1,0
178,170,129,107,-3,0
174,166,126,105,-3,-2
173,160,127,103,1,-2
161,158,125,107,-2,4
155,151,123,116,-2,9
155,144,121,134,-2,18
150,141,119,134,-2,0
149,133,118,64,-1,-70
147,129,116,131,-2,67
146,125,113,134,-3,3
148,129,113,124,0,-10
149,127,113,128,0,4
151,134,113,112,0,-16
154,137,113,113,0,1
158,143,113,114,0,1
162,149,113,115,0,1
165,156,112,114,-1,-1
167,165,112,119,0,5
171,170,111,117,-1,-2
173,176,109,122,-2,5
177,170,112,127,3,5
176,175,112,126,0,-1
175,175,112,124,0,-2
174,176,120,122,8,-2
166,174,119,122,-1,0
160,175,73,121,-46,-1
151,170,69,121,-4,0
143,172,67,120,-2,-1
137,172,67,119,0,-1
135,173,68,119,1,0
134,174,71,118,3,-1
139,175,129,117,58,-1
138,175,125,116,-4,-1
141,176,119,115,-6,-1
154,177,122,113,3,-2
165,177,124,112,2,-1
177,176,126,110,2,-2
175,174,130,107,4,-3
173,174,127,107,-3,0
177,169,125,102,-2,-5
178,170,123,101,-2,-1
175,166,124,101,1,0
167,165,121,113,-3,12
159,157,118,69,-3,-44
158,151,117,66,-1,-3
153,144,114,64,-3,-2
152,136,112,62,-2,-2
148,131,111,61,-1,-1
148,128,110,61,-1,0
148,124,109,61,-1,0
147,126,109,64,0,3
148,128,109,67,0,3
151,130,110,129,1,62
153,137,110,118,0,-11
157,140,110,109,0,-9
160,150,110,111,0,2
164,157,110,113,0,2
167,165,109,116,-1,3
170,176,107,117,-2,1
160,174,101,120,-6,3
173,170,106,122,5,2
175,177,108,119,2,-3
175,178,107,119,-1,0
171,173,102,118,-5,-1
168,170,109,120,7,2
