Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
148,177,135,131,0,0
146,176,134,124,-1,-7
144,177,135,128,1,4
149,177,139,127,4,-1
160,177,122,124,-17,-3
157,176,110,126,-12,2
136,175,60,130,-50,4
123,171,89,119,29,-11
128,175,73,126,-16,7
129,174,122,125,49,-1
125,174,124,123,2,-2
135,175,111,124,-13,1
139,176,118,122,7,-2
149,175,124,123,6,1
153,175,128,126,4,3
161,177,124,123,-4,-3
168,177,136,121,12,-2
172,175,137,119,1,-2
176,175,139,118,2,-1
176,179,135,121,-4,3
177,176,138,113,3,-8
177,176,137,114,-1,1
178,174,135,106,-2,-8
175,166,135,101,0,-5
176,166,134,95,-1,-6
178,166,134,95,0,0
175,140,133,90,-1,-5
176,154,132,122,-1,32
174,139,132,109,0,-13
176,140,131,120,-1,11
175,144,131,124,0,4
175,142,130,117,-1,-7
174,139,130,114,0,-3
175,140,130,122,0,8
176,143,129,110,-1,-12
178,146,127,119,-2,9
178,150,129,120,2,1
178,149,129,118,0,-2
176,155,129,126,0,8
177,160,128,126,-1,0
176,171,125,130,-3,4
178,175,125,132,0,2
178,177,122,140,-3,8
178,174,118,135,-4,-5
176,170,116,141,-2,6
176,168,114,141,-2,0
164,171,108,133,-6,-8
164,169,113,135,5,2
171,172,112,136,-1,1
173,171,111,138,-1,2
170,170,110,137,-1,-1
162,176,113,132,3,-5
158,177,75,130,-38,-2
149,175,125,128,50,-2
141,176,131,127,6,-1
135,176,67,126,-64,-1
137,176,69,124,2,-2
132,177,127,123,58,-1
135,177,111,122,-16,-1
131,177,114,121,3,-1
136,177,112,119,-2,-2
144,177,116,118,4,-1
145,177,124,117,8,-1
154,178,99,116,-25,-1
160,178,127,114,28,-2
169,159,130,104,3,-10
173,156,133,101,3,-3
175,175,131,108,-2,7
176,153,136,95,5,-13
176,177,133,110,-3,15
176,177,136,110,3,0
177,175,132,105,-4,-5
178,174,132,100,0,-5
177,171,133,101,1,1
177,172,132,115,-1,14
175,135,129,103,-3,-12
177,142,129,105,0,2
178,144,129,127,0,22
179,142,128,105,-1,-22
177,144,128,111,0,6
178,143,127,67,-1,-44
178,140,126,94,-1,27
177,139,133,113,7,19
176,142,135,115,2,2
175,142,133,113,-2,-2
174,144,131,106,-2,-7
173,148,127,109,-4,3
172,154,127,124,0,15
173,160,126,124,-1,0
174,167,124,129,-2,5
176,172,121,132,-3,3
177,176,119,132,-2,0
178,178,117,135,-2,3
178,176,117,132,0,-3
178,173,115,136,-2,4
178,175,111,134,-4,-2
178,173,110,135,-1,1
177,173,106,134,-4,-1
177,172,106,133,0,-1
175,174,105,130,-1,-3
171,177,104,128,-1,-2
165,177,105,126,1,-2
158,178,117,125,12,-1
151,179,116,124,-1,-1
142,177,129,122,13,-2
138,177,129,121,0,-1
134,176,67,119,-62,-2
134,176,120,118,53,-1
133,175,123,118,3,0
134,176,103,117,-20,-1
136,177,108,117,5,0
143,177,110,117,2,0
148,177,121,116,11,-1
153,177,128,119,7,3
160,176,129,118,1,-1
166,164,125,108,-4,-10
175,165,133,107,8,-1
178,163,130,105,-3,-2
179,161,131,103,1,-2
175,141,133,92,2,-11
