Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
171,131,114,134,0,0,101,120,FF,FF
171,105,107,127,-7,-7,101,120,FF,FF
168,164,97,116,-10,-11,101,120,FF,FF
172,175,86,103,-11,-13,101,120,FF,FF
168,179,75,96,-11,-7,63,98,TO,TO
171,176,65,90,-10,-6,63,98,TO,TO
173,173,57,100,-8,10,63,98,TO,TO
171,167,58,109,1,9,63,98,TO,TO
173,168,63,116,5,7,71,122,TO,FF
172,166,68,121,5,5,71,122,TO,FF
170,171,75,124,7,3,71,122,TO,FF
169,170,80,127,5,3,71,122,TO,FF
169,170,83,137,3,10,89,137,FF,HS
169,168,87,137,4,0,89,137,FF,HS
169,166,91,138,4,1,89,137,FF,HS
167,168,95,136,4,-2,89,137,FF,HS
162,170,99,135,4,-1,105,132,FF,HS
159,172,102,133,3,-2,105,132,FF,HS
154,172,108,130,6,-3,105,132,FF,HS
155,170,111,131,3,1,105,132,FF,HS
156,170,120,129,9,-2,122,127,FF,HS
154,169,127,128,7,-1,122,127,FF,HS
157,171,122,125,-5,-3,122,127,FF,HS
160,170,122,126,0,1,122,127,FF,HS
165,173,129,125,7,-1,126,122,FF,FF
164,173,121,123,-8,-2,126,122,FF,FF
174,174,124,121,3,-2,126,122,FF,FF
174,175,131,121,7,0,126,122,FF,FF
178,173,134,120,3,-1,133,118,HS,FF
174,174,139,119,5,-1,133,118,HS,FF
175,174,129,118,-10,-1,133,118,HS,FF
175,176,132,116,3,-2,133,118,HS,FF
176,175,135,119,3,3,135,116,HS,FF
176,177,133,116,-2,-3,135,116,HS,FF
173,176,135,115,2,-1,135,116,HS,FF
175,176,137,114,2,-1,135,116,HS,FF
175,176,139,113,2,-1,138,110,HS,FF
175,174,134,112,-5,-1,138,110,HS,FF
173,173,141,108,7,-4,138,110,HS,FF
173,173,139,108,-2,0,138,110,HS,FF
172,174,141,110,2,2,137,113,HS,FF
173,168,138,107,-3,-3,137,113,HS,FF
173,172,136,116,-2,9,137,113,HS,FF
174,167,135,121,-1,5,137,113,HS,FF
173,167,134,115,-1,-6,132,109,HS,FF
171,164,133,112,-1,-3,132,109,HS,FF
171,165,132,108,-1,-4,132,109,HS,FF
172,164,131,104,-1,-4,132,109,HS,FF
172,164,130,106,-1,2,128,111,HS,FF
173,170,128,115,-2,9,128,111,HS,FF
173,169,128,109,0,-6,128,111,HS,FF
173,173,128,116,0,7,128,111,HS,FF
173,175,126,116,-2,0,125,111,FF,FF
173,175,125,112,-1,-4,125,111,FF,FF
173,174,124,107,-1,-5,125,111,FF,FF
173,174,128,110,4,3,125,111,FF,FF
173,175,129,115,1,5,126,115,FF,FF
173,175,127,114,-2,-1,126,115,FF,FF
173,174,125,117,-2,3,126,115,FF,FF
174,174,125,115,0,-2,126,115,FF,FF
173,173,122,120,-3,5,120,121,FF,FF
174,173,121,120,-1,0,120,121,FF,FF
174,174,120,125,-1,5,120,121,FF,FF
175,175,120,119,0,-6,120,121,FF,FF
175,174,118,123,-2,4,116,127,FF,HS
175,175,118,130,0,7,116,127,FF,HS
175,174,116,128,-2,-2,116,127,FF,HS
175,174,115,128,-1,0,116,127,FF,HS
176,173,114,135,-1,7,112,135,FF,HS
175,173,114,134,0,-1,112,135,FF,HS
175,173,112,135,-2,1,112,135,FF,HS
175,172,111,137,-1,2,112,135,FF,HS
176,172,110,132,-1,-5,112,134,FF,HS
176,171,112,135,2,3,112,134,FF,HS
175,172,113,136,1,1,112,134,FF,HS
175,172,114,135,1,-1,112,134,FF,HS
173,171,113,135,-1,0,116,132,FF,HS
170,172,115,133,2,-2,116,132,FF,HS
169,173,117,132,2,-1,116,132,FF,HS
163,175,119,130,2,-2,116,132,FF,HS
155,175,116,129,-3,-1,108,128,FF,HS
150,173,111,130,-5,1,108,128,FF,HS
146,173,106,128,-5,-2,108,128,FF,HS
148,172,101,127,-5,-1,108,128,FF,HS
143,173,108,124,7,-3,114,121,FF,FF
148,173,111,123,3,-1,114,121,FF,FF
150,173,119,121,8,-2,114,121,FF,FF
148,173,118,119,-1,-2,114,121,FF,FF
156,174,121,120,3,1,128,117,HS,FF
162,175,130,118,9,-2,128,117,HS,FF
168,174,130,116,0,-2,128,117,HS,FF
174,175,132,114,2,-2,128,117,HS,FF
175,175,135,111,3,-3,135,108,HS,TO
177,174,134,109,-1,-2,135,108,HS,TO
171,176,137,107,3,-2,135,108,HS,TO
172,176,134,106,-3,-1,135,108,HS,TO
168,175,139,104,5,-2,138,102,HS,TO
170,175,140,102,1,-2,138,102,HS,TO
172,176,137,102,-3,0,138,102,HS,TO
169,176,138,102,1,0,138,102,HS,TO
172,174,135,105,-3,3,132,108,HS,TO
171,172,134,112,-1,7,132,108,HS,TO
172,167,132,106,-2,-6,132,108,HS,TO
172,167,130,109,-2,3,132,108,HS,TO
171,168,130,106,0,-3,128,109,HS,FF
171,171,128,111,-2,5,128,109,HS,FF
171,175,128,112,0,1,128,109,HS,FF
172,174,126,108,-2,-4,128,109,HS,FF
173,175,125,113,-1,5,123,111,FF,FF
173,176,125,109,0,-4,123,111,FF,FF
174,177,123,115,-2,6,123,111,FF,FF
175,176,122,110,-1,-5,123,111,FF,FF
175,177,121,114,-1,4,119,114,FF,FF
176,177,120,117,-1,3,119,114,FF,FF
176,177,119,112,-1,-5,119,114,FF,FF
177,176,119,115,0,3,119,114,FF,FF
177,177,118,118,-1,3,118,117,FF,FF
177,177,119,115,1,-3,118,117,FF,FF
177,175,118,118,-1,3,118,117,FF,FF
177,172,116,125,-2,7,118,117,FF,FF
