Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.15,114.78,3.77,1.13,112.75,3.7,,41,50.2
1.22,121.59,3.99,1.2,119.63,3.92,,41.3,56.8
1.19,119.15,3.91,1.17,117.19,3.84,,41.8,52.4
1.22,121.84,4,1.19,119.08,3.91,,43.2,51.9
1.22,122.23,4.01,1.2,120.2,3.94,,44.4,56.9
1.28,127.77,4.19,1.25,125.48,4.12,,45.7,62.5
1.33,133,4.36,1.3,130.4,4.28,,46.6,66
1.33,132.57,4.35,1.3,129.67,4.25,,48.4,66.2
1.39,138.87,4.56,1.37,136.76,4.49,,48.5,72.8
1.35,135.09,4.43,1.33,132.8,4.36,,48.3,68.8
1.35,134.53,4.41,1.32,132.26,4.34,,47.7,67.8
1.36,136.34,4.47,1.34,134.14,4.4,,47.9,69.6
1.37,137.1,4.5,1.35,134.89,4.43,,47.2,70.6
1.36,136.22,4.47,1.34,134.02,4.4,,48.5,70.5
1.33,132.77,4.36,1.32,131.68,4.32,,49.4,67
1.32,132.43,4.34,1.3,130.48,4.28,,46.4,66.3
1.32,132.28,4.34,1.3,130,4.27,,46.1,65.6
1.31,131.31,4.31,1.29,128.78,4.23,,45.3,64.4
1.31,130.88,4.29,1.29,128.9,4.23,,47.7,64.1
1.3,130.49,4.28,1.29,128.64,4.22,,45.3,64.1
1.29,128.68,4.22,1.27,126.82,4.16,,45.3,62.2
1.29,128.7,4.22,1.27,127.41,4.18,,45.6,63.2
1.29,129.3,4.24,1.28,127.94,4.2,,45.4,63.3
1.35,135,4.43,1.34,134.15,4.4,,44.4,69.6
1.28,127.97,4.2,1.27,127.16,4.17,,44.9,63.1
1.32,132.45,4.35,1.32,132.23,4.34,,41.4,67.2
1.31,131.1,4.3,1.31,131.01,4.3,,41.8,66.3
1.35,134.7,4.42,1.35,134.64,4.42,,41.1,70.2
1.31,130.67,4.29,1.3,130.17,4.27,,41.2,65.1
1.31,131.46,4.31,1.32,131.56,4.32,,41.3,66.4
1.37,137.02,4.5,1.36,136.45,4.48,,41.2,70.6
1.35,135,4.43,1.34,134.03,4.4,,41.1,68.3
1.35,135.35,4.44,1.34,133.76,4.39,,41.6,67.9
1.35,135.36,4.44,1.33,133.38,4.38,,42.3,67.5
1.36,136.1,4.47,1.34,134,4.4,,43.6,68.3
1.37,137.32,4.51,1.35,135.47,4.44,,44.7,69.5
1.37,137.21,4.5,1.35,135.11,4.43,,45.2,69.5
1.39,139.11,4.56,1.37,136.9,4.49,,46.3,71.2
1.38,138.48,4.54,1.36,135.99,4.46,,46.7,70.3
1.4,139.64,4.58,1.37,137.16,4.5,,46.5,71.5
1.34,133.53,4.38,1.31,131.09,4.3,,46.3,65.5
1.36,135.54,4.45,1.33,133.18,4.37,,46.3,67.9
1.38,137.9,4.52,1.36,135.57,4.45,,47.8,69.2
1.38,138.26,4.54,1.36,136.16,4.47,,49,70.6
1.39,139.33,4.57,1.37,136.9,4.49,,52.1,70.9
1.38,137.57,4.51,1.35,135.33,4.44,,49.1,69.8
1.31,130.65,4.29,1.29,128.82,4.23,,47,62.9
1.31,131.19,4.3,1.29,129.39,4.24,,46.4,63.3
1.3,130.07,4.27,1.28,128.3,4.21,,46.7,62.1
1.31,130.85,4.29,1.29,129.01,4.23,,47.1,63
1.32,131.55,4.32,1.3,129.81,4.26,,47.4,63.6
1.31,131.23,4.31,1.3,129.6,4.25,,47.9,63.3
1.31,130.94,4.3,1.3,129.89,4.26,,46.6,63.3
1.32,131.68,4.32,1.31,130.79,4.29,,46.2,64
1.32,132.38,4.34,1.32,131.77,4.32,,45.2,65
1.34,133.63,4.38,1.33,133.31,4.37,,43.9,66.5
1.35,134.53,4.41,1.35,134.54,4.41,,42.1,67.7
1.33,132.84,4.36,1.33,132.96,4.36,,42.2,66.3
1.34,133.68,4.39,1.34,133.72,4.39,,42.3,66.9
1.29,129.5,4.25,1.29,129.14,4.24,,42.3,62.4
1.32,131.74,4.32,1.31,130.79,4.29,,42.2,64
1.35,135.31,4.44,1.34,134.12,4.4,,42.1,67.2
1.34,133.69,4.39,1.32,132,4.33,,42,65.2
1.37,136.98,4.49,1.35,135.16,4.43,,42.8,68.3
1.36,136.36,4.47,1.34,134.43,4.41,,43.4,67.6
1.37,136.91,4.49,1.35,134.85,4.42,,44.1,68.2
1.39,138.62,4.55,1.37,136.5,4.48,,45.4,69.8
1.4,140.04,4.59,1.38,137.79,4.52,,46.4,71.2
1.39,138.58,4.55,1.36,136.33,4.47,,46.9,69.5
1.39,138.71,4.55,1.37,136.54,4.48,,47.6,69.9
1.39,138.7,4.55,1.37,136.71,4.49,,47.4,69.7
1.39,139.19,4.57,1.37,136.92,4.49,,47.2,70
1.37,137.19,4.5,1.35,135.23,4.44,,47,68.5
1.37,136.98,4.49,1.35,135,4.43,,46.9,68.2
1.36,135.59,4.45,1.34,133.66,4.39,,46.9,66.9
1.34,134.41,4.41,1.33,132.7,4.35,,46.9,65.6
1.34,134.24,4.4,1.33,132.64,4.35,,46.9,65.2
1.33,133.26,4.37,1.32,131.74,4.32,,47.2,64.6
1.33,132.95,4.36,1.31,131.37,4.31,,47.4,64.3
1.33,132.72,4.35,1.31,131.25,4.31,,47.7,64.3
1.33,132.63,4.35,1.31,131.3,4.31,,48.1,64
1.33,132.66,4.35,1.31,131.32,4.31,,48.1,64.1
1.33,132.8,4.36,1.32,131.71,4.32,,47.4,64.6
1.34,133.86,4.39,1.33,133.19,4.37,,46.2,66.2
1.35,134.94,4.43,1.35,134.67,4.42,,45.4,67.8
1.36,135.74,4.45,1.36,135.88,4.46,,44.3,69.1
1.35,135.48,4.44,1.36,135.79,4.45,,43,68.9
1.34,134.41,4.41,1.35,134.56,4.41,,43.3,67.7
1.32,131.8,4.32,1.32,131.91,4.33,,43.1,64.8
1.34,134.13,4.4,1.34,134.16,4.4,,42.9,67.1
1.37,136.97,4.49,1.37,136.54,4.48,,43.3,69.3
1.37,136.56,4.48,1.36,135.63,4.45,,44,68.2
1.35,135.08,4.43,1.34,133.91,4.39,,45.2,66.9
1.37,136.69,4.48,1.35,135.35,4.44,,46.2,68.2
1.35,135.23,4.44,1.34,134.07,4.4,,47.2,67.3
1.36,136.16,4.47,1.35,134.67,4.42,,47.4,68
1.36,135.73,4.45,1.34,134.45,4.41,,48.1,67.7
1.34,134.12,4.4,1.33,132.63,4.35,,48.6,65.9
1.36,135.86,4.46,1.34,134.22,4.4,,48.5,67.3
1.38,138.3,4.54,1.36,136.46,4.48,,48.2,69.1
1.35,135.25,4.44,1.34,133.51,4.38,,48,65.7
1.37,136.64,4.48,1.35,135.03,4.43,,47.9,67
1.36,135.66,4.45,1.34,133.94,4.39,,47.8,65.6
1.34,134.09,4.4,1.33,132.56,4.35,,47.9,64.8
1.33,133.42,4.38,1.32,131.85,4.33,,47.8,63.5
1.32,132.4,4.34,1.31,130.84,4.29,,48.1,62.5
1.3,130.44,4.28,1.29,128.86,4.23,,48.3,60.6
1.31,131.09,4.3,1.29,129.49,4.25,,48.2,60.9
1.31,131.11,4.3,1.29,129.46,4.25,,47.9,60.8
1.3,130.48,4.28,1.29,129.14,4.24,,46.7,61.1
1.31,130.66,4.29,1.29,129.5,4.25,,46.8,61.2
1.27,127.07,4.17,1.26,126.16,4.14,,47.2,61.6
1.29,129.42,4.25,1.29,129.5,4.25,,54.2,62
1.3,130.03,4.27,1.3,130.42,4.28,,52.6,62.2
1.3,129.61,4.25,1.3,130.26,4.27,,51.1,61.9
1.31,130.72,4.29,1.32,131.57,4.32,,50.3,63
