Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.14,113.66,3.73,1.11,111.44,3.66,,51.3,68.4
1.04,103.85,3.41,1.01,101.29,3.32,,50.4,62.3
1.08,107.51,3.53,1.05,104.51,3.43,,52.2,65.8
0.99,99.05,3.25,0.952,95.24,3.12,,52.1,60.9
1.01,100.91,3.31,0.973,97.26,3.19,,46.3,59.8
1.01,100.51,3.3,0.957,95.74,3.14,,46.1,58.7
1.3,130.27,4.27,1.31,130.94,4.3,,40.4,55.9
1.35,134.57,4.42,1.35,135.24,4.44,,41.5,60.6
1.32,132.01,4.33,1.32,132.35,4.34,,41.6,60.8
1.34,133.97,4.4,1.35,134.53,4.41,,41.2,60.6
1.25,125.34,4.11,1.26,125.69,4.12,,43.6,53
1.29,129.24,4.24,1.29,129.36,4.24,,42.4,54.3
1.36,135.8,4.46,1.37,136.65,4.48,,42.8,62.5
1.27,127.49,4.18,1.29,128.69,4.22,,39.3,54.5
1.26,125.75,4.13,1.26,126.32,4.14,,38.1,53.4
1.21,121.32,3.98,1.21,120.92,3.97,,36.8,51.6
1.22,122.49,4.02,1.22,121.58,3.99,,38.1,52.5
1.1,109.94,3.61,1.08,108.39,3.56,,33.5,51.1
1.12,112.24,3.68,1.1,109.66,3.6,,34.6,52.6
1.17,116.77,3.83,1.14,114.48,3.76,,35.9,50.6
1.15,115.34,3.78,1.14,113.93,3.74,,41.2,54.6
1.1,110.02,3.61,1.07,107.3,3.52,,38.4,52.6
1.07,106.67,3.5,1.06,105.95,3.48,,33.9,51.8
1.07,106.69,3.5,1.08,107.52,3.53,,34.2,51.6
1.06,106.12,3.48,1.06,105.59,3.46,,31.9,52.1
1.07,107,3.51,1.05,105.1,3.45,,35.8,51.5
1.08,107.93,3.54,1.06,105.6,3.46,,35.1,51.5
1.06,105.79,3.47,1.01,100.89,3.31,,34.9,49.6
1.08,107.91,3.54,1.04,104.33,3.42,,34.9,51.6
1.03,102.79,3.37,1,100.42,3.29,,32.1,48.3
1.01,100.55,3.3,0.992,99.201,3.25,,32.1,47.4
1.04,103.96,3.41,1.02,102.12,3.35,,30.6,50.4
1.07,107.27,3.52,1.05,105.44,3.46,,31.8,54.3
1.01,101.06,3.32,1,100.46,3.3,,29.6,48.8
1.01,101.14,3.32,1.01,100.56,3.3,,28,49.7
1.02,101.8,3.34,1.03,102.98,3.38,,27.6,51.9
1.03,103.37,3.39,1.02,102.03,3.35,,32,50.9
1.01,101.13,3.32,1.01,100.81,3.31,,27.2,49
1,100.09,3.28,0.995,99.465,3.26,,27.1,48.8
1.01,101.13,3.32,1,100.21,3.29,,31.5,49
1.01,101.25,3.32,1,100.21,3.29,,31.3,50.1
0.991,99.109,3.25,1.01,101.48,3.33,,29.9,47.3
1.02,101.58,3.33,1.01,101.2,3.32,,35,48.5
0.996,99.602,3.27,1.01,101.38,3.33,,32.8,48.4
0.975,97.517,3.2,1,100.34,3.29,,34.3,47.4
0.978,97.818,3.21,0.996,99.585,3.27,,32.5,46.5
0.975,97.469,3.2,0.997,99.67,3.27,,34.4,46.4
0.942,94.173,3.09,0.989,98.92,3.25,,34.4,46.9
0.889,88.94,2.92,0.923,92.296,3.03,,34.4,46.3
