Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
145,165,148,139,0,0
47,68,93,63,-55,-76
54,125,99,33,6,-30
55,49,118,20,19,-13
74,72,112,21,-6,1
106,73,41,30,-71,9
115,75,82,46,41,16
121,130,95,46,13,0
104,97,108,67,13,21
93,100,112,41,4,-26
56,151,121,14,9,-27
120,149,107,18,-14,4
96,145,97,14,-10,-4
93,165,98,14,1,0
82,146,99,12,1,-2
93,158,99,9,0,-3
94,160,101,16,2,7
91,170,102,15,1,-1
86,144,105,11,3,-4
95,157,105,19,0,8
132,163,115,16,10,-3
132,154,114,14,-1,-2
123,146,111,15,-3,1
122,160,109,7,-2,-8
99,160,105,19,-4,12
97,163,104,91,-1,72
97,154,104,19,0,-72
66,150,130,15,26,-4
79,155,131,27,1,12
99,159,145,20,14,-7
77,141,141,12,-4,-8
103,158,95,19,-46,7
94,165,112,126,17,107
65,170,121,130,9,4
55,169,142,122,21,-8
67,167,129,114,-13,-8
63,174,148,124,19,10
73,174,141,126,-7,2
63,169,151,136,10,10
163,172,21,136,-130,0
164,160,19,82,-2,-54
167,161,14,82,-5,0
166,165,17,87,3,5
165,153,12,130,-5,43
166,159,11,87,-1,-43
167,152,12,140,1,53
166,155,8,138,-4,-2
168,158,10,95,2,-43
165,154,7,113,-3,18
161,162,6,137,-1,24
164,170,9,96,3,-41
164,169,7,121,-2,25
157,173,2,127,-5,6
163,173,4,131,2,4
160,175,3,137,-1,6
163,172,85,125,82,-12
151,175,18,127,-67,2
151,173,2,133,-16,6
151,173,12,134,10,1
163,174,16,131,4,-3
153,172,11,129,-5,-2
156,172,14,129,3,0
140,173,17,143,3,14
137,173,70,138,53,-5
140,173,131,136,61,-2
140,172,127,135,-4,-1
143,172,117,132,-10,-3
152,169,136,126,19,-6
162,171,131,125,-5,-1
171,171,138,125,7,0
176,171,123,123,-15,-2
174,171,136,120,13,-3
176,171,131,116,-5,-4
175,171,132,118,1,2
173,170,130,116,-2,-2
171,164,131,109,1,-7
171,162,130,110,-1,1
169,157,130,111,0,1
171,160,130,109,0,-2
171,162,129,117,-1,8
171,163,130,115,1,-2
171,165,129,124,-1,9
172,166,130,123,1,-1
171,170,129,135,-1,12
170,170,129,127,0,-8
171,173,130,128,1,1
169,172,130,127,0,-1
171,174,130,133,0,6
172,175,131,123,1,-10
172,173,130,129,-1,6
167,172,126,127,-4,-2
168,171,124,133,-2,6
166,173,121,133,-3,0
163,173,122,131,1,-2
163,173,123,130,1,-1
160,174,120,128,-3,-2
152,173,130,126,10,-2
145,172,67,125,-63,-1
140,172,67,124,0,-1
139,172,70,123,3,-1
139,172,122,124,52,1
144,171,118,122,-4,-2
147,172,116,122,-2,0
156,171,121,125,5,3
162,171,127,122,6,-3
169,171,125,121,-2,-1
173,170,136,114,11,-7
173,173,135,115,-1,1
172,170,118,114,-17,-1
171,168,114,113,-4,-1
169,167,111,113,-3,0
166,170,108,117,-3,4
164,165,106,122,-2,5
164,166,105,104,-1,-18
163,167,105,120,0,16
165,167,104,112,-1,-8
165,168,104,117,0,5
167,170,101,122,-3,5
166,169,101,101,0,-21
166,171,100,105,-1,4
