Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.34,134.03,4.4,1.32,131.79,4.32,,46.9,63.6
1.33,133.48,4.38,1.31,131.19,4.3,,46.8,63.2
1.33,133.49,4.38,1.31,131.28,4.31,,46.6,63.3
1.33,132.8,4.36,1.31,130.66,4.29,,47,62.7
1.33,133,4.36,1.31,130.83,4.29,,47.3,62.7
1.33,133.13,4.37,1.31,130.79,4.29,,47,62.8
1.32,132.13,4.34,1.3,130.14,4.27,,47.1,62.4
1.33,132.73,4.35,1.31,130.62,4.29,,47.2,62.7
1.33,132.52,4.35,1.31,130.6,4.28,,47.1,62.7
1.33,132.72,4.35,1.31,130.87,4.29,,47.2,62.8
1.33,133.14,4.37,1.31,131.39,4.31,,46.9,63.2
1.33,133.48,4.38,1.32,131.85,4.33,,47,63.6
1.34,133.87,4.39,1.32,132.46,4.35,,47.1,64.1
1.34,134.16,4.4,1.33,132.91,4.36,,47.7,64.3
1.34,134.24,4.4,1.33,133.17,4.37,,47.4,64.6
1.34,134.28,4.41,1.33,133.34,4.37,,47.3,64.8
1.34,134.12,4.4,1.34,133.57,4.38,,47.1,65.1
1.34,134.13,4.4,1.34,133.55,4.38,,47,64.9
1.34,134.17,4.4,1.34,133.72,4.39,,46.5,65.2
1.34,134.43,4.41,1.34,133.85,4.39,,46.3,65.3
1.35,135.32,4.44,1.35,134.59,4.42,,45.9,66.1
1.36,136.08,4.46,1.35,135.07,4.43,,45.9,66.5
1.38,138.13,4.53,1.37,136.8,4.49,,45.9,68.4
1.38,137.64,4.52,1.36,136.11,4.47,,45.6,67.9
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
