Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
25,160,57,130,0,0
24,162,57,20,0,-110
45,175,59,17,2,-3
159,176,24,15,-35,-2
165,176,146,12,122,-3
166,155,147,74,1,62
157,164,132,140,-15,66
136,169,147,107,15,-33
171,172,130,109,-17,2
171,174,114,108,-16,-1
100,173,61,106,-53,-2
110,173,62,106,1,0
157,174,24,104,-38,-2
156,174,7,104,-17,0
147,174,6,103,-1,-1
155,174,124,102,118,-1
157,174,125,101,1,-1
161,176,129,99,4,-2
166,176,134,99,5,0
169,176,134,137,0,38
175,177,131,137,-3,0
173,176,133,136,2,-1
176,175,135,134,2,-2
177,173,136,133,1,-1
177,173,139,133,3,0
177,174,137,132,-2,-1
176,174,135,133,-2,1
176,166,134,128,-1,-5
173,168,134,130,0,2
170,169,131,132,-3,2
168,167,129,131,-2,-1
166,165,134,129,5,-2
168,164,136,134,2,5
168,165,137,78,1,-56
167,157,137,73,0,-5
168,157,105,74,-32,1
168,158,135,110,30,36
169,159,136,131,1,21
170,159,104,127,-32,-4
172,158,136,83,32,-44
173,162,137,128,1,45
174,162,137,128,0,0
174,164,137,129,0,1
175,166,136,100,-1,-29
175,167,133,127,-3,27
174,169,133,129,0,2
175,170,133,131,0,2
173,170,132,130,-1,-1
172,171,128,130,-4,0
171,172,128,133,0,3
168,173,128,133,0,0
163,172,126,132,-2,-1
161,172,131,132,5,0
153,172,122,133,-9,1
152,173,121,132,-1,-1
147,174,123,132,2,0
148,174,126,134,3,2
150,175,88,135,-38,1
149,175,121,134,33,-1
155,176,129,134,8,0
158,177,127,133,-2,-1
163,177,127,133,0,0
165,177,131,132,4,-1
170,177,133,132,2,0
173,177,127,133,-6,1
177,176,137,132,10,-1
178,177,134,133,-3,1
176,177,134,134,0,1
178,176,135,134,1,0
177,174,134,132,-1,-2
175,174,134,134,0,2
171,174,133,135,-1,1
167,174,132,134,-1,-1
167,174,133,84,1,-50
168,171,133,135,0,51
168,168,133,130,0,-5
169,166,133,133,0,3
170,163,134,130,1,-3
171,162,134,130,0,0
173,157,134,130,0,0
173,160,133,79,-1,-51
173,159,133,115,0,36
175,162,133,126,0,11
174,163,132,134,-1,8
175,166,132,134,0,0
176,167,131,139,-1,5
176,169,131,133,0,-6
177,170,132,127,1,-6
177,174,132,137,0,10
177,175,131,131,-1,-6
177,175,132,138,1,7
177,176,133,129,1,-9
177,175,132,134,-1,5
178,176,132,133,0,-1
177,176,132,133,0,0
175,175,126,133,-6,0
173,175,128,133,2,0
169,174,131,133,3,0
166,175,130,133,-1,0
159,176,135,133,5,0
155,175,132,134,-3,1
149,176,78,134,-54,0
148,176,120,134,42,0
148,176,124,134,4,0
149,177,124,135,0,1
153,177,124,135,0,0
157,177,128,135,4,0
161,177,129,135,1,0
165,176,129,136,0,1
170,176,134,136,5,0
172,176,125,135,-9,-1
175,176,137,135,12,0
177,177,128,136,-9,1
177,177,132,135,4,-1
176,177,133,133,1,-2
176,176,136,132,3,-1
176,176,132,132,-4,0
176,175,132,129,0,-3
177,174,132,128,0,-1
173,174,131,128,-1,0
