Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
141,171,126,125,0,0
167,171,119,123,-7,-2
165,171,128,127,9,4
163,172,124,126,-4,-1
160,174,128,124,4,-2
156,170,132,122,4,-2
154,169,132,121,0,-1
138,164,142,121,10,0
153,164,126,121,-16,0
157,164,119,121,-7,0
154,165,93,121,-26,0
145,164,87,119,-6,-2
141,165,84,120,-3,1
136,165,113,119,29,-1
137,165,105,121,-8,2
140,167,101,125,-4,4
148,168,111,123,10,-2
156,168,122,119,11,-4
164,169,124,118,2,-1
170,169,128,120,4,2
172,168,129,118,1,-2
175,169,132,121,3,3
175,170,130,125,-2,4
176,164,128,124,-2,-1
169,162,127,122,-1,-2
170,156,131,121,4,-1
168,152,130,117,-1,-4
168,153,129,110,-1,-7
170,155,129,109,0,-1
171,155,128,110,-1,1
172,156,128,116,0,6
171,159,125,120,-3,4
170,159,124,123,-1,3
170,162,123,124,-1,1
171,166,123,126,0,2
172,172,122,130,-1,4
170,171,122,129,0,-1
169,174,119,128,-3,-1
168,170,121,125,2,-3
168,170,118,123,-3,-2
163,171,110,124,-8,1
159,162,112,122,2,-2
153,162,117,124,5,2
149,162,133,127,16,3
145,163,128,125,-5,-2
142,164,125,127,-3,2
140,164,118,125,-7,-2
139,164,114,124,-4,-1
142,164,109,123,-5,-1
143,165,111,122,2,-1
149,165,116,124,5,2
155,167,121,125,5,1
164,166,122,125,1,0
171,168,122,126,0,1
175,167,124,123,2,-3
177,167,122,126,-2,3
176,165,121,120,-1,-6
175,165,120,127,-1,7
172,159,127,120,7,-7
170,152,128,111,1,-9
168,149,127,124,-1,13
167,150,131,110,4,-14
169,149,132,114,1,4
170,151,132,112,0,-2
170,153,131,113,-1,1
170,157,130,120,-1,7
170,162,130,121,0,1
170,165,129,120,-1,-1
170,171,128,124,-1,4
170,173,129,124,1,0
169,174,128,125,-1,1
169,173,131,122,3,-3
168,172,131,121,0,-1
167,169,130,120,-1,-1
165,167,126,124,-4,4
160,163,123,124,-3,0
154,163,121,126,-2,2
149,163,125,128,4,2
144,162,121,128,-4,0
144,164,115,129,-6,1
144,165,115,129,0,0
143,166,115,129,0,0
144,168,114,128,-1,-1
145,168,113,127,-1,-1
149,168,118,126,5,-1
153,169,120,126,2,0
159,171,117,126,-3,0
165,171,122,127,5,1
172,168,122,127,0,0
174,171,123,128,1,1
175,168,126,125,3,-3
172,168,127,125,1,0
171,166,127,127,0,2
165,162,129,127,2,0
166,156,104,126,-25,-1
165,152,103,129,-1,3
167,149,102,118,-1,-11
166,149,101,110,-1,-8
167,147,99,116,-2,6
165,149,98,124,-1,8
165,151,132,124,34,0
165,155,129,124,-3,0
165,161,128,121,-1,-3
164,165,127,123,-1,2
158,166,123,119,-4,-4
163,164,127,120,4,1
165,164,127,119,0,-1
162,162,129,116,2,-3
158,161,128,113,-1,-3
155,157,130,112,2,-1
153,152,70,108,-60,-4
147,155,62,107,-8,-1
145,156,59,105,-3,-2
141,152,42,94,-17,-11
140,147,32,91,-10,-3
132,143,102,80,70,-11
129,141,87,84,-15,4
128,141,92,83,5,-1
126,140,96,82,4,-1
146,143,30,78,-66,-4
