Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.8,179.96,5.9,1.78,178.28,5.85,,59,102
1.7,170.35,5.59,1.69,168.56,5.53,,60.5,92.1
1.74,174.45,5.72,1.72,172.43,5.66,,52.8,96
1.73,173.26,5.68,1.71,171.4,5.62,,58.3,95.3
1.75,174.65,5.73,1.73,172.85,5.67,,58.8,96.1
1.75,174.67,5.73,1.73,173,5.68,,58,96.6
1.74,174.12,5.71,1.72,172.39,5.66,,56.9,96.2
1.75,174.78,5.73,1.73,173.24,5.68,,55.2,97
1.73,173.29,5.69,1.72,172.22,5.65,,56.8,96.1
1.74,173.78,5.7,1.73,172.61,5.66,,56.7,96
1.71,171.34,5.62,1.7,170.19,5.58,,52.4,92.1
1.72,172.33,5.65,1.72,171.6,5.63,,52,92.9
1.72,171.75,5.63,1.72,171.67,5.63,,52.7,91.7
1.7,170.09,5.58,1.7,170.16,5.58,,50.1,91.7
1.68,168.45,5.53,1.69,168.52,5.53,,50.1,90.5
1.7,169.94,5.58,1.7,170.34,5.59,,50.9,91
1.69,168.96,5.54,1.69,169.37,5.56,,50.8,89.6
1.7,170.22,5.58,1.71,170.68,5.6,,50.8,89.1
1.71,171.32,5.62,1.72,171.78,5.64,,55,90
1.72,172.08,5.65,1.72,171.73,5.63,,57.5,91.3
1.71,170.91,5.61,1.7,170.3,5.59,,51.9,90.5
1.72,171.8,5.64,1.71,170.85,5.61,,52.9,92.2
1.7,170.04,5.58,1.68,168.46,5.53,,55.8,89.7
1.72,172.17,5.65,1.71,170.72,5.6,,55.6,91.5
1.72,171.77,5.64,1.7,170.32,5.59,,56.6,91.9
1.7,169.88,5.57,1.68,168.34,5.52,,57,89.7
1.74,173.77,5.7,1.72,171.86,5.64,,58,92.8
1.7,170.28,5.59,1.68,168.14,5.52,,58.3,89.3
1.71,171.08,5.61,1.69,168.82,5.54,,59.1,89.5
1.71,170.89,5.61,1.68,168.47,5.53,,60.1,89.3
1.72,172.36,5.65,1.7,169.85,5.57,,60.3,91.1
1.73,172.53,5.66,1.7,169.98,5.58,,60.4,91.2
1.71,171.33,5.62,1.69,168.83,5.54,,60.5,90.1
1.72,172.12,5.65,1.7,169.68,5.57,,60.6,91.2
1.73,172.8,5.67,1.7,170.44,5.59,,60.6,91.5
1.72,171.63,5.63,1.7,169.5,5.56,,60.4,90.4
1.71,171.49,5.63,1.69,169.3,5.55,,60,90.2
1.72,171.8,5.64,1.7,169.91,5.57,,59.2,90
1.71,170.84,5.6,1.69,169.14,5.55,,59.1,89.8
1.71,170.75,5.6,1.69,169.4,5.56,,59.6,89.3
1.71,170.61,5.6,1.69,169.01,5.54,,59.2,89.1
1.69,168.64,5.53,1.67,167.29,5.49,,60.6,87.8
1.69,168.74,5.54,1.67,167.4,5.49,,60.8,86.6
1.68,167.91,5.51,1.66,166.46,5.46,,60.5,86.2
1.68,167.5,5.5,1.66,165.82,5.44,,60.8,86.5
1.69,168.76,5.54,1.67,166.87,5.47,,60.6,86.4
1.68,167.77,5.5,1.66,165.85,5.44,,59.7,85.6
1.66,166.45,5.46,1.65,164.51,5.4,,59.3,84.9
1.67,167.01,5.48,1.65,165.12,5.42,,58.2,84.8
1.67,167.1,5.48,1.65,165.25,5.42,,57.1,85
1.68,168.38,5.52,1.67,166.5,5.46,,56.4,85.8
1.68,168.37,5.52,1.67,166.63,5.47,,55.2,86.2
1.69,168.81,5.54,1.67,167.3,5.49,,54.2,86.6
1.68,168.43,5.53,1.67,167.12,5.48,,53.2,86.8
1.69,168.83,5.54,1.68,167.78,5.5,,53.3,87
1.69,169.11,5.55,1.68,168.28,5.52,,53.3,87.1
1.69,168.91,5.54,1.68,168.36,5.52,,53.3,87.1
1.69,169.01,5.55,1.69,168.63,5.53,,53.3,87.3
1.69,169.25,5.55,1.69,169,5.54,,53.2,87.4
1.7,169.53,5.56,1.69,169.41,5.56,,53.2,87.8
1.69,169.24,5.55,1.69,169.14,5.55,,53.2,88
1.69,169.27,5.55,1.69,169.11,5.55,,53.2,87.6
1.7,170.38,5.59,1.7,170.02,5.58,,53.2,88.7
1.72,172.35,5.65,1.72,171.77,5.64,,53.2,90.4
1.74,174.09,5.71,1.73,173.2,5.68,,53.2,92
1.75,174.83,5.74,1.74,173.79,5.7,,53.1,92.2
1.73,173.41,5.69,1.72,172.06,5.64,,53,90.7
1.74,174.21,5.72,1.73,172.77,5.67,,53.6,91
1.75,174.99,5.74,1.73,173.04,5.68,,54.6,91.5
1.75,174.69,5.73,1.72,172.33,5.65,,56.1,90.7
1.76,175.9,5.77,1.74,173.59,5.7,,56.7,91.6
1.76,175.71,5.76,1.73,173.26,5.68,,57.5,91.5
1.76,175.91,5.77,1.74,173.53,5.69,,57.8,91.5
1.75,174.65,5.73,1.72,172.27,5.65,,58.2,90.3
1.75,175.41,5.75,1.73,173.07,5.68,,58.3,91
1.74,173.57,5.69,1.71,171.22,5.62,,59.2,89.4
