Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
172,134,106,129,0,0
174,140,105,132,-1,3
175,141,134,120,29,-12
173,153,136,99,2,-21
171,160,126,121,-10,22
172,177,94,122,-32,1
170,172,93,130,-1,8
171,160,91,139,-2,9
173,169,93,137,2,-2
172,173,91,139,-2,2
167,176,80,140,-11,1
170,175,87,123,7,-17
163,175,86,119,-1,-4
159,174,88,138,2,19
158,174,100,136,12,-2
150,172,88,137,-12,1
154,174,107,136,19,-1
151,178,115,125,8,-11
151,177,93,128,-22,3
145,176,129,123,36,-5
151,171,135,140,6,17
151,173,101,137,-34,-3
163,173,114,134,13,-3
175,173,123,128,9,-6
172,175,132,128,9,0
170,173,135,123,3,-5
179,174,129,39,-6,-84
173,175,123,70,-6,31
169,173,118,111,-5,41
167,155,114,130,-4,19
172,151,112,136,-2,6
171,140,110,64,-2,-72
172,136,107,134,-3,70
173,133,134,64,27,-70
175,133,103,133,-31,69
176,137,101,118,-2,-15
174,140,98,132,-3,14
175,150,98,130,0,-2
175,157,95,134,-3,4
176,169,106,133,11,-1
175,178,105,133,-1,0
175,167,110,136,5,3
175,167,107,138,-3,2
172,171,108,138,1,0
173,179,128,135,20,-3
169,177,133,135,5,0
160,177,75,132,-58,-3
158,178,71,128,-4,-4
149,174,67,123,-4,-5
144,174,67,123,0,0
141,172,70,121,3,-2
140,173,119,123,49,2
143,176,130,123,11,0
144,179,106,119,-24,-4
150,178,124,120,18,1
155,177,125,114,1,-6
169,177,122,109,-3,-5
178,175,133,107,11,-2
169,174,135,99,2,-8
171,173,133,101,-2,2
177,174,136,94,3,-7
178,170,126,102,-10,8
170,169,131,99,5,-3
166,157,125,66,-6,-33
165,128,121,58,-4,-8
169,137,123,60,2,2
169,133,123,61,0,1
170,132,122,63,-1,2
171,134,121,129,-1,66
173,138,124,117,3,-12
174,144,123,106,-1,-11
177,146,114,109,-9,3
176,158,107,128,-7,19
170,170,103,115,-4,-13
167,171,111,123,8,8
166,171,95,128,-16,5
168,161,95,135,0,7
169,177,95,125,0,-10
169,176,94,124,-1,-1
166,170,94,126,0,2
168,176,94,118,0,-8
167,173,92,115,-2,-3
138,168,63,112,-29,-3
130,167,128,110,65,-2
127,168,110,109,-18,-1
126,167,92,107,-18,-2
124,167,84,105,-8,-2
146,166,109,104,25,-1
144,168,83,102,-26,-2
146,172,86,102,3,0
151,175,94,101,8,-1
161,176,107,101,13,0
166,178,112,99,5,-2
157,178,103,98,-9,-1
173,178,17,97,-86,-1
170,177,15,93,-2,-4
169,174,14,90,-1,-3
167,169,12,86,-2,-4
20,164,13,82,1,-4
8,174,18,91,5,9
6,159,17,18,-1,-73
6,154,18,9,1,-9
8,147,18,9,0,0
12,116,18,19,0,10
13,34,19,30,1,11
14,83,19,17,0,-13
14,80,19,18,0,1
14,52,19,23,0,5
159,15,21,50,2,27
14,28,20,44,-1,-6
12,29,20,37,0,-7
13,9,20,61,0,24
15,177,21,126,1,65
11,8,18,71,-3,-55
6,177,19,141,1,70
175,7,89,53,70,-88
16,176,10,150,-79,97
12,31,15,38,5,-112
7,70,14,40,-1,2
9,48,16,45,2,5
