Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
153,170,112,135,0,0,118,131,FF,HS
152,171,116,126,4,-9,118,131,FF,HS
173,175,119,135,3,9,118,131,FF,HS
174,175,125,130,6,-5,118,131,FF,HS
171,175,120,126,-5,-4,114,128,FF,HS
156,177,117,126,-3,0,114,128,FF,HS
131,178,112,134,-5,8,114,128,FF,HS
139,178,109,127,-3,-7,114,128,FF,HS
150,176,119,124,10,-3,123,120,FF,FF
143,171,123,118,4,-6,123,120,FF,FF
156,171,127,119,4,1,123,120,FF,FF
170,169,125,119,-2,0,123,120,FF,FF
173,169,129,120,4,1,134,117,HS,FF
175,170,132,118,3,-2,134,117,HS,FF
175,168,135,119,3,1,134,117,HS,FF
170,170,140,114,5,-5,134,117,HS,FF
171,170,140,120,0,6,136,114,HS,FF
171,168,141,123,1,3,136,114,HS,FF
170,168,135,113,-6,-10,136,114,HS,FF
170,159,130,103,-5,-10,136,114,HS,FF
173,156,126,96,-4,-7,120,96,FF,FF
171,139,122,88,-4,-8,120,96,FF,FF
169,130,119,98,-3,10,120,96,FF,FF
166,130,116,104,-3,6,120,96,FF,FF
169,145,113,111,-3,7,105,113,FF,FF
172,138,103,117,-10,6,105,113,FF,FF
178,131,103,109,0,-8,105,113,FF,FF
176,132,103,116,0,7,105,113,FF,FF
174,143,111,111,8,-5,119,116,FF,FF
174,151,116,114,5,3,119,116,FF,FF
172,161,120,118,4,4,119,116,FF,FF
173,172,130,122,10,4,119,116,FF,FF
172,176,128,126,-2,4,124,132,FF,HS
173,175,125,128,-3,2,124,132,FF,HS
173,175,123,138,-2,10,124,132,FF,HS
172,173,123,139,0,1,124,132,FF,HS
166,169,125,141,2,2,126,131,HS,HS
159,169,133,134,8,-7,126,131,HS,HS
146,168,128,128,-5,-6,126,131,HS,HS
135,173,121,123,-7,-5,126,131,HS,HS
127,169,113,119,-8,-4,102,113,FF,FF
121,167,105,115,-8,-4,102,113,FF,FF
119,169,98,111,-7,-4,102,113,FF,FF
126,173,92,108,-6,-3,102,113,FF,FF
129,174,83,98,-9,-10,87,99,FF,FF
132,176,85,104,2,6,87,99,FF,FF
134,173,89,100,4,-4,87,99,FF,FF
148,172,93,97,4,-3,87,99,FF,FF
158,172,98,91,5,-6,104,89,FF,FF
170,172,103,90,5,-1,104,89,FF,FF
176,171,107,86,4,-4,104,89,FF,FF
173,163,111,89,4,3,104,89,FF,FF
169,164,115,94,4,5,119,92,FF,FF
171,157,125,100,10,6,119,92,FF,FF
169,156,119,92,-6,-8,119,92,FF,FF
170,143,117,84,-2,-8,119,92,FF,FF
173,138,114,78,-3,-6,109,70,FF,FF
172,125,112,73,-2,-5,109,70,FF,FF
169,127,109,63,-3,-10,109,70,FF,FF
165,128,104,67,-5,4,109,70,FF,FF
168,127,103,70,-1,3,106,78,FF,FF
171,136,112,75,9,5,106,78,FF,FF
174,136,109,81,-3,6,106,78,FF,FF
177,138,100,86,-9,5,106,78,FF,FF
177,146,99,89,-1,3,95,95,FF,FF
176,154,97,93,-2,4,95,95,FF,FF
176,164,94,98,-3,5,95,95,FF,FF
174,173,91,103,-3,5,95,95,FF,FF
173,178,89,108,-2,5,86,116,FF,FF
172,175,85,114,-4,6,86,116,FF,FF
171,176,84,120,-1,6,86,116,FF,FF
171,173,87,124,3,4,86,116,FF,FF
164,169,91,132,4,8,88,125,FF,HS
159,172,95,127,4,-5,88,125,FF,HS
150,171,87,123,-8,-4,88,125,FF,HS
138,170,80,119,-7,-4,88,125,FF,HS
131,170,74,115,-6,-4,67,107,TO,FF
122,166,70,111,-4,-4,67,107,TO,FF
