Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.46,145.97,4.79,1.41,140.61,4.61,,45.7,95
1.56,155.55,5.1,1.53,152.75,5.01,,54.4,79.5
1.56,156.14,5.12,1.53,153.14,5.02,,54.9,80.3
1.58,157.68,5.17,1.55,154.55,5.07,,56.1,80.1
1.58,158.36,5.2,1.55,154.72,5.08,,56.1,81.1
1.58,157.83,5.18,1.54,153.66,5.04,,56,78
1.58,158.46,5.2,1.55,154.52,5.07,,56,79.4
1.58,158.07,5.19,1.55,155.07,5.09,,56.1,80.2
1.61,160.66,5.27,1.58,157.7,5.17,,56.7,82.3
1.58,157.93,5.18,1.55,154.9,5.08,,56.1,80.9
1.56,156.15,5.12,1.53,153.07,5.02,,55.4,80
1.55,154.8,5.08,1.52,152.22,4.99,,55.4,78.3
1.54,153.53,5.04,1.51,150.98,4.95,,55.8,77.1
1.54,153.81,5.05,1.52,151.92,4.98,,56.4,77.3
1.56,155.88,5.11,1.54,153.99,5.05,,54.8,78.3
1.53,152.75,5.01,1.52,151.93,4.98,,55.8,78.1
1.54,153.89,5.05,1.53,153.02,5.02,,55.7,78
1.53,153.26,5.03,1.53,152.6,5.01,,56,77.9
1.53,152.88,5.02,1.52,152.33,5,,55.7,77.7
1.54,154.14,5.06,1.53,153.4,5.03,,55.3,78.7
1.55,154.92,5.08,1.54,154.07,5.05,,55.4,78.4
1.55,154.98,5.08,1.54,154.08,5.06,,55,78.6
1.57,156.63,5.14,1.56,156.21,5.13,,55.4,80.7
1.55,155.14,5.09,1.55,154.56,5.07,,55,79.1
1.55,155.35,5.1,1.55,154.91,5.08,,54.6,79.3
1.56,155.59,5.1,1.55,155.23,5.09,,55.2,79.9
1.54,153.87,5.05,1.53,153.36,5.03,,54.9,78
1.55,154.97,5.08,1.54,153.87,5.05,,55.2,79.3
1.54,153.61,5.04,1.52,152.45,5,,55.8,77.5
1.56,155.74,5.11,1.54,154.25,5.06,,58.5,78.8
1.56,155.59,5.1,1.54,154.34,5.06,,57.4,79.5
1.57,157.14,5.16,1.56,155.7,5.11,,56.4,80.3
1.57,156.74,5.14,1.55,154.84,5.08,,56.8,79.4
1.56,155.65,5.11,1.54,153.86,5.05,,55.6,78.4
1.55,154.9,5.08,1.53,152.96,5.02,,56,77.1
1.57,156.54,5.14,1.54,154.43,5.07,,55.7,77.8
1.57,157.46,5.17,1.55,155.09,5.09,,56.2,78.9
1.55,155.28,5.09,1.53,152.91,5.02,,55.6,76.4
1.57,156.53,5.14,1.54,154.05,5.05,,55.1,77.7
1.56,156.3,5.13,1.54,153.91,5.05,,55.1,77.4
1.56,155.92,5.12,1.53,153.4,5.03,,54.7,76.8
1.56,156.28,5.13,1.54,153.76,5.04,,55,76.9
1.55,155.18,5.09,1.52,152.41,5,,53.9,75.9
1.56,155.78,5.11,1.53,153.24,5.03,,54,76.7
1.56,155.95,5.12,1.53,153.21,5.03,,54.2,76.7
1.56,155.9,5.11,1.53,153.37,5.03,,54.1,76.7
1.56,155.94,5.12,1.54,153.59,5.04,,53.9,77.4
1.56,155.74,5.11,1.53,153.36,5.03,,53.9,76.9
1.55,155.42,5.1,1.53,153.29,5.03,,53.5,76.8
1.56,155.59,5.1,1.54,153.61,5.04,,53.3,76.7
1.55,155.18,5.09,1.53,153.35,5.03,,54,76.4
1.55,154.93,5.08,1.53,153.29,5.03,,54.1,76.1
1.55,154.56,5.07,1.53,153.25,5.03,,54,76.1
1.55,154.71,5.08,1.54,153.61,5.04,,54,76.2
1.55,154.85,5.08,1.54,153.93,5.05,,54.6,76.4
1.55,155.14,5.09,1.54,154.39,5.07,,54.4,76.4
1.55,154.79,5.08,1.54,154.17,5.06,,54.9,76.9
1.55,155.06,5.09,1.55,154.57,5.07,,55,77.1
1.55,155.17,5.09,1.55,154.74,5.08,,54.5,77.2
1.55,155.07,5.09,1.55,154.74,5.08,,54.2,77.5
1.55,155.31,5.1,1.55,155.43,5.1,,54.1,78.2
1.56,155.55,5.1,1.56,155.94,5.12,,53.9,78.9
1.57,156.57,5.14,1.57,156.76,5.14,,53.5,79.9
1.58,157.73,5.17,1.58,157.89,5.18,,53.9,81.3
1.59,158.85,5.21,1.58,158.38,5.2,,54,82
1.59,158.57,5.2,1.57,157.47,5.17,,53.8,81.4
1.58,158.36,5.2,1.57,157.03,5.15,,54.3,80.8
1.58,157.61,5.17,1.56,155.83,5.11,,54.7,79.6
1.57,157.21,5.16,1.56,155.51,5.1,,54.8,79.6
1.57,156.67,5.14,1.55,154.88,5.08,,55,78
1.57,157.27,5.16,1.56,155.61,5.11,,55.5,79
1.59,158.62,5.2,1.57,157.18,5.16,,55,79.8
1.57,157.25,5.16,1.56,155.82,5.11,,55.1,78.7
1.58,157.65,5.17,1.56,156.11,5.12,,55.3,78.9
1.57,157.3,5.16,1.56,155.69,5.11,,55.4,78.4
1.57,156.8,5.14,1.55,155.2,5.09,,55.5,78.1
1.57,157.29,5.16,1.56,155.54,5.1,,55.4,78.3
1.57,157.19,5.16,1.55,155.26,5.09,,55.7,78
1.59,159.47,5.23,1.57,157.45,5.17,,55.4,80.1
1.55,155.07,5.09,1.53,153,5.02,,55.5,75.8
1.58,158.29,5.19,1.56,156.25,5.13,,55.4,79.1
1.57,156.81,5.14,1.55,154.84,5.08,,55.1,77.8
1.56,156.06,5.12,1.54,154.03,5.05,,54.7,77.1
1.55,155.33,5.1,1.54,153.65,5.04,,54.9,76.9
1.54,153.73,5.04,1.52,152.22,4.99,,55,75.3
1.53,152.62,5.01,1.52,151.64,4.97,,54.8,75
1.52,152.04,4.99,1.51,151.34,4.97,,54.7,74.8
1.5,150.19,4.93,1.5,149.82,4.92,,55.3,73.8
1.5,150.35,4.93,1.5,149.8,4.91,,55.4,74
1.5,149.94,4.92,1.49,149.34,4.9,,55.8,73.5
1.5,149.82,4.92,1.49,149.23,4.9,,55.9,73.6
1.5,149.75,4.91,1.49,149.12,4.89,,56.3,73.3
