Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
163,132,123,29,0,0
168,138,131,91,8,62
175,123,94,75,-37,-16
170,135,131,106,37,31
175,143,106,102,-25,-4
170,148,142,115,36,13
169,160,107,130,-35,15
171,170,113,123,6,-7
170,174,107,138,-6,15
167,179,92,113,-15,-25
168,179,98,132,6,19
163,174,127,139,29,7
167,172,83,124,-44,-15
159,174,76,126,-7,2
152,172,71,121,-5,-5
137,172,64,118,-7,-3
134,174,64,116,0,-2
131,176,68,115,4,-1
132,175,74,112,6,-3
130,176,76,137,2,25
132,175,129,109,53,-28
135,173,115,108,-14,-1
138,174,120,133,5,25
149,173,123,125,3,-8
156,173,132,128,9,3
174,174,138,122,6,-6
173,171,137,120,-1,-2
173,175,137,116,0,-4
177,173,135,122,-2,6
177,172,133,86,-2,-36
175,176,128,80,-5,-6
167,164,122,71,-6,-9
168,154,118,130,-4,59
166,143,114,60,-4,-70
171,136,113,59,-1,-1
174,127,138,59,25,0
177,128,135,64,-3,5
176,133,132,72,-3,8
176,133,133,119,1,47
172,136,102,113,-31,-6
172,148,101,117,-1,4
171,156,135,124,34,7
173,167,141,127,6,3
176,176,121,140,-20,13
175,172,114,140,-7,0
174,172,128,128,14,-12
172,173,111,137,-17,9
165,178,104,132,-7,-5
168,175,75,126,-29,-6
155,172,121,122,46,-4
151,172,67,119,-54,-3
143,173,64,137,-3,18
136,178,63,117,-1,-20
133,179,67,116,4,-1
131,177,70,137,3,21
134,173,79,134,9,-3
134,172,83,130,4,-4
142,170,115,128,32,-2
146,169,123,123,8,-5
154,170,121,122,-2,-1
170,171,127,118,6,-4
177,171,133,105,6,-13
173,173,132,101,-1,-4
171,171,140,98,8,-3
176,173,134,109,-6,11
175,172,128,126,-6,17
172,163,123,109,-5,-17
169,158,119,70,-4,-39
169,157,116,69,-3,-1
173,147,114,64,-2,-5
175,140,113,63,-1,-1
178,136,111,64,-2,1
178,133,136,68,25,4
179,132,133,130,-3,62
174,142,119,101,-14,-29
172,145,119,107,0,6
171,155,123,114,4,7
170,169,127,120,4,6
167,175,73,118,-54,-2
164,170,112,136,39,18
141,171,86,126,-26,-10
142,168,83,90,-3,-36
141,173,90,100,7,10
137,174,102,163,12,63
137,179,109,126,7,-37
139,177,64,123,-45,-3
150,173,67,139,3,16
149,176,65,142,-2,3
141,178,66,117,1,-25
134,177,64,141,-2,24
131,176,69,137,5,-4
128,175,73,111,4,-26
135,173,116,124,43,13
140,173,110,114,-6,-10
147,171,137,107,27,-7
153,169,101,102,-36,-5
167,168,115,99,14,-3
170,168,120,104,5,5
175,168,124,105,4,1
175,169,126,100,2,-5
175,168,126,86,0,-14
168,168,118,90,-8,4
160,163,110,113,-8,23
154,164,104,114,-6,1
147,163,95,126,-9,12
144,163,90,134,-5,8
142,161,88,138,-2,4
138,159,85,79,-3,-59
166,148,16,52,-69,-27
166,141,16,46,0,-6
167,137,17,32,1,-14
166,174,16,112,-1,80
174,174,106,113,90,1
174,174,106,114,0,1
174,175,106,115,0,1
174,175,106,117,0,2
174,175,105,118,-1,1
174,176,105,116,0,-2
174,176,104,115,-1,-1
174,176,103,114,-1,-1
