Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
177,155,127,126,0,0,132,128,HS,HS
177,157,132,130,5,4,132,128,HS,HS
176,158,138,131,6,1,132,128,HS,HS
176,154,134,125,-4,-6,132,128,HS,HS
173,154,133,129,-1,4,132,129,HS,HS
166,149,131,126,-2,-3,132,129,HS,HS
168,152,133,127,2,1,132,129,HS,HS
167,149,131,136,-2,9,132,129,HS,HS
169,149,130,135,-1,-1,131,130,HS,HS
171,153,132,135,2,0,131,130,HS,HS
172,154,133,129,1,-6,131,130,HS,HS
174,144,129,123,-4,-6,131,130,HS,HS
175,142,135,123,6,0,130,119,HS,TO
177,175,130,122,-5,-1,130,119,HS,TO
177,173,130,115,0,-7,130,119,HS,TO
177,175,127,117,-3,2,130,119,HS,TO
177,178,132,127,5,10,129,124,HS,FF
177,177,130,122,-2,-5,129,124,HS,FF
176,174,128,128,-2,6,129,124,HS,FF
175,179,126,122,-2,-6,129,124,HS,FF
174,174,126,126,0,4,121,129,FF,HS
174,177,122,123,-4,-3,121,129,FF,HS
173,178,121,129,-1,6,121,129,FF,HS
173,177,118,138,-3,9,121,129,FF,HS
173,177,116,137,-2,-1,113,137,FF,HS
174,176,114,135,-2,-2,113,137,FF,HS
174,176,112,138,-2,3,113,137,FF,HS
173,177,111,141,-1,3,113,137,FF,HS
170,176,109,140,-2,-1,116,136,FF,HS
169,175,116,138,7,-2,116,136,FF,HS
162,178,119,135,3,-3,116,136,FF,HS
154,176,122,134,3,-1,116,136,FF,HS
147,176,119,132,-3,-2,111,132,FF,HS
137,176,114,131,-5,-1,111,132,FF,HS
138,175,109,132,-5,1,111,132,FF,HS
134,175,103,133,-6,1,111,132,FF,HS
142,175,98,132,-5,-1,102,132,TO,HS
142,175,106,132,8,0,102,132,TO,HS
148,174,98,132,-8,0,102,132,TO,HS
156,174,107,132,9,0,102,132,TO,HS
162,173,114,131,7,-1,122,128,FF,HS
168,173,121,130,7,-1,122,128,FF,HS
173,175,125,128,4,-2,122,128,FF,HS
176,176,129,125,4,-3,122,128,FF,HS
174,177,132,124,3,-1,137,120,HS,TO
175,176,141,123,9,-1,137,120,HS,TO
174,176,136,122,-5,-1,137,120,HS,TO
170,175,139,113,3,-9,137,120,HS,TO
167,175,136,111,-3,-2,134,118,HS,TO
169,174,135,121,-1,10,134,118,HS,TO
170,158,133,121,-2,0,134,118,HS,TO
170,162,132,121,-1,0,134,118,HS,TO
173,167,132,115,0,-6,131,113,HS,TO
174,172,132,115,0,0,131,113,HS,TO
174,170,132,111,0,-4,131,113,HS,TO
175,173,131,114,-1,3,131,113,HS,TO
174,173,130,123,-1,9,129,121,HS,TO
175,174,130,119,0,-4,129,121,HS,TO
176,175,129,124,-1,5,129,121,HS,TO
176,176,129,121,0,-3,129,121,HS,TO
176,176,130,124,1,3,128,124,HS,FF
176,177,129,127,-1,3,128,124,HS,FF
175,176,127,124,-2,-3,128,124,HS,FF
174,177,126,122,-1,-2,128,124,HS,FF
175,175,125,128,-1,6,123,130,FF,HS
174,176,124,128,-1,0,123,130,FF,HS
173,177,123,131,-1,3,123,130,FF,HS
172,174,122,133,-1,2,123,130,FF,HS
172,177,122,136,0,3,121,134,FF,HS
172,175,121,134,-1,-2,121,134,FF,HS
171,176,119,135,-2,1,121,134,FF,HS
171,175,122,134,3,-1,121,134,FF,HS
171,176,121,133,-1,-1,119,131,FF,HS
170,175,118,131,-3,-2,119,131,FF,HS
168,176,115,132,-3,1,119,131,FF,HS
163,178,123,129,8,-3,119,131,FF,HS
159,176,120,128,-3,-1,112,128,FF,HS
154,176,115,128,-5,0,112,128,FF,HS
145,175,110,128,-5,0,112,128,FF,HS
134,174,104,128,-6,0,112,128,FF,HS
137,174,111,129,7,1,108,129,TO,HS
138,174,115,130,4,1,108,129,TO,HS
138,174,106,129,-9,-1,108,129,TO,HS
143,173,101,128,-5,-1,108,129,TO,HS
149,173,96,131,-5,3,105,130,TO,HS
152,172,102,131,6,0,105,130,TO,HS
159,172,109,130,7,-1,105,130,TO,HS
164,172,115,129,6,-1,105,130,TO,HS
170,172,120,128,5,-1,123,126,FF,FF
171,171,122,128,2,0,123,126,FF,FF
175,170,126,126,4,-2,123,126,FF,FF
176,170,127,125,1,-1,123,126,FF,FF
173,171,123,122,-4,-3,118,118,FF,TO
168,173,119,119,-4,-3,118,118,FF,TO
168,175,117,116,-2,-3,118,118,FF,TO
164,174,114,118,-3,2,118,118,FF,TO
164,174,112,120,-2,2,111,121,FF,TO
166,174,112,127,0,7,111,121,FF,TO
167,175,112,123,0,-4,111,121,FF,TO
169,174,111,116,-1,-7,111,121,FF,TO
171,176,110,125,-1,9,108,122,TO,TO
172,178,109,118,-1,-7,108,122,TO,TO
174,179,108,121,-1,3,108,122,TO,TO
175,178,107,124,-1,3,108,122,TO,TO
177,177,107,126,0,2,105,122,TO,TO
177,177,106,123,-1,-3,105,122,TO,TO
176,176,105,121,-1,-2,105,122,TO,TO
175,178,105,120,0,-1,105,122,TO,TO
174,177,104,124,-1,4,102,125,TO,FF
173,174,103,129,-1,5,102,125,TO,FF
173,176,102,124,-1,-5,102,125,TO,FF
172,174,101,126,-1,2,102,125,TO,FF
171,173,100,126,-1,0,100,125,TO,FF
171,177,98,122,-2,-4,100,125,TO,FF
171,173,97,126,-1,4,100,125,TO,FF
170,173,105,127,8,1,100,125,TO,FF
170,173,111,130,6,3,114,127,FF,HS
169,176,114,126,3,-4,114,127,FF,HS
169,174,117,127,3,1,114,127,FF,HS
169,174,126,126,9,-1,114,127,FF,HS
