Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.39,138.95,4.56,1.36,136.17,4.47,,51.6,67.7
1.36,135.99,4.46,1.33,133.23,4.37,,47.4,65.5
1.35,134.63,4.42,1.33,132.52,4.35,,48,65.2
1.24,124.4,4.08,1.22,122.35,4.01,,49.8,54.6
1.25,124.79,4.09,1.23,122.9,4.03,,48,56.1
1.21,121.3,3.98,1.19,118.99,3.9,,47.8,51.5
1.31,131.2,4.3,1.29,129.28,4.24,,47.7,61.7
1.24,123.89,4.06,1.22,121.98,4,,47.5,54.1
1.26,126.13,4.14,1.24,124.11,4.07,,44.5,55.8
1.26,125.75,4.13,1.24,123.78,4.06,,44.8,55.5
1.34,134.01,4.4,1.32,132.12,4.33,,46.3,64.2
1.31,131.02,4.3,1.29,128.99,4.23,,45.4,61.4
1.31,130.82,4.29,1.29,129.17,4.24,,46.3,61.1
1.3,130.39,4.28,1.29,128.64,4.22,,45.9,60.3
1.31,130.52,4.28,1.29,128.77,4.22,,44.8,60.5
1.41,141.17,4.63,1.39,139.44,4.57,,44.7,71.4
1.43,143.31,4.7,1.41,140.68,4.62,,44.1,72.1
1.42,142.01,4.66,1.41,140.59,4.61,,45.2,72.1
1.43,143.13,4.7,1.41,141.19,4.63,,45.8,72.6
1.44,143.76,4.72,1.41,141.47,4.64,,47.1,73.1
1.44,144.31,4.73,1.42,141.64,4.65,,47.9,73.6
1.45,144.66,4.75,1.42,141.99,4.66,,47.9,73.8
1.45,145.21,4.76,1.43,142.51,4.68,,48.1,74.1
1.46,145.63,4.78,1.43,142.74,4.68,,48.2,74.8
1.46,146.26,4.8,1.43,143.48,4.71,,48.5,75.1
1.49,148.55,4.87,1.46,146.32,4.8,,48.8,78.4
1.47,146.56,4.81,1.45,144.5,4.74,,49.9,76.7
1.46,145.56,4.78,1.44,143.53,4.71,,49,75.9
1.47,147.06,4.82,1.45,145.21,4.76,,50.2,77.4
1.45,145.4,4.77,1.43,143.4,4.7,,48.8,76.2
1.44,144.34,4.74,1.43,142.57,4.68,,48.2,74.3
1.45,145.49,4.77,1.43,143.49,4.71,,48.6,75
1.45,145.29,4.77,1.43,143.32,4.7,,47.6,74.6
1.44,144.44,4.74,1.43,143.05,4.69,,47.1,74
1.46,145.55,4.78,1.44,143.57,4.71,,49.9,74.7
