Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
168,135,112,30,0,0,110,40,FF,TO
170,124,113,34,1,4,110,40,FF,TO
161,125,107,43,-6,9,110,40,FF,TO
170,157,109,53,2,10,110,40,FF,TO
163,148,115,62,6,9,120,74,FF,FF
162,153,118,71,3,9,120,74,FF,FF
158,164,122,79,4,8,120,74,FF,FF
162,161,127,86,5,7,120,74,FF,FF
162,167,120,93,-7,7,121,101,FF,FF
165,164,123,100,3,7,121,101,FF,FF
163,175,120,104,-3,4,121,101,FF,FF
157,174,124,107,4,3,121,101,FF,FF
160,176,126,110,2,3,128,116,HS,FF
164,177,128,114,2,4,128,116,HS,FF
153,176,133,119,5,5,128,116,HS,FF
157,178,125,123,-8,4,128,116,HS,FF
162,177,119,126,-6,3,124,128,FF,HS
156,175,126,132,7,6,124,128,FF,HS
149,175,122,129,-4,-3,124,128,FF,HS
142,172,131,125,9,-4,124,128,FF,HS
137,173,127,123,-4,-2,124,122,FF,HS
138,175,120,123,-7,0,124,122,FF,HS
134,177,128,122,8,-1,124,122,FF,HS
137,175,124,120,-4,-2,124,122,FF,HS
144,175,123,122,-1,2,121,119,FF,FF
146,174,119,118,-4,-4,121,119,FF,FF
146,176,120,119,1,1,121,119,FF,FF
159,177,122,118,2,-1,121,119,FF,FF
167,175,126,117,4,-1,124,119,FF,FF
175,177,120,119,-6,2,124,119,FF,FF
177,177,124,123,4,4,124,119,FF,FF
174,175,127,118,3,-5,124,119,FF,FF
178,176,129,122,2,4,131,126,HS,HS
177,178,136,131,7,9,131,126,HS,HS
176,173,132,127,-4,-4,131,126,HS,HS
170,172,127,124,-5,-3,131,126,HS,HS
164,164,125,118,-2,-6,125,126,HS,HS
165,159,126,121,1,3,125,126,HS,HS
165,149,124,130,-2,9,125,126,HS,HS
166,143,125,138,1,8,125,126,HS,HS
166,140,124,138,-1,0,125,130,HS,HS
168,144,125,135,1,-3,125,130,HS,HS
169,145,126,129,1,-6,125,130,HS,HS
170,148,125,120,-1,-9,125,130,HS,HS
169,152,124,123,-1,3,124,126,FF,HS
171,160,124,133,0,10,124,126,FF,HS
170,166,126,127,2,-6,124,126,FF,HS
170,172,123,123,-3,-4,124,126,FF,HS
166,178,122,117,-1,-6,116,107,FF,FF
167,174,115,111,-7,-6,116,107,FF,FF
169,176,112,104,-3,-7,116,107,FF,FF
162,176,115,97,3,-7,116,107,FF,FF
162,176,121,98,6,1,124,105,FF,FF
162,175,124,102,3,4,124,105,FF,FF
152,173,124,109,0,7,124,105,FF,FF
145,174,127,114,3,5,124,105,FF,FF
141,172,118,112,-9,-2,113,115,FF,FF
138,173,112,113,-6,1,113,115,FF,FF
139,170,111,118,-1,5,113,115,FF,FF
141,173,111,120,0,2,113,115,FF,FF
142,172,113,121,2,1,118,124,FF,HS
147,174,119,122,6,1,118,124,FF,HS
154,172,123,126,4,4,118,124,FF,HS
159,172,117,130,-6,4,118,124,FF,HS
168,173,121,130,4,0,127,131,HS,HS
173,174,125,132,4,2,127,131,HS,HS
177,174,131,131,6,-1,127,131,HS,HS
177,171,134,132,3,1,127,131,HS,HS
176,173,136,129,2,-3,135,122,HS,HS
172,169,138,124,2,-5,135,122,HS,HS
171,169,135,121,-3,-3,135,122,HS,HS
172,167,134,116,-1,-5,135,122,HS,HS
166,165,130,110,-4,-6,123,106,FF,FF
170,159,124,100,-6,-10,123,106,FF,FF
168,159,118,104,-6,4,123,106,FF,FF
171,159,123,111,5,7,123,106,FF,FF
171,163,120,114,-3,3,114,113,FF,FF
172,163,118,117,-2,3,114,113,FF,FF
170,160,111,108,-7,-9,114,113,FF,FF
170,163,109,114,-2,6,114,113,FF,FF
170,164,106,118,-3,4,115,111,FF,FF
172,165,111,112,5,-6,115,111,FF,FF
171,165,117,112,6,0,115,111,FF,FF
172,167,126,102,9,-10,115,111,FF,FF
171,170,120,107,-6,5,109,110,FF,FF
170,173,112,111,-8,4,109,110,FF,FF
167,173,105,110,-7,-1,109,110,FF,FF
164,173,99,112,-6,2,109,110,FF,FF
161,170,94,108,-5,-4,87,104,FF,FF
155,173,89,110,-5,2,87,104,FF,FF
150,166,84,102,-5,-8,87,104,FF,FF
141,162,81,97,-3,-5,87,104,FF,FF
138,162,72,95,-9,-2,74,92,FF,FF
140,162,78,94,6,-1,74,92,FF,FF
135,160,76,90,-2,-4,74,92,FF,FF
126,162,70,90,-6,0,74,92,FF,FF
121,163,69,90,-1,0,71,87,TO,FF
119,163,68,87,-1,-3,71,87,TO,FF
128,164,70,87,2,0,71,87,TO,FF
140,165,80,87,10,0,71,87,TO,FF
140,166,80,86,0,-1,87,83,FF,FF
156,165,86,84,6,-2,87,83,FF,FF
156,164,90,82,4,-2,87,83,FF,FF
