Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.46,145.68,4.78,1.45,144.8,4.75,,54.2,70.1
1.49,148.69,4.88,1.48,147.6,4.84,,48.9,72.9
1.51,151.34,4.97,1.51,150.9,4.95,,51,74.5
1.51,151.29,4.96,1.51,150.78,4.95,,52.7,74.5
1.51,151.28,4.96,1.5,150.41,4.93,,56.7,72.9
1.51,151.13,4.96,1.5,150.33,4.93,,57.4,72.9
1.51,151.3,4.96,1.51,150.6,4.94,,57.2,73.6
1.51,151.32,4.96,1.51,151.19,4.96,,54.2,74.1
1.52,151.7,4.98,1.51,151.39,4.97,,53.7,74.4
1.52,151.78,4.98,1.51,150.89,4.95,,55.2,74.4
1.53,152.83,5.01,1.52,151.82,4.98,,53.7,74.9
1.52,152.46,5,1.51,151.27,4.96,,53.7,75.1
1.53,152.54,5,1.52,151.9,4.98,,53.9,75.2
1.53,153.05,5.02,1.53,152.72,5.01,,52.4,76
1.53,153.42,5.03,1.53,153.3,5.03,,52.9,77.1
1.55,154.5,5.07,1.55,155.01,5.09,,53.2,78.7
1.55,154.94,5.08,1.55,155.34,5.1,,55.8,78.9
1.56,155.84,5.11,1.56,156.41,5.13,,53.7,79.7
1.56,155.93,5.12,1.56,156.36,5.13,,53.5,79.7
1.5,149.52,4.91,1.5,150.17,4.93,,53.3,73.7
1.57,156.66,5.14,1.57,156.93,5.15,,52.5,80.7
1.56,156.31,5.13,1.57,157.17,5.16,,55.1,82.5
1.57,157.07,5.15,1.58,158.33,5.19,,53.4,83
1.52,151.89,4.98,1.53,152.57,5.01,,53.8,77.7
1.52,151.94,4.99,1.52,152.2,4.99,,53.8,76.5
1.57,156.87,5.15,1.58,158.02,5.18,,53.6,80.6
1.57,156.9,5.15,1.58,157.62,5.17,,54.1,81
1.56,156.37,5.13,1.57,157.03,5.15,,54.8,80.5
1.54,153.82,5.05,1.54,154.1,5.06,,54.9,77.4
1.57,156.92,5.15,1.57,157.37,5.16,,55.5,80
1.55,155.41,5.1,1.56,155.77,5.11,,55.3,78.1
1.52,152.11,4.99,1.52,152.36,5,,55,75.4
1.53,153.21,5.03,1.53,153.41,5.03,,55.3,76
1.53,153.36,5.03,1.54,153.71,5.04,,55.7,76.4
1.52,151.85,4.98,1.52,151.77,4.98,,55.6,74.3
1.53,153.29,5.03,1.53,153.35,5.03,,55.5,75.9
1.53,152.81,5.01,1.53,152.6,5.01,,56.3,76
1.53,152.63,5.01,1.52,152.38,5,,56.5,75.5
1.52,152.25,5,1.52,151.66,4.98,,57,74.7
1.51,151.49,4.97,1.51,150.97,4.95,,56.9,74.5
1.52,152.35,5,1.52,151.78,4.98,,56.4,74.8
1.53,153.47,5.04,1.53,152.83,5.01,,56.2,75.6
1.54,153.56,5.04,1.53,153.03,5.02,,55.6,75.9
1.55,154.89,5.08,1.54,154.28,5.06,,54.6,76.7
1.55,155.27,5.09,1.55,154.75,5.08,,54.4,77
1.56,155.71,5.11,1.55,155.3,5.09,,54.4,77.3
1.55,155.46,5.1,1.55,155.06,5.09,,53.7,77.1
1.56,155.76,5.11,1.56,155.56,5.1,,53.9,77.4
