Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
159,149,112,139,0,0
164,131,129,121,17,-18
167,126,139,138,10,17
161,139,84,130,-55,-8
158,128,134,122,50,-8
161,136,126,128,-8,6
154,137,135,131,9,3
154,136,126,124,-9,-7
160,156,133,9,7,-115
162,158,136,8,3,-1
161,159,136,21,0,13
164,162,132,92,-4,71
166,167,135,135,3,43
169,164,134,130,-1,-5
169,174,132,126,-2,-4
170,173,132,131,0,5
170,176,132,133,0,2
171,178,134,135,2,2
172,178,135,128,1,-7
172,179,134,129,-1,1
172,178,134,132,0,3
173,178,133,132,-1,0
170,172,115,137,-18,5
170,175,130,137,15,0
174,171,132,137,2,0
171,175,130,132,-2,-5
171,169,126,139,-4,7
172,172,124,138,-2,-1
171,175,133,137,9,-1
166,171,120,121,-13,-16
166,176,80,137,-40,16
155,175,131,139,51,2
148,174,74,108,-57,-31
144,170,74,135,0,27
144,171,131,136,57,1
147,174,120,134,-11,-2
148,175,133,133,13,-1
158,176,96,131,-37,-2
164,177,134,131,38,0
167,173,135,129,1,-2
176,173,140,129,5,0
176,176,137,127,-3,-2
178,173,142,88,5,-39
173,173,132,131,-10,43
172,173,132,131,0,0
172,172,131,130,-1,-1
167,172,134,123,3,-7
164,168,135,78,1,-45
160,166,134,76,-1,-2
161,164,135,120,1,44
162,167,134,126,-1,6
166,165,102,131,-32,5
166,169,102,121,0,-10
169,173,102,127,0,6
170,172,101,124,-1,-3
172,174,100,101,-1,-23
174,173,99,128,-1,27
174,168,98,130,-1,2
174,172,97,126,-1,-4
174,164,96,131,-1,5
175,169,133,131,37,0
174,166,132,134,-1,3
176,171,90,132,-42,-2
172,170,88,131,-2,-1
174,171,86,132,-2,1
173,171,84,131,-2,-1
170,178,127,131,43,0
161,177,128,130,1,-1
154,176,73,132,-55,2
149,170,73,132,0,0
140,167,71,129,-2,-3
139,166,71,127,0,-2
142,169,122,127,51,0
142,171,120,127,-2,0
148,170,122,125,2,-2
156,171,98,126,-24,1
160,173,130,126,32,0
168,174,136,124,6,-2
170,171,129,122,-7,-2
174,172,135,124,6,2
170,174,128,125,-7,1
166,170,128,123,0,-2
170,172,133,122,5,-1
167,170,132,127,-1,5
163,167,131,75,-1,-52
165,168,132,77,1,2
164,164,130,74,-2,-3
164,168,130,79,0,5
167,172,130,126,0,47
169,173,130,121,0,-5
170,174,128,128,-2,7
171,175,128,130,0,2
170,174,127,128,-1,-2
171,171,126,130,-1,2
170,171,125,132,-1,2
171,165,125,115,0,-17
172,166,124,134,-1,19
172,166,126,129,2,-5
166,163,125,129,-1,0
170,168,129,124,4,-5
170,166,131,131,2,7
166,170,127,124,-4,-7
162,173,78,127,-49,3
158,175,75,130,-3,3
155,174,74,131,-1,1
149,172,72,131,-2,0
144,168,71,130,-1,-1
143,170,71,128,0,-2
143,170,74,129,3,1
142,172,76,130,2,1
146,174,124,129,48,-1
151,174,127,129,3,0
158,175,130,129,3,0
166,175,125,128,-5,-1
171,176,127,126,2,-2
174,176,132,124,5,-2
173,177,128,125,-4,1
173,178,127,121,-1,-4
172,177,126,119,-1,-2
167,175,124,121,-2,2
