Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.48,147.68,4.85,1.44,143.66,4.71,,44.3,76.6
1.4,140.21,4.6,1.36,136.2,4.47,,46.7,71.4
1.38,138.26,4.54,1.34,134.24,4.4,,43.6,69.6
1.48,148.19,4.86,1.44,143.64,4.71,,41,78.9
1.37,137.48,4.51,1.33,132.9,4.36,,40.7,67.6
1.41,141.21,4.63,1.37,137.03,4.5,,44.9,72
1.39,139.06,4.56,1.35,134.52,4.41,,45,69.8
1.41,140.62,4.61,1.36,136.33,4.47,,47.7,71.4
1.38,137.7,4.52,1.34,134.14,4.4,,50.8,69.7
1.38,137.7,4.52,1.34,134.22,4.4,,46.7,69.5
1.39,138.89,4.56,1.36,135.64,4.45,,50.7,71.1
1.38,138.47,4.54,1.36,135.61,4.45,,49.1,71
1.38,137.86,4.52,1.35,135.38,4.44,,52,70.5
1.38,137.85,4.52,1.35,135.47,4.44,,50.4,70.3
1.38,137.63,4.52,1.35,135.43,4.44,,50.8,70.4
1.38,137.72,4.52,1.35,135.44,4.44,,48.5,69.9
1.38,137.94,4.53,1.36,135.65,4.45,,48.1,70.1
1.38,138.27,4.54,1.36,135.95,4.46,,48.1,69.7
1.38,138.21,4.53,1.36,135.98,4.46,,47,70
1.38,138.4,4.54,1.36,135.93,4.46,,46.3,70
1.39,138.93,4.56,1.36,136.48,4.48,,52.9,70.1
1.38,137.89,4.52,1.36,135.93,4.46,,52,69.6
1.4,139.72,4.58,1.38,138.26,4.54,,44,71.6
1.37,137.2,4.5,1.36,135.77,4.45,,47.6,69.7
1.36,136.13,4.47,1.35,135.06,4.43,,46,69.8
1.37,136.51,4.48,1.36,135.51,4.45,,49.7,70.1
1.36,136.31,4.47,1.35,135.41,4.44,,47.5,70.1
1.36,136.42,4.48,1.36,135.8,4.46,,45.8,70.1
1.36,136.31,4.47,1.36,135.99,4.46,,48.9,70.6
1.4,140.41,4.61,1.4,140.4,4.61,,50.1,75.5
1.39,139.27,4.57,1.39,139.01,4.56,,48.9,73.4
1.43,143.4,4.7,1.43,142.78,4.68,,50.9,77.5
1.42,141.73,4.65,1.41,140.65,4.61,,47.6,75.6
1.42,142.19,4.67,1.41,140.53,4.61,,48,75.9
1.43,142.77,4.68,1.41,141.05,4.63,,45.6,75.6
1.42,141.95,4.66,1.4,140.2,4.6,,46.7,75.3
1.42,141.6,4.65,1.39,139.43,4.57,,46.8,74.5
1.4,140.21,4.6,1.38,137.85,4.52,,45.3,72.7
1.39,139.23,4.57,1.37,136.99,4.49,,47.3,72
1.39,139.13,4.56,1.37,136.71,4.49,,45.9,71.6
1.39,139.02,4.56,1.37,136.63,4.48,,47.2,71.4
1.39,138.82,4.55,1.37,136.68,4.48,,46.3,72
1.39,138.98,4.56,1.37,136.68,4.48,,46,72.1
1.38,137.81,4.52,1.35,135.36,4.44,,45.7,70.3
1.41,140.75,4.62,1.38,138.35,4.54,,50,73.6
1.39,138.65,4.55,1.36,136.35,4.47,,48.2,71.2
1.39,138.56,4.55,1.36,136.19,4.47,,48.8,71
1.38,138.2,4.53,1.36,135.83,4.46,,50.6,70.4
1.38,138.37,4.54,1.36,135.86,4.46,,53.2,70.5
1.38,138.43,4.54,1.36,135.74,4.45,,52.4,69.8
1.39,138.97,4.56,1.36,136.35,4.47,,50.7,70.1
1.4,139.7,4.58,1.37,137.35,4.51,,51.5,70.3
1.39,139.49,4.58,1.37,137.24,4.5,,49.3,70.6
1.4,140.21,4.6,1.38,137.99,4.53,,50.7,70.9
1.4,139.98,4.59,1.38,137.98,4.53,,51.3,71.3
1.4,140.18,4.6,1.38,138.09,4.53,,49.3,71.1
1.4,139.62,4.58,1.38,137.96,4.53,,51.4,71.2
1.4,139.58,4.58,1.38,137.88,4.52,,50.8,71
1.4,139.79,4.59,1.38,138.21,4.53,,50.8,71
1.4,139.66,4.58,1.38,138.05,4.53,,50.8,70.8
1.4,139.79,4.59,1.38,138.39,4.54,,50.8,71
1.4,139.99,4.59,1.39,138.71,4.55,,50.9,71.1
1.39,139.3,4.57,1.38,138.26,4.54,,50.8,70.8
1.39,139.3,4.57,1.38,138.19,4.53,,50.9,70.9
1.39,138.76,4.55,1.38,138.03,4.53,,50.8,70.9
1.39,138.99,4.56,1.38,138.36,4.54,,50.9,71.4
1.41,140.79,4.62,1.4,140.16,4.6,,49.5,73.2
1.43,142.6,4.68,1.42,142.01,4.66,,50,75.3
1.44,144.33,4.74,1.44,143.67,4.71,,49.5,77.7
1.45,144.98,4.76,1.44,143.77,4.72,,49.3,78.2
1.41,141.37,4.64,1.4,139.52,4.58,,47.9,73.4
