Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
120,162,134,108,0,0,119,116,FF,FF
178,166,126,116,-8,8,119,116,FF,FF
177,176,115,119,-11,3,119,116,FF,FF
177,176,102,123,-13,4,119,116,FF,FF
171,178,90,122,-12,-1,73,123,FF,HS
177,176,78,126,-12,4,73,123,FF,HS
174,176,67,121,-11,-5,73,123,FF,HS
172,175,58,124,-9,3,73,123,FF,HS
169,173,49,131,-9,7,39,130,TO,HS
164,173,42,130,-7,-1,39,130,TO,HS
167,164,35,129,-7,-1,39,130,TO,HS
163,167,33,130,-2,1,39,130,TO,HS
159,171,36,130,3,0,48,129,TO,HS
162,167,43,130,7,0,48,129,TO,HS
165,167,52,129,9,-1,48,129,TO,HS
165,168,61,130,9,1,48,129,TO,HS
167,168,70,130,9,0,80,131,FF,HS
164,170,77,131,7,1,80,131,FF,HS
164,170,84,133,7,2,80,131,FF,HS
167,170,91,132,7,-1,80,131,FF,HS
166,171,97,131,6,-1,104,131,FF,HS
167,171,102,130,5,-1,104,131,FF,HS
169,171,107,131,5,1,104,131,FF,HS
170,170,113,133,6,2,104,131,FF,HS
168,172,117,133,4,0,123,130,HS,HS
171,170,121,133,4,0,123,130,HS,HS
169,171,124,130,3,-3,123,130,HS,HS
168,168,130,125,6,-5,123,130,HS,HS
162,167,125,119,-5,-6,130,108,HS,TO
163,160,127,109,2,-10,130,108,HS,TO
163,155,135,100,8,-9,130,108,HS,TO
166,154,134,107,-1,7,130,108,HS,TO
166,147,134,110,0,3,132,115,HS,FF
166,147,131,114,-3,4,132,115,HS,FF
167,149,132,117,1,3,132,115,HS,FF
167,145,132,121,0,4,132,115,HS,FF
168,152,132,131,0,10,131,128,HS,HS
171,152,131,129,-1,-2,131,128,HS,HS
171,160,131,131,0,2,131,128,HS,HS
173,162,133,123,2,-8,131,128,HS,HS
