Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
161,151,32,99,0,0
149,154,88,111,56,12
158,154,101,112,13,1
153,159,8,110,-93,-2
157,163,17,136,9,26
153,157,115,116,98,-20
155,160,101,115,-14,-1
138,164,43,107,-58,-8
136,167,109,75,66,-32
126,169,77,119,-32,44
136,167,85,116,8,-3
132,163,135,132,50,16
140,165,92,136,-43,4
147,161,98,110,6,-26
139,163,94,94,-4,-16
154,171,105,62,11,-32
152,167,102,22,-3,-40
157,168,105,22,3,0
163,167,106,21,1,-1
155,157,100,29,-6,8
161,153,131,83,31,54
158,142,97,75,-34,-8
159,134,95,74,-2,-1
159,128,93,134,-2,60
158,127,91,117,-2,-17
162,135,92,126,1,9
163,146,89,136,-3,10
159,155,84,129,-5,-7
165,161,84,131,0,2
164,172,83,140,-1,9
164,177,79,129,-4,-11
155,166,73,122,-6,-7
158,164,75,116,2,-6
149,153,71,136,-4,20
140,157,65,135,-6,-1
144,165,69,136,4,1
138,168,70,138,1,2
132,174,70,138,0,0
134,173,79,136,9,-2
130,175,79,135,0,-1
126,178,77,137,-2,2
128,177,80,135,3,-2
129,173,85,124,5,-11
131,172,84,123,-1,-1
139,168,92,123,8,0
138,168,90,116,-2,-7
143,167,94,113,4,-3
149,170,98,132,4,19
149,168,98,117,0,-15
146,163,93,82,-5,-35
151,163,94,125,1,43
152,155,92,128,-2,3
152,147,91,75,-1,-53
155,136,89,69,-2,-6
155,132,88,73,-1,4
159,127,87,129,-1,56
161,137,88,117,1,-12
163,143,87,128,-1,11
168,157,90,136,3,8
167,171,83,135,-7,-1
165,174,80,125,-3,-10
163,169,78,121,-2,-4
157,158,73,114,-5,-7
156,164,73,112,0,-2
148,165,70,111,-3,-1
141,170,65,110,-5,-1
137,172,68,110,3,0
137,175,73,109,5,-1
135,176,78,108,5,-1
135,178,83,107,5,-1
136,178,86,134,3,27
133,173,86,104,0,-30
141,171,92,102,6,-2
147,170,99,101,7,-1
144,169,129,132,30,31
149,169,102,121,-27,-11
150,169,101,121,-1,0
153,167,130,88,29,-33
151,167,132,88,2,0
152,164,131,84,-1,-4
154,157,133,80,2,-4
154,152,135,78,2,-2
155,142,134,72,-1,-6
155,139,134,138,0,66
155,136,133,73,-1,-65
156,135,85,129,-48,56
160,136,88,113,3,-16
162,146,86,90,-2,-23
160,156,83,128,-3,38
166,166,85,128,2,0
168,172,83,132,-2,4
170,174,81,124,-2,-8
159,164,72,115,-9,-9
132,170,57,114,-15,-1
145,167,64,111,7,-3
141,171,63,110,-1,-1
136,173,64,109,1,-1
134,174,68,108,4,-1
139,172,75,106,7,-2
138,175,80,105,5,-1
144,175,85,128,5,23
144,174,146,123,61,-5
140,172,113,122,-33,-1
148,172,119,121,6,-1
148,172,98,119,-21,-2
150,171,135,124,37,5
154,170,100,125,-35,1
155,166,98,114,-2,-11
155,160,130,98,32,-16
158,150,135,91,5,-7
160,142,93,106,-42,15
160,135,92,74,-1,-32
160,126,129,122,37,48
160,135,127,121,-2,-1
160,137,123,119,-4,-2
161,148,115,97,-8,-22
162,156,116,105,1,8
162,163,118,113,2,8
161,168,120,118,2,5
161,164,124,119,4,1
