Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
175,150,124,138,0,0
172,163,127,14,3,-124
175,161,128,8,1,-6
175,156,124,3,-4,-5
175,145,136,34,12,31
175,132,137,83,1,49
174,133,136,122,-1,39
172,139,121,127,-15,5
173,145,118,123,-3,-4
173,155,118,137,0,14
175,161,115,130,-3,-7
176,171,110,137,-5,7
176,177,112,128,2,-9
175,175,112,135,0,7
173,172,107,138,-5,3
172,175,107,141,0,3
171,178,107,139,0,-2
172,175,107,134,0,-5
174,174,112,129,5,-5
173,166,124,130,12,1
167,169,126,129,2,-1
166,169,119,128,-7,-1
167,170,114,126,-5,-2
166,171,106,126,-8,0
169,174,108,124,2,-2
166,174,109,123,1,-1
171,175,111,122,2,-1
171,175,117,122,6,0
170,176,123,122,6,0
174,177,123,121,0,-1
173,177,127,122,4,1
173,176,127,120,0,-2
174,176,129,119,2,-1
174,175,128,117,-1,-2
174,173,128,117,0,0
174,173,128,115,0,-2
174,172,128,116,0,1
174,173,125,115,-3,-1
174,171,126,115,1,0
174,169,124,114,-2,-1
173,162,122,116,-2,2
171,153,121,114,-1,-2
171,145,121,71,0,-43
170,136,120,70,-1,-1
170,131,119,69,-1,-1
170,126,117,69,-2,0
171,127,115,73,-2,4
171,127,115,128,0,55
172,132,115,117,0,-11
173,137,115,119,0,2
174,150,114,128,-1,9
175,157,116,127,2,-1
175,166,114,129,-2,2
175,173,112,131,-2,2
176,177,111,137,-1,6
175,178,108,135,-3,-2
176,175,113,133,5,-2
176,174,113,134,0,1
175,166,113,131,0,-3
173,166,117,131,4,0
170,164,123,132,6,1
168,166,69,133,-54,1
165,165,126,131,57,-2
168,168,108,131,-18,0
170,167,106,131,-2,0
173,170,114,130,8,-1
172,170,110,131,-4,1
173,171,112,130,2,-1
174,172,112,129,0,-1
175,173,111,128,-1,-1
177,173,116,128,5,0
176,174,116,128,0,0
175,174,117,125,1,-3
175,175,119,125,2,0
175,175,120,126,1,1
176,175,120,123,0,-3
176,173,118,121,-2,-2
176,170,121,118,3,-3
175,169,119,119,-2,1
175,166,120,118,1,-1
172,161,121,115,1,-3
171,154,122,119,1,4
172,148,122,71,0,-48
171,139,121,69,-1,-2
172,134,121,68,0,-1
171,130,121,68,0,0
171,130,119,135,-2,67
171,132,118,120,-1,-15
171,136,119,132,1,12
172,140,118,89,-1,-43
172,151,118,99,0,10
172,158,117,107,-1,8
173,166,117,136,0,29
172,174,118,131,1,-5
172,179,118,131,0,0
171,179,117,131,-1,0
172,176,118,131,1,0
172,171,123,133,5,2
171,164,118,130,-5,-3
170,161,121,132,3,2
172,161,71,107,-50,-25
166,161,68,105,-3,-2
167,163,68,104,0,-1
167,164,70,102,2,-2
171,165,122,101,52,-1
169,166,118,100,-4,-1
168,168,121,99,3,-1
166,169,112,132,-9,33
169,169,120,132,8,0
169,170,112,131,-8,-1
171,170,116,129,4,-2
171,171,117,129,1,0
175,171,115,131,-2,2
176,172,113,131,-2,0
176,173,116,128,3,-3
175,172,116,123,0,-5
175,171,117,114,1,-9
174,170,117,108,0,-6
173,168,124,105,7,-3
171,163,125,75,1,-30
