Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.34,134.16,4.4,1.33,133.15,4.37,,47.8,71.8
1.34,133.93,4.39,1.33,133.03,4.36,,47.5,71.5
1.33,133.17,4.37,1.33,132.59,4.35,,47.5,71.5
1.33,132.74,4.35,1.33,132.56,4.35,,47.5,70.9
1.33,133.01,4.36,1.33,132.9,4.36,,47.6,71.4
1.32,132.43,4.34,1.32,132.26,4.34,,47.4,71.2
1.33,132.56,4.35,1.32,132.22,4.34,,49.4,70.9
1.33,132.82,4.36,1.33,132.58,4.35,,49,71.6
1.34,133.85,4.39,1.34,133.65,4.38,,47.2,72.5
1.45,145.43,4.77,1.45,145.06,4.76,,47,83.3
1.33,133.42,4.38,1.33,132.77,4.36,,46.8,70.9
1.48,147.65,4.84,1.46,146.29,4.8,,46.8,84.3
1.48,147.62,4.84,1.46,146.04,4.79,,46.5,84.4
1.45,145.16,4.76,1.44,143.63,4.71,,46.4,86.1
1.47,146.66,4.81,1.45,144.54,4.74,,46.3,86.5
1.47,147.28,4.83,1.45,145.2,4.76,,47.8,86.7
1.48,147.55,4.84,1.46,145.67,4.78,,46.6,86.8
1.47,147.36,4.83,1.46,146.14,4.79,,48.2,87
1.37,136.59,4.48,1.36,135.79,4.45,,48.2,80.1
1.38,137.63,4.52,1.37,136.98,4.49,,48.3,80
1.37,137.06,4.5,1.37,136.77,4.49,,46.4,80.1
1.35,135.44,4.44,1.35,135.11,4.43,,46.6,80
1.35,134.99,4.43,1.35,134.63,4.42,,46.6,80
1.34,134.43,4.41,1.34,134.11,4.4,,46.6,79.9
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
