Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
48,121,67,8,0,0
42,45,39,36,-28,28
97,49,65,138,26,102
102,49,86,87,21,-51
102,48,80,68,-6,-19
101,41,48,71,-32,3
139,46,25,51,-23,-20
144,75,17,12,-8,-39
125,81,6,65,-11,53
73,83,53,163,47,98
105,120,57,49,4,-114
87,140,54,56,-3,7
83,136,132,64,78,8
146,83,21,149,-111,85
131,76,31,125,10,-24
132,82,95,138,64,13
115,112,146,99,51,-39
160,141,20,7,-126,-92
123,147,145,110,125,103
125,179,124,20,-21,-90
150,171,127,22,3,2
122,166,93,113,-34,91
82,170,91,124,-2,11
89,166,87,145,-4,21
118,166,64,132,-23,-13
104,157,50,142,-14,10
166,159,9,142,-41,0
105,131,124,145,115,3
141,130,53,128,-71,-17
143,117,53,127,0,-1
140,136,39,145,-14,18
134,165,47,113,8,-32
151,168,20,112,-27,-1
169,168,16,107,-4,-5
139,162,27,102,11,-5
133,168,76,101,49,-1
141,163,87,98,11,-3
138,168,84,133,-3,35
150,166,96,125,12,-8
156,165,142,136,46,11
164,166,132,111,-10,-25
177,164,123,88,-9,-23
176,161,129,85,6,-3
172,164,133,115,4,30
177,165,142,123,9,8
176,163,137,125,-5,2
171,160,136,76,-1,-49
175,155,141,70,5,-6
166,146,137,66,-4,-4
171,139,137,65,0,-1
173,137,137,65,0,0
174,138,139,67,2,2
173,134,107,68,-32,1
173,135,105,71,-2,3
172,137,103,123,-2,52
171,139,101,113,-2,-10
169,147,100,117,-1,4
168,152,99,118,-1,1
169,162,97,136,-2,18
170,173,96,136,-1,0
171,173,93,136,-3,0
171,167,90,143,-3,7
173,171,89,138,-1,-5
170,174,83,133,-6,-5
169,173,141,132,58,-1
163,172,137,131,-4,-1
156,169,141,129,4,-2
146,169,64,129,-77,0
138,169,63,131,-1,2
137,172,64,133,1,2
134,173,66,134,2,1
133,172,139,133,73,-1
135,172,124,133,-15,0
138,172,110,132,-14,-1
144,170,119,133,9,1
156,170,133,130,14,-3
165,171,126,129,-7,-1
174,170,120,128,-6,-1
173,170,131,126,11,-2
171,169,138,124,7,-2
176,167,131,124,-7,0
173,147,131,118,0,-6
171,151,134,123,3,5
168,154,132,141,-2,18
168,148,129,69,-3,-72
168,142,129,69,0,0
170,137,131,69,2,0
171,136,130,71,-1,2
172,136,134,141,4,70
172,140,137,117,3,-24
171,140,138,118,1,1
171,148,139,143,1,25
170,155,138,99,-1,-44
169,164,137,109,-1,10
170,172,137,117,0,8
170,175,135,120,-2,3
171,174,132,120,-3,0
172,172,131,118,-1,-2
172,167,131,114,0,-4
172,148,132,97,1,-17
170,170,132,10,0,-87
169,168,132,8,0,-2
166,169,136,8,4,0
158,167,138,8,2,0
151,167,136,9,-2,1
151,167,49,10,-87,1
134,166,62,10,13,0
139,13,32,13,-30,3
108,10,66,14,34,1
50,10,49,15,-17,1
35,11,9,16,-40,1
27,10,10,16,1,0
18,6,11,16,1,0
9,7,11,16,0,0
6,8,15,17,4,1
7,7,15,17,0,0
7,8,15,17,0,0
8,8,15,18,0,1
8,8,15,19,0,1
10,7,15,17,0,-2
