Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
167,131,11,40,0,0
159,129,5,32,-6,-8
155,111,16,124,11,92
152,121,17,66,1,-58
143,128,58,23,41,-43
126,83,17,52,-41,29
132,82,17,32,0,-20
138,140,16,12,-1,-20
141,118,14,22,-2,10
149,121,9,111,-5,89
116,127,9,118,0,7
122,124,110,116,101,-2
135,121,4,16,-106,-100
113,134,9,12,5,-4
115,131,13,120,4,108
121,134,16,125,3,5
120,133,12,126,-4,1
134,135,3,129,-9,3
133,130,5,126,2,-3
125,135,4,132,-1,6
128,127,9,19,5,-113
125,127,7,127,-2,108
130,126,4,126,-3,-1
120,125,109,44,105,-82
120,124,110,119,1,75
131,127,110,125,0,6
138,134,30,113,-80,-12
142,116,27,118,-3,5
159,142,18,16,-9,-102
157,152,13,10,-5,-6
158,152,17,14,4,4
157,151,20,6,3,-8
156,137,11,12,-9,6
158,155,12,10,1,-2
161,151,7,7,-5,-3
161,156,6,9,-1,2
151,159,2,11,-4,2
155,152,3,14,1,3
159,136,14,16,11,2
157,141,6,19,-8,3
158,150,12,13,6,-6
156,156,6,12,-6,-1
158,152,6,5,0,-7
157,138,15,16,9,11
159,153,8,5,-7,-11
160,141,13,16,5,11
154,154,21,10,8,-6
162,151,34,14,13,4
161,158,24,2,-10,-12
165,165,28,10,4,8
167,164,16,10,-12,0
164,164,11,8,-5,-2
168,161,13,6,2,-2
162,163,26,6,13,0
156,163,15,4,-11,-2
163,167,16,5,1,1
155,163,11,8,-5,3
158,162,8,5,-3,-3
161,164,7,6,-1,1
147,154,8,1,1,-5
152,159,2,5,-6,4
154,157,5,7,3,2
154,162,14,2,9,-5
152,155,8,2,-6,0
152,152,7,4,-1,2
155,152,7,2,0,-2
157,153,8,5,1,3
157,157,8,18,0,13
159,149,9,7,1,-11
160,148,10,7,1,0
159,148,10,13,0,6
159,157,9,120,-1,107
158,159,8,122,-1,2
157,162,7,123,-1,1
158,151,9,4,2,-119
156,158,8,27,-1,23
157,161,10,137,2,110
158,160,12,21,2,-116
158,160,10,19,-2,-2
158,163,10,21,0,2
158,163,9,17,-1,-4
154,169,9,15,0,-2
157,164,9,20,0,5
156,170,8,21,-1,1
153,166,5,17,-3,-4
150,167,12,13,7,-4
156,165,13,12,1,-1
155,160,11,9,-2,-3
155,164,5,11,-6,2
159,164,12,17,7,6
159,162,8,15,-4,-2
160,163,6,12,-2,-3
159,160,7,7,1,-5
156,140,4,16,-3,9
153,159,3,11,-1,-5
154,161,5,11,2,0
155,152,7,17,2,6
151,155,6,16,-1,-1
156,157,9,11,3,-5
153,149,8,15,-1,4
155,151,12,16,4,1
156,156,9,15,-3,-1
154,155,10,14,1,-1
155,157,15,7,5,-7
167,141,12,11,-3,4
167,156,22,6,10,-5
168,163,89,8,67,2
170,167,108,10,19,2
172,162,132,9,24,-1
169,167,29,11,-103,2
171,165,129,10,100,-1
165,160,140,5,11,-5
162,161,123,5,-17,0
156,159,57,8,-66,3
157,160,117,8,60,0
158,171,14,6,-103,-2
157,165,48,4,34,-2
165,165,117,11,69,7
163,159,114,6,-3,-5
153,162,69,4,-45,-2
