Height M 1,Height Cm 1,Height Ft 1,Height M 2,Height Cm 2,Height Ft 2,,Left Arm Cm,Left Leg CM
1.28,127.92,4.2,1.26,125.57,4.12,,48.3,60.2
1.28,127.77,4.19,1.25,125.46,4.12,,48.6,60.2
1.28,128.44,4.21,1.26,125.96,4.13,,48.3,60.5
1.29,128.59,4.22,1.26,125.95,4.13,,48.1,60.6
1.28,128.5,4.22,1.26,125.84,4.13,,48.4,60.6
1.29,129.27,4.24,1.26,126.48,4.15,,48.5,60.8
1.29,129.29,4.24,1.27,126.52,4.15,,48.7,60.9
1.29,129.31,4.24,1.27,126.63,4.15,,48.6,60.9
1.29,129.41,4.25,1.27,126.84,4.16,,48.5,61.1
1.29,129.28,4.24,1.27,126.82,4.16,,48.4,61.1
1.29,129.04,4.23,1.27,126.84,4.16,,48.5,61.1
1.29,129.12,4.24,1.27,127.05,4.17,,48.5,61.2
1.29,129.2,4.24,1.27,126.9,4.16,,47.7,61.3
1.29,128.91,4.23,1.27,126.7,4.16,,48.3,61.2
1.22,122.31,4.01,1.2,120.17,3.94,,48,54.6
1.29,129.19,4.24,1.27,126.66,4.16,,48.1,61.3
1.3,129.71,4.26,1.27,127.03,4.17,,48.1,61.3
1.29,129.39,4.24,1.27,126.63,4.15,,47.5,61.1
1.3,130.04,4.27,1.27,127.27,4.18,,47.2,61.2
1.29,129.23,4.24,1.27,126.82,4.16,,47.2,61
1.3,129.72,4.26,1.27,127.22,4.17,,47.2,61
1.29,129.31,4.24,1.27,126.94,4.16,,46.9,60.9
1.29,129.21,4.24,1.27,126.72,4.16,,46.7,60.8
1.29,129.19,4.24,1.27,126.89,4.16,,46.5,60.7
=average(a2:a121),=average(b2:b121),=average(c2:c121),=average(d2:d121),=average(e2:e121),=average(f2:f121)
=median(a2:a121),=median(b2:b121),=median(c2:c121),=median(d2:d121),=median(e2:e121),=median(f2:f121)
=max(a2:a121),=max(b2:b121),=max(c2:c121),=max(d2:d121),=max(e2:e121),=max(f2:f121)
