Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z,Spine Base X, Y, Z,Spine Mid X, Y, Z , Neck X, Y, Z, Head X, Y, Z , ShouldL X, Y, Z, ShouldR X, Y, Z,WristLeft X,Y,Z,WristRight X,Y,Z,ElbowLeft X,Y,Z,ElbowRight X,Y,Z,SholdD,LSHD,RSHD,HIPD,LWristSpineD,RWristSpineD, ShoulDX, HipDX 
-0.119437,-0.0528676,4.14339,-0.0661461,-0.123255,4.19794,-0.0573269,0.293011,4.28205,-0.0461285,0.591552,4.42317,0.00334358,-0.193604,4.21094,-0.0550211,-0.1516,4.1784,0.0913318,0.298815,4.45783,0.0857593,0.599154,4.41924,0.0199517,0.599456,4.45168,0.01523,0.846881,4.4013,0.0105314,1.08928,4.34133,-0.0119173,1.20067,4.31185,-0.13453,0.983509,4.36808,0.156596,1.00024,4.37977,-0.114607,0.587471,4.37357,0.263264,0.577091,4.35715,-0.166496,0.825232,4.49823,0.222676,0.762407,4.42796,0.29184,0.405561,0.409205,0.132165,0.29141,0.369129,0.291126,0.131888
-0.038062,-0.180879,4.12203,-0.0666434,-0.118077,4.18884,-0.0500779,0.277515,4.27708,-0.047226,0.580831,4.38421,-0.0231628,-0.223877,4.125,-0.0554468,-0.151217,4.17861,0.10672,0.248173,4.4575,0.084975,0.583437,4.38501,0.0190104,0.586138,4.41497,0.0108987,0.829922,4.37308,0.00300474,1.06836,4.31952,-0.0138459,1.18993,4.29154,-0.140735,0.983166,4.35166,0.144868,0.987755,4.3453,-0.0682869,0.630272,4.32756,0.263533,0.579894,4.32846,-0.16672,0.82457,4.49304,0.217308,0.763956,4.39668,0.28571,0.41434,0.410654,0.132229,0.219551,0.358231,0.285603,0.132201
-0.0532672,-0.185313,4.02086,-0.0634547,-0.12925,4.13208,-0.0407525,0.256036,4.23062,-0.0485973,0.572792,4.35675,0.00219373,-0.209564,4.15798,-0.0583395,-0.138027,4.18031,0.106701,0.322671,4.4067,0.0823432,0.57617,4.3565,0.0169884,0.578402,4.38654,0.00594279,0.817862,4.33852,-0.00524156,1.05232,4.28175,-0.01358,1.17767,4.26114,-0.143898,0.963759,4.30486,0.145084,0.97865,4.33076,-0.118639,0.594846,4.32891,0.256782,0.588409,4.28152,-0.171473,0.821194,4.46883,0.206595,0.762383,4.36947,0.290522,0.405747,0.408153,0.130984,0.255635,0.3447,0.288982,0.13094
-0.0403002,-0.192949,4.09193,-0.060164,-0.124827,4.1602,-0.0628477,0.264946,4.17604,-0.0531465,0.552526,4.30892,-0.0207088,-0.239898,4.12968,-0.0213009,-0.141637,4.13502,0.128099,0.242155,4.39871,0.0779166,0.556489,4.30891,0.0124716,0.558377,4.33899,0.00144776,0.806862,4.30623,-0.00911023,1.04821,4.26189,-0.0246747,1.16829,4.22582,-0.148487,0.960641,4.29603,0.139862,0.966433,4.28767,-0.158916,0.619917,4.48739,0.25262,0.568518,4.23813,-0.175923,0.808167,4.44331,0.204926,0.751793,4.3302,0.288528,0.419302,0.415142,0.131123,0.305751,0.352891,0.288348,0.131063
-0.013637,-0.218929,4.07579,-0.0589849,-0.185627,4.1655,-0.0699466,0.188702,4.14133,-0.0517292,0.531351,4.28655,-0.0718436,-0.21136,4.15233,-0.000239932,-0.128093,4.16683,0.0931384,0.275226,4.3366,0.0796374,0.52667,4.27398,0.0140532,0.532956,4.31101,0.00272852,0.790845,4.27079,-0.00841846,1.04354,4.21945,-0.0259557,1.16003,4.21083,-0.149976,0.956031,4.25435,0.136688,0.956741,4.25263,-0.1556,0.586044,4.23266,0.24541,0.544784,4.19147,-0.18709,0.771697,4.41923,0.193712,0.722731,4.29116,0.28667,0.437083,0.434364,0.132049,0.261658,0.354586,0.286664,0.131367
-0.0250229,-0.256071,4.02384,-0.0440788,-0.195609,4.10728,-0.0690452,0.177888,4.1241,-0.0516393,0.523397,4.26349,-0.0660475,-0.256095,4.10156,0.00104553,-0.210989,4.11285,0.0774578,0.261001,4.28857,0.0793875,0.521836,4.25741,0.0139564,0.526453,4.29111,0.000829257,0.785908,4.25506,-0.0115388,1.04007,4.20857,-0.0271191,1.15934,4.16963,-0.153649,0.955579,4.23517,0.136409,0.953093,4.22526,-0.131167,0.548255,4.23563,0.239323,0.544931,4.18099,-0.189265,0.757521,4.38263,0.190888,0.717471,4.26599,0.290238,0.444959,0.436197,0.131177,0.272543,0.347037,0.290058,0.131027
-0.0217738,-0.235545,4.1217,-0.0679273,-0.173495,4.12977,-0.0564453,0.19249,4.13046,-0.0668756,0.524374,4.2382,-0.118293,-0.150417,4.13051,-0.0527865,-0.135394,4.11618,0.0750301,0.255218,4.21718,0.0633492,0.52084,4.22965,-0.00177295,0.526445,4.26475,-0.00594737,0.785331,4.22744,-0.0104286,1.03888,4.17852,-0.0277151,1.15637,4.15685,-0.154254,0.947216,4.198,0.130454,0.937915,4.18307,-0.237754,0.537061,4.46128,0.234094,0.530004,4.16011,-0.193426,0.74578,4.348,0.186494,0.707779,4.231,0.285251,0.433643,0.425,0.130553,0.41238,0.356855,0.284708,0.130225
-0.0142915,-0.220299,4.08964,-0.0653257,-0.162393,4.13042,-0.0649975,0.195001,4.12511,-0.067046,0.523856,4.22152,-0.0659187,-0.128037,4.172,-0.00221727,-0.113377,4.15927,0.0749951,0.258961,4.20933,0.0634562,0.522375,4.21787,-0.0017957,0.527054,4.25075,-0.00589891,0.785915,4.20927,-0.0100588,1.03937,4.15815,-0.0269208,1.15598,4.13454,-0.151035,0.94483,4.18118,0.133808,0.940873,4.17306,-0.247218,0.525829,4.38714,0.227521,0.524502,4.1424,-0.196877,0.733681,4.32433,0.182867,0.708051,4.20876,0.284986,0.431162,0.42673,0.130561,0.396884,0.356781,0.284843,0.130502
-0.027614,-0.20912,4.06575,-0.0561176,-0.147309,4.13568,-0.0618912,0.193832,4.12458,-0.0793547,0.522235,4.20124,0.0769516,-0.120845,4.23364,0.134736,-0.0637875,4.3348,0.0846853,0.226814,4.17337,0.0485112,0.525034,4.18654,-0.0155295,0.527331,4.22524,-0.0100451,0.787368,4.17993,-0.00376717,1.04229,4.12114,-0.0249204,1.15747,4.10826,-0.151743,0.941641,4.16148,0.135102,0.946472,4.14826,-0.256975,0.519241,4.31527,0.221311,0.523969,4.12551,-0.203378,0.705507,4.27334,0.18258,0.711918,4.19435,0.28719,0.427459,0.431941,0.128738,0.388821,0.354776,0.286844,0.127866
-0.0815064,-0.0925062,4.06567,-0.0433027,-0.144669,4.14439,-0.077634,0.18913,4.1213,-0.0754475,0.525977,4.18209,0.0975464,-0.178734,4.1703,0.0980392,-0.126421,4.27862,0.0846901,0.185586,4.16273,0.0502792,0.527804,4.17563,-0.0127385,0.530768,4.2102,-0.00817042,0.790888,4.16796,-0.00315174,1.0451,4.11474,-0.0220358,1.15927,4.08739,-0.150252,0.960149,4.13274,0.134229,0.950243,4.1306,-0.258545,0.511694,4.25054,0.222078,0.524762,4.12192,-0.199365,0.715328,4.23557,0.182715,0.717406,4.18215,0.284661,0.443323,0.433048,0.125905,0.384001,0.354904,0.284481,0.125727
