Left Knee Angle, Right Knee Angle,Left Ankle Angle,Right Ankle Angle,Left Ankle Delta,Right Ankle Delta
166,137,56,91,0,0
172,128,140,141,84,50
171,136,130,122,-10,-19
157,123,136,144,6,22
152,140,105,149,-31,5
159,151,128,133,23,-16
161,156,141,116,13,-17
162,164,130,112,-11,-4
164,148,127,86,-3,-26
164,157,53,95,-74,9
169,143,117,90,64,-5
171,141,112,85,-5,-5
173,140,130,130,18,45
174,147,137,95,7,-35
176,141,132,125,-5,30
175,153,110,103,-22,-22
174,149,108,133,-2,30
173,155,133,126,25,-7
169,154,120,103,-13,-23
167,159,128,105,8,2
159,151,129,98,1,-7
156,155,124,127,-5,29
145,151,82,119,-42,-8
134,157,125,97,43,-22
138,157,82,53,-43,-44
139,151,87,122,5,69
144,160,150,96,63,-26
147,162,135,94,-15,-2
159,162,111,93,-24,-1
162,166,138,134,27,41
172,165,134,91,-4,-43
175,165,135,89,1,-2
174,166,140,86,5,-3
177,165,147,84,7,-2
177,160,130,78,-17,-6
171,153,125,72,-5,-6
166,151,119,70,-6,-2
167,148,116,70,-3,0
168,139,115,64,-1,-6
171,141,113,70,-2,6
174,132,112,65,-1,-5
175,133,111,68,-1,3
174,124,109,66,-2,-2
173,133,136,79,27,13
174,130,136,76,0,-3
172,125,129,123,-7,47
169,132,125,80,-4,-43
170,127,126,133,1,53
169,132,127,81,1,-52
168,137,112,84,-15,3
170,141,122,88,10,4
169,143,133,91,11,3
169,151,132,97,-1,6
164,155,86,97,-46,0
153,160,81,99,-5,2
138,157,73,95,-8,-4
131,156,72,91,-1,-4
123,154,121,89,49,-2
127,155,114,87,-7,-2
129,154,113,87,-1,0
134,154,111,85,-2,-2
151,156,125,83,14,-2
162,159,129,83,4,0
174,163,134,83,5,0
177,164,141,81,7,-2
177,163,127,79,-14,-2
166,157,139,73,12,-6
164,156,134,74,-5,1
164,151,113,68,-21,-6
167,147,113,72,0,4
171,144,113,69,0,-3
174,137,113,67,0,-2
177,141,113,73,0,6
177,138,114,71,1,-2
176,139,112,76,-2,5
174,139,111,79,-1,3
173,141,110,82,-1,3
171,142,108,134,-2,52
171,146,108,127,0,-7
171,147,106,113,-2,-14
171,150,134,112,28,-1
170,149,134,96,0,-16
170,154,128,101,-6,5
170,156,127,126,-1,25
171,159,126,103,-1,-23
170,162,124,135,-2,32
163,162,118,102,-6,-33
156,162,122,135,4,33
145,160,133,134,11,-1
139,162,133,133,0,-1
132,161,133,132,0,-1
130,160,116,129,-17,-3
129,161,109,133,-7,4
138,163,114,92,5,-41
146,164,111,91,-3,-1
161,165,116,90,5,-1
166,168,119,89,3,-1
176,170,131,87,12,-2
175,171,131,137,0,50
173,171,135,133,4,-4
171,169,135,133,0,0
168,162,132,73,-3,-60
165,157,134,72,2,-1
167,148,134,67,0,-5
171,143,109,67,-25,0
173,140,109,68,0,1
174,136,109,69,0,1
173,134,108,71,-1,2
172,134,107,75,-1,4
171,140,106,81,-1,6
169,137,105,82,-1,1
167,143,104,86,-1,4
166,145,103,129,-1,43
165,151,102,111,-1,-18
165,153,101,132,-1,21
166,158,99,99,-2,-33
166,157,134,120,35,21
166,158,131,131,-3,11
165,157,125,120,-6,-11
159,157,122,120,-3,0
