Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
174,174,25,113,0,0,36,118,TO,FF
151,176,31,118,6,5,36,118,TO,FF
173,173,41,122,10,4,36,118,TO,FF
173,177,47,119,6,-3,36,118,TO,FF
172,177,56,118,9,-1,63,117,FF,FF
170,177,61,116,5,-2,63,117,FF,FF
175,178,67,114,6,-2,63,117,FF,FF
173,178,71,120,4,6,63,117,FF,FF
172,179,77,124,6,4,85,127,FF,HS
176,178,83,127,6,3,85,127,FF,HS
177,179,89,131,6,4,85,127,FF,HS
176,179,94,128,5,-3,85,127,FF,HS
173,177,99,127,5,-1,106,124,FF,HS
176,177,103,126,4,-1,106,124,FF,HS
177,176,107,123,4,-3,106,124,FF,HS
174,176,117,121,10,-2,106,124,FF,HS
174,174,121,120,4,-1,131,118,HS,FF
177,172,131,118,10,-2,131,118,HS,FF
175,172,136,118,5,0,131,118,HS,FF
176,170,139,118,3,0,131,118,HS,FF
174,166,140,114,1,-4,138,119,HS,FF
173,162,134,118,-6,4,138,119,HS,FF
174,162,136,122,2,4,138,119,HS,FF
175,161,143,124,7,2,138,119,HS,FF
174,157,135,121,-8,-3,139,121,HS,FF
173,159,138,122,3,1,139,121,HS,FF
175,160,143,122,5,0,139,121,HS,FF
176,159,142,121,-1,-1,139,121,HS,FF
177,160,139,118,-3,-3,138,121,HS,FF
173,160,140,119,1,1,138,121,HS,FF
172,162,137,127,-3,8,138,121,HS,FF
173,163,137,123,0,-4,138,121,HS,FF
173,160,137,118,0,-5,131,109,HS,FF
174,161,133,113,-4,-5,131,109,HS,FF
174,149,130,107,-3,-6,131,109,HS,FF
173,153,127,101,-3,-6,131,109,HS,FF
173,149,117,96,-10,-5,117,92,FF,FF
173,148,122,90,5,-6,117,92,FF,FF
173,153,115,87,-7,-3,117,92,FF,FF
174,152,114,96,-1,9,117,92,FF,FF
174,155,113,104,-1,8,112,106,FF,FF
174,159,113,100,0,-4,112,106,FF,FF
