Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle, Left Ankle Delta, Right Ankle Delta,Left Ankle Avg,Right Ankle Avg,LA-GC-Phases,RA-GC-Phases
151,137,159,17,0,0,151,8,HS,TO
137,168,156,8,-3,-9,151,8,HS,TO
144,177,149,2,-7,-6,151,8,HS,TO
138,173,141,7,-8,5,151,8,HS,TO
147,156,133,9,-8,2,125,19,FF,FF
149,153,129,13,-4,4,125,19,FF,FF
151,155,124,22,-5,9,125,19,FF,FF
156,153,115,33,-9,11,125,19,FF,FF
153,151,110,43,-5,10,110,58,FF,FF
158,164,107,54,-3,11,110,58,FF,FF
162,169,110,64,3,10,110,58,FF,FF
158,179,116,74,6,10,110,58,FF,FF
159,177,109,83,-7,9,94,94,TO,FF
163,175,99,91,-10,8,94,94,TO,FF
152,176,87,98,-12,7,94,94,TO,FF
153,175,83,104,-4,6,94,94,TO,FF
153,171,87,111,4,7,95,116,TO,FF
147,174,96,115,9,4,95,116,TO,FF
135,175,103,118,7,3,95,116,TO,FF
143,174,96,121,-7,3,95,116,TO,FF
131,170,104,128,8,7,109,126,FF,HS
138,172,114,127,10,-1,109,126,FF,HS
134,170,109,125,-5,-2,109,126,FF,HS
138,171,112,126,3,1,109,126,FF,HS
142,170,106,126,-6,0,107,123,FF,HS
153,173,103,125,-3,-1,107,123,FF,HS
158,171,107,122,4,-3,107,123,FF,HS
169,175,113,119,6,-3,107,123,FF,HS
176,174,118,112,5,-7,124,111,FF,FF
178,174,121,112,3,0,124,111,FF,FF
172,173,126,110,5,-2,124,111,FF,FF
169,171,132,113,6,3,124,111,FF,FF
168,175,136,117,4,4,129,123,FF,HS
157,169,130,123,-6,6,129,123,FF,HS
154,158,126,127,-4,4,129,123,FF,HS
157,157,125,127,-1,0,129,123,FF,HS
154,145,121,127,-4,0,124,125,FF,HS
160,144,127,123,6,-4,124,125,FF,HS
160,140,126,129,-1,6,124,125,FF,HS
163,143,124,124,-2,-5,124,125,FF,HS
165,140,125,120,1,-4,127,120,FF,FF
167,148,124,117,-1,-3,127,120,FF,FF
169,148,130,121,6,4,127,120,FF,FF
168,156,131,125,1,4,127,120,FF,FF
171,157,126,120,-5,-5,119,125,FF,HS
170,166,123,124,-3,4,119,125,FF,HS
172,174,115,128,-8,4,119,125,FF,HS
171,175,115,131,0,3,119,125,FF,HS
167,176,112,135,-3,4,112,131,FF,HS
164,173,117,131,5,-4,112,131,FF,HS
164,173,110,131,-7,0,112,131,FF,HS
153,175,112,130,2,-1,112,131,FF,HS
145,174,115,127,3,-3,120,123,FF,HS
136,174,117,124,2,-3,120,123,FF,HS
134,174,127,123,10,-1,120,123,FF,HS
127,171,123,121,-4,-2,120,123,FF,HS
131,172,114,121,-9,0,119,118,FF,FF
135,169,123,117,9,-4,119,118,FF,FF
134,170,119,119,-4,2,119,118,FF,FF
139,168,122,116,3,-3,119,118,FF,FF
143,168,125,114,3,-2,130,111,FF,FF
148,169,130,113,5,-1,130,111,FF,FF
156,169,131,110,1,-3,130,111,FF,FF
