Difference Between AL & AR 
0.0413259
0.0921107
0.237003
0.223479
0.224446
0.216755
0.190005
0.18278
0.255664
0.23958
0.257183
0.289428
0.294403
0.29743
0.304372
0.313609
0.31937
0.321375
0.305389
0.279376
0.242094
0.186555
0.148873
0.134696
0.165793
0.205728
0.252459
0.289254
0.328821
0.345592
0.360965
0.366139
0.359948
0.363694
0.353728
0.345172
0.313131
0.276853
0.232859
0.205343
0.175335
0.161205
0.178942
0.223968
0.261371
0.304643
0.324735
0.337612
0.345424
0.354051
0.348622
0.331217
0.305368
0.266465
0.224785
0.184796
0.164048
0.172057
0.218555
0.263266
0.31131
0.355835
0.374149
0.402647
0.397901
0.395762
0.391895
0.382795
0.365756
0.33318
0.289962
0.245932
0.207628
0.160592
0.141791
0.165637
0.206932
0.251487
0.29616
0.321094
0.35014
0.349221
0.347776
0.346082
0.331397
0.30349
0.258089
0.21976
0.177686
0.161564
0.171901
0.224756
0.283941
0.338192
0.389493
0.42206
0.432558
0.433224
0.450013
0.442597
0.437128
0.425797
0.403308
0.357104
0.322203
0.274812
0.224595
0.186442
0.175707
0.200427
0.241275
0.292529
0.334071
0.356098
0.366731
0.376165
0.378121
0.37334
0.36001
0.313119
