Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.410217,0.138986,3.58471,-0.479538,0.14221,3.59901,-0.484593,-0.741513,3.46302,-0.54196,-0.635824,3.55529,-0.561154,-0.238913,3.50571,-0.527321,0.141376,3.5201,-0.452818,-0.734809,3.82477,-0.502349,-0.653523,3.84715,-0.502349,-0.653523,3.84715
-0.36724,-0.259979,3.65479,-0.399429,0.141111,3.57412,-0.468667,0.142895,3.58728,-0.484573,-0.741616,3.46311,-0.54155,-0.634274,3.55159,-0.563391,-0.24169,3.48944,-0.510073,0.139414,3.49296,-0.419422,-0.727949,3.75532,-0.419422,-0.727949,3.75532
-0.477009,-0.650153,3.79831,-0.337161,-0.256896,3.59902,-0.379948,0.142441,3.54415,-0.450064,0.142498,3.5586,-0.484425,-0.741884,3.46398,-0.540418,-0.633844,3.55062,-0.559516,-0.243028,3.47757,-0.501593,0.138352,3.47441,-0.501593,0.138352,3.47441
-0.397507,-0.732286,3.70306,-0.446647,-0.650238,3.74206,-0.315669,-0.245548,3.55214,-0.370228,0.145886,3.53166,-0.440952,0.14385,3.54343,-0.482083,-0.74709,3.46645,-0.537536,-0.637192,3.54859,-0.55468,-0.242408,3.46874,-0.55468,-0.242408,3.46874
-0.489044,0.137211,3.45284,-0.331343,-0.742349,3.62019,-0.39969,-0.676019,3.67715,-0.307686,-0.24462,3.52352,-0.354459,0.149073,3.50723,-0.426564,0.144739,3.52003,-0.479534,-0.748376,3.47051,-0.533314,-0.641803,3.54545,-0.533314,-0.641803,3.54545
-0.549731,-0.239573,3.4589,-0.481099,0.135508,3.43588,-0.316162,-0.738281,3.55078,-0.350908,-0.653449,3.61272,-0.282552,-0.259998,3.47589,-0.34765,0.149906,3.49233,-0.419174,0.14438,3.50416,-0.479153,-0.748609,3.4701,-0.479153,-0.748609,3.4701
-0.527277,-0.65077,3.54102,-0.544082,-0.245447,3.45095,-0.477497,0.133024,3.41834,-0.267411,-0.747027,3.47641,-0.303835,-0.665918,3.54433,-0.278449,-0.261763,3.45585,-0.342944,0.148067,3.46871,-0.414992,0.142147,3.48359,-0.414992,0.142147,3.48359
-0.473692,-0.750676,3.46753,-0.524077,-0.647538,3.53651,-0.538775,-0.246277,3.43976,-0.47495,0.131233,3.39522,-0.22644,-0.749512,3.39648,-0.259709,-0.653717,3.47596,-0.265772,-0.265276,3.40743,-0.341143,0.146061,3.45373,-0.341143,0.146061,3.45373
-0.412808,0.140213,3.4646,-0.479812,-0.751993,3.46796,-0.521296,-0.651114,3.53698,-0.53328,-0.245324,3.42803,-0.468446,0.128912,3.37572,-0.185791,-0.759766,3.30273,-0.223346,-0.658802,3.40364,-0.260181,-0.271165,3.39447,-0.260181,-0.271165,3.39447
-0.326989,0.139613,3.42118,-0.402685,0.136018,3.43873,-0.480416,-0.751493,3.46678,-0.520967,-0.650891,3.53469,-0.528271,-0.24255,3.41446,-0.459466,0.125597,3.35826,-0.156636,-0.752809,3.21037,-0.1982,-0.666842,3.33717,-0.1982,-0.666842,3.33717
